"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.527926683E0,-5.838826656E0,5.139447749E-2
2.480260000E-3,2.841734409E0,-5.673538685E0,4.083207846E-1
4.960625000E-3,2.664469242E0,-5.867572308E0,9.904220104E-1
7.440989000E-3,2.377011776E0,-6.169402599E0,1.879144430E0
9.921302000E-3,2.326706648E0,-6.344272614E0,2.384590626E0
1.240161400E-2,2.671655416E0,-6.717967033E0,2.157020092E0
1.488197900E-2,2.920785189E0,-6.691616535E0,2.180974722E0
1.736229100E-2,3.275316238E0,-6.231685162E0,2.288771629E0
1.984260400E-2,3.457372665E0,-6.176589012E0,2.104319572E0
2.232291600E-2,3.373530865E0,-6.152634144E0,2.506760120E0
2.480328100E-2,3.368739605E0,-5.999323845E0,2.851708651E0
2.728359300E-2,3.409462929E0,-6.064001560E0,2.698398352E0
2.967807200E-2,3.225010872E0,-5.987346172E0,2.696002722E0
3.215838500E-2,3.074095964E0,-6.176589012E0,2.521132708E0
3.463869700E-2,3.066909552E0,-6.509560585E0,1.986941099E0
3.711906200E-2,2.779452085E0,-7.520452499E0,1.754579782E0
3.959937500E-2,3.040559292E0,-6.380204678E0,1.548568487E0
4.207968700E-2,2.875271320E0,-4.808770657E0,1.960590839E0
4.456000000E-2,1.919475317E0,-4.794397831E0,2.468432188E0
4.704036400E-2,1.476311684E0,-4.856679916E0,1.709065676E0
4.952067700E-2,1.677531958E0,-4.562036514E0,1.031145096E0
5.200098900E-2,1.816469669E0,-4.322488785E0,5.568404794E-1
5.448135400E-2,1.490684748E0,-4.099709034E0,6.718233824E-1
5.696166600E-2,1.275091648E0,-3.989517212E0,5.041399002E-1
5.936994700E-2,1.509848595E0,-3.864952087E0,-1.905488670E-1
6.185020800E-2,1.426006794E0,-3.625404358E0,-5.402886868E-1
6.433057200E-2,1.260718703E0,-3.543958187E0,-5.714299083E-1
6.681093700E-2,1.318210244E0,-3.450534344E0,-7.534862757E-1
6.929125000E-2,1.507452965E0,-3.309201241E0,-1.084062338E0
7.177156200E-2,1.694300175E0,-3.160681725E0,-1.314028263E0
7.425187500E-2,1.866774797E0,-3.033720970E0,-1.354751348E0
7.673218700E-2,2.020085573E0,-2.935506344E0,-1.349960446E0
7.921250000E-2,2.197350740E0,-2.779800415E0,-1.323610187E0
8.169286400E-2,2.420130253E0,-2.739077091E0,-1.335587621E0
8.417322900E-2,2.654887199E0,-2.616907597E0,-1.306841850E0
8.665354100E-2,2.781847477E0,-2.609721184E0,-1.143949270E0
8.906260400E-2,2.961508512E0,-2.583371162E0,-1.064898491E0
9.154291600E-2,2.887248755E0,-2.480365276E0,-7.127631903E-1
9.402322900E-2,3.028581858E0,-2.506715775E0,-5.259158611E-1
9.650359300E-2,3.217824697E0,-2.295913696E0,-4.995656013E-1
9.898390600E-2,3.304061890E0,-2.192907810E0,-3.917690516E-1
1.014642180E-1,3.330412149E0,-2.269563675E0,-2.384584397E-1
1.039445310E-1,3.272920847E0,-2.391732693E0,-7.796137035E-2
1.064248950E-1,3.260943174E0,-2.552229881E0,1.472135931E-1
1.089052080E-1,3.363948822E0,-2.667212963E0,3.508292437E-1
1.113855200E-1,3.637033463E0,-3.184636116E0,1.134150743E0
1.138658850E-1,3.586728573E0,-3.302014828E0,1.567732334E0
1.163461970E-1,3.306457520E0,-3.428975105E0,1.783325434E0
1.187534370E-1,3.040559292E0,-3.742782593E0,1.919867754E0
1.212336970E-1,2.748311043E0,-3.977539539E0,2.221698046E0
1.237140620E-1,2.590209246E0,-4.262601852E0,2.576228857E0
1.261944270E-1,2.398571014E0,-4.631505013E0,2.971482754E0
1.286747390E-1,2.156627655E0,-4.938126564E0,3.361945868E0
1.311550520E-1,2.046435833E0,-5.364521503E0,4.049448013E0
1.336353640E-1,2.374616146E0,-6.087955952E0,4.823187351E0
1.361157290E-1,2.812988758E0,-6.327504158E0,5.467571259E0
1.385960410E-1,2.108717918E0,-6.140656471E0,6.088000298E0
1.410763540E-1,1.366119623E0,-5.963391781E0,5.230418682E0
1.435567180E-1,1.085848689E0,-5.721447945E0,4.401583195E0
1.460370310E-1,6.594536304E-1,-5.467526913E0,4.286600113E0
1.484466140E-1,3.049228191E-1,-5.220793247E0,4.020702362E0
1.509269270E-1,1.635895371E-1,-5.081855297E0,3.987165689E0
1.534072390E-1,3.504368067E-1,-5.117787838E0,4.312950134E0
1.558876040E-1,1.252619028E-1,-5.086646080E0,4.205153942E0
1.583679160E-1,2.225631475E-2,-5.077064037E0,4.231504440E0
1.608482290E-1,1.027894020E-2,-5.017177105E0,4.329718590E0
1.633285930E-1,1.899397969E-1,-4.909380436E0,4.336905479E0
1.658089060E-1,2.689906359E-1,-4.906985283E0,4.231504440E0
1.682892180E-1,1.755669117E-1,-4.954895020E0,4.015911102E0
1.707695310E-1,1.971262693E-1,-4.801584244E0,3.848228216E0
1.732498950E-1,3.662919998E-2,-4.739301682E0,3.687730789E0
1.757302080E-1,-4.481709003E-2,-4.782420635E0,3.723663092E0
1.781135930E-1,-2.843649089E-1,-4.662646770E0,4.485424995E0
1.805938540E-1,-4.544439018E-1,-4.820748329E0,4.655503750E0
1.830742180E-1,-5.334947109E-1,-4.957290649E0,4.111730099E0
1.855545310E-1,-6.436867118E-1,-4.842307568E0,3.896137476E0
1.880348950E-1,-3.442518711E-1,-7.302463531E0,3.555979490E0
