"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.900093317E0,4.942742825E0,7.196366310E0
2.540468000E-3,1.835415363E0,4.961906910E0,7.344885826E0
5.056927000E-3,1.730014324E0,4.918787956E0,7.383213520E0
7.587604000E-3,1.643777132E0,4.856505871E0,7.433518887E0
1.011838500E-2,1.547958136E0,4.825364590E0,7.493405819E0
1.264911400E-2,1.461720705E0,4.810991287E0,7.577247143E0
1.517984300E-2,1.334760427E0,4.755895615E0,7.725766659E0
1.771057300E-2,1.303619146E0,4.722359180E0,7.843145370E0
2.024135400E-2,1.236545801E0,4.703195095E0,7.946150780E0
2.277208300E-2,1.191031694E0,4.679240227E0,8.001246452E0
2.530286400E-2,1.064071298E0,4.676845074E0,8.140184402E0
2.783359300E-2,1.025743604E0,4.734336376E0,8.283913612E0
3.036432300E-2,1.004184246E0,4.782246113E0,8.372546196E0
3.289510400E-2,9.730432034E-1,4.799014568E0,8.413269997E0
3.542276000E-2,9.562747478E-1,4.801409721E0,8.449201584E0
3.795348900E-2,8.963878155E-1,4.849319458E0,8.482737541E0
4.048421800E-2,8.915967941E-1,4.885251522E0,8.568975449E0
4.301494800E-2,9.155516624E-1,4.913997173E0,8.717494965E0
4.554567700E-2,8.556646109E-1,4.937952042E0,8.889969826E0
4.807640600E-2,8.101505041E-1,4.933160782E0,8.992975235E0
5.060718700E-2,7.526590824E-1,4.878065109E0,9.014534950E0
5.313791600E-2,6.209077835E-1,4.810991287E0,9.160658836E0
5.566869800E-2,5.179021358E-1,4.777454853E0,9.201381683E0
5.819942700E-2,4.268740416E-1,4.679240227E0,9.239709854E0
6.073015600E-2,3.526141644E-1,4.557070732E0,9.330738068E0
6.326088500E-2,2.328402400E-1,4.415737629E0,9.292409897E0
6.583187500E-2,1.394165754E-1,4.231286049E0,9.309177399E0
6.836265600E-2,4.359745979E-2,4.042043209E0,9.215754509E0
7.089338500E-2,-5.461716652E-2,3.721048832E0,9.163053513E0
7.342411400E-2,-3.013514578E-1,3.249139786E0,9.076816559E0
7.595484300E-2,-4.211254120E-1,2.930541039E0,8.945065498E0
7.848557300E-2,-4.929897487E-1,2.767648458E0,8.830082893E0
8.101640600E-2,-5.552721620E-1,2.547264338E0,8.710309029E0
8.354708300E-2,-4.570575655E-1,2.463422775E0,8.657608032E0
8.607786400E-2,-3.253062665E-1,2.463422775E0,8.683959007E0
8.860859300E-2,-1.360634267E-1,2.480191231E0,8.681562424E0
9.113932300E-2,5.317932367E-2,2.489773035E0,8.897155762E0
9.367010400E-2,2.687724233E-1,2.614337921E0,9.000162125E0
9.619687500E-2,5.873709917E-1,2.652665377E0,9.040884972E0
9.872755200E-2,8.245234489E-1,2.726925135E0,9.112749100E0
1.012583330E-1,1.092817068E0,2.817953348E0,9.278037071E0
1.037891140E-1,1.428184032E0,2.784416676E0,9.282827377E0
1.063198430E-1,1.713246107E0,2.796394110E0,9.237314224E0
1.088505730E-1,1.976748466E0,2.856281281E0,9.237314224E0
1.113813540E-1,2.252228498E0,2.887422562E0,9.256477356E0
1.139120830E-1,2.491776466E0,2.935332060E0,9.481653214E0
1.164428120E-1,2.697787523E0,2.942518473E0,9.587054253E0
1.189735410E-1,2.858284712E0,2.937727451E0,9.622985840E0
1.215043230E-1,2.973267794E0,2.885026932E0,9.601427078E0
1.240350520E-1,3.112205505E0,2.832326412E0,9.493629456E0
1.265810930E-1,3.124182701E0,2.755671024E0,9.438533783E0
1.291118230E-1,3.133764744E0,2.645478964E0,9.333132744E0
1.316425520E-1,3.131369352E0,2.477795601E0,9.160658836E0
1.341732810E-1,3.121787310E0,2.365208149E0,9.057652473E0
1.367040620E-1,3.105019093E0,2.209501982E0,8.985788345E0
1.392347910E-1,3.138555765E0,2.094518900E0,9.129517555E0
1.417655200E-1,3.176883221E0,1.974745035E0,9.381042480E0
1.442963020E-1,3.162510633E0,1.859762192E0,9.711618423E0
1.468269790E-1,3.121787310E0,1.799875021E0,1.011884975E1
1.493577600E-1,3.066691160E0,1.747174740E0,1.028653336E1
1.518884890E-1,2.951708317E0,1.677705765E0,1.040630817E1
1.544192180E-1,2.793606758E0,1.620214224E0,1.035360718E1
1.569718230E-1,2.609154940E0,1.660937309E0,1.021227360E1
1.595026040E-1,2.395957232E0,1.677705765E0,1.023862362E1
1.620333330E-1,2.139641047E0,1.596259594E0,1.017155075E1
1.645640620E-1,1.823437929E0,1.490858436E0,1.023862362E1
1.670947910E-1,1.615031242E0,1.418994188E0,1.042547035E1
1.696255730E-1,1.420997620E0,1.330361366E0,1.074167442E1
1.721563020E-1,1.207800031E0,1.301615715E0,1.127347088E1
1.746870310E-1,9.466929436E-1,1.284847260E0,1.198253155E1
1.772177600E-1,7.957776785E-1,1.260892510E0,1.245683670E1
1.797485410E-1,7.334952354E-1,1.272869825E0,1.245923233E1
1.822792700E-1,6.137212515E-1,1.287242770E0,1.194659996E1
1.848100000E-1,4.963428974E-1,1.272869825E0,1.150104046E1
1.873630200E-1,4.053147435E-1,1.306406617E0,1.145552635E1
1.898937500E-1,1.082753539E-1,1.368689060E0,1.151541424E1
1.924245310E-1,-1.139768958E0,1.538768053E0,1.183880424E1
1.949552600E-1,-1.111023188E0,1.641773701E0,1.198732281E1
1.974859890E-1,-7.133737803E-1,1.589073181E0,1.189389992E1
2.000167700E-1,-4.187299013E-1,1.572304726E0,1.187713051E1
2.025475000E-1,-5.701267719E-2,1.569909334E0,1.203523254E1
2.050782290E-1,3.118910193E-1,1.593863964E0,1.203044224E1
2.076089580E-1,7.382861376E-1,1.601050615E0,1.203044224E1
2.101397390E-1,1.284455299E0,1.598654985E0,1.182443047E1
2.126704680E-1,1.662940979E0,1.469299078E0,1.158248806E1
2.152011980E-1,1.914466381E0,1.423785090E0,1.127347088E1
2.177472910E-1,2.067776680E0,1.356711626E0,1.092373085E1
2.202780730E-1,2.125268221E0,1.251310587E0,1.069137001E1
2.228088020E-1,2.139641047E0,1.162677884E0,1.048056698E1
2.253395830E-1,2.221087456E0,1.021344662E0,1.018352795E1
2.278702600E-1,2.132454872E0,9.446893334E-1,1.011405849E1
2.304009890E-1,2.067776680E0,8.584521413E-1,9.953561783E0
2.329317700E-1,1.998307943E0,7.937742472E-1,9.915234566E0
2.354625520E-1,1.895302296E0,6.787912250E-1,9.836183548E0
2.379932290E-1,1.763550997E0,5.781811476E-1,9.797855377E0
2.405240100E-1,1.483279943E0,3.314468265E-1,9.735573769E0
2.430547390E-1,4.604107141E-1,-8.974335790E-1,9.582262993E0
2.455854680E-1,-1.935549378E-1,-1.692732573E0,9.448115349E0
2.481294790E-1,-2.510464191E-1,-1.678359747E0,9.416975021E0
2.506602600E-1,-3.588429391E-1,-1.549003839E0,9.416975021E0
2.531909890E-1,-3.157243431E-1,-1.398088694E0,9.493629456E0
2.557217180E-1,-2.750011981E-1,-1.196868420E0,9.618194580E0
2.582524480E-1,-2.246961594E-1,-9.860664010E-1,9.761923790E0
2.607832290E-1,-1.216905713E-1,-7.776597142E-1,9.828996658E0
2.633139580E-1,-5.222171545E-2,-7.105862498E-1,9.831393242E0
2.658446870E-1,-4.263979197E-2,-6.890270114E-1,9.752342224E0
2.683754680E-1,5.078393221E-2,-6.938180327E-1,9.508003235E0
2.709061980E-1,1.394165754E-1,-6.578857303E-1,9.167844772E0
2.734369790E-1,1.657668352E-1,-5.668576360E-1,8.854038239E0
2.759677080E-1,2.759588361E-1,-3.967786431E-1,8.628862381E0
2.785122390E-1,2.999136448E-1,-1.668126583E-1,8.774987221E0
2.810430200E-1,3.789644241E-1,7.033967972E-2,9.021720886E0
2.835737500E-1,6.760038137E-1,2.140684128E-1,8.990579605E0
2.861044790E-1,1.174263239E0,3.027011156E-1,8.973811150E0
2.886352600E-1,1.524003267E0,5.494353771E-1,9.376252174E0
2.911659890E-1,1.368296981E0,8.344973326E-1,1.016436386E1
2.936967180E-1,1.195822597E0,9.902034402E-1,1.036558342E1
2.962274480E-1,1.332364917E0,8.536611795E-1,9.939188957E0
2.987582290E-1,1.368296981E0,7.530510426E-1,9.836183548E0
3.012889580E-1,1.468907118E0,6.979550719E-1,9.761923790E0
3.038196870E-1,1.607845068E0,7.458646297E-1,9.817019463E0
3.063504160E-1,1.670127392E0,7.841922641E-1,9.900861740E0
3.088997910E-1,1.765946627E0,7.578420639E-1,9.742759705E0
3.114305200E-1,1.691686869E0,7.722148895E-1,9.498420715E0
3.139613020E-1,1.555144310E0,8.440792561E-1,9.278037071E0
3.164919790E-1,1.346737742E0,8.392882943E-1,9.074421883E0
3.190227080E-1,1.121562839E0,8.584521413E-1,8.861224174E0
3.215534890E-1,8.652465343E-1,8.824069500E-1,8.698330879E0
3.240842180E-1,6.448625326E-1,9.327119589E-1,8.461178780E0
3.266150000E-1,5.202976465E-1,9.638531804E-1,8.250376701E0
3.291457290E-1,4.508287907E-1,8.608475924E-1,8.097065926E0
3.316764580E-1,3.933372498E-1,8.560566902E-1,7.867100239E0
3.342071870E-1,3.789644241E-1,8.009606600E-1,7.704207897E0
3.367379160E-1,3.957327604E-1,7.003505230E-1,7.579642773E0
3.392800520E-1,4.292694330E-1,6.165087819E-1,7.476637363E0
3.418107810E-1,4.556198120E-1,5.662037730E-1,7.457473278E0
3.443415620E-1,5.107157230E-1,4.512207806E-1,7.414354801E0
3.468722390E-1,5.562299490E-1,3.577971160E-1,7.380818367E0
3.494030200E-1,6.161167622E-1,2.380231917E-1,7.328117371E0
3.519337500E-1,7.718229294E-1,1.230402291E-1,7.493405819E0
3.544644790E-1,1.116771817E0,-1.117166877E-1,8.065924644E0
3.569952080E-1,2.139641047E0,-5.716485381E-1,9.658917427E0
3.595259370E-1,4.077582836E0,-9.118065238E-1,1.333358192E1
3.620567180E-1,4.868091106E0,-8.830607533E-1,1.477326488E1
3.645874480E-1,3.291866302E0,-6.171626449E-1,1.154895115E1
3.671181770E-1,1.612635851E0,-6.219536662E-1,9.079213142E0
3.696634890E-1,6.927721500E-1,-7.177727818E-1,8.137789726E0
3.721942700E-1,2.999136448E-1,-7.225638032E-1,7.649111748E0
3.747250000E-1,2.400266528E-1,-8.351512551E-1,7.411959171E0
3.772557290E-1,5.078393221E-2,-1.129795074E0,7.603597641E0
3.797864580E-1,-1.791820526E-1,-1.331015348E0,8.374941826E0
3.823172390E-1,-2.989559770E-1,-1.309455872E0,9.335528374E0
3.848479680E-1,-2.175097167E-1,-9.956482053E-1,9.891280174E0
3.873787500E-1,-1.145041287E-1,-5.860213637E-1,1.016915512E1
3.899094790E-1,-9.054934978E-2,-2.123267651E-1,1.047817135E1
3.924402080E-1,-1.264815331E-1,7.273516059E-2,1.077281570E1
3.949709370E-1,-2.055323124E-1,1.565769017E-1,1.092373085E1
3.975016660E-1,-2.797921598E-1,1.685543060E-1,1.083509731E1
4.000797910E-1,-3.253062665E-1,1.134583056E-1,1.068178749E1
