"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.277144165E0,-2.824027405E0,-2.509082336E0
9.935000096E-3,5.800437927E-1,-3.506158905E0,-5.662724304E-1
1.987000008E-2,2.050885162E0,-5.387446747E0,1.996548157E0
2.980500006E-2,3.547922058E0,-7.592211914E0,3.431015167E0
3.974000004E-2,4.435127106E0,-9.739496613E0,2.832709351E0
4.967500002E-2,4.437821503E0,-1.244422211E1,2.192341003E0
5.961000011E-2,3.820505219E0,-1.579410599E1,1.774410095E0
6.954500009E-2,1.035845947E-1,-1.911524963E1,-2.353555756E0
7.948000007E-2,-1.206491089E0,-1.911719559E1,3.188669128E0
8.941500005E-2,2.028282166E-1,-1.652593414E1,5.464686127E0
9.935000003E-2,6.129753113E-1,-1.395892227E1,3.490740967E0
1.092840000E-1,6.283932495E-1,-1.155357422E1,1.326990509E0
1.192190001E-1,2.247576141E0,-9.504635010E0,-2.805016937E0
1.291540001E-1,4.667144623E0,-7.772137756E0,-8.234825592E0
1.390890001E-1,4.797523499E0,-7.104376373E0,-7.532336426E0
1.490240000E-1,3.488645325E0,-8.700507202E0,-2.641107788E0
1.589590000E-1,2.365830231E0,-9.895771637E0,3.725752258E-1
1.688940000E-1,1.798210602E0,-1.025697052E1,1.038690033E0
1.788290001E-1,1.515598297E0,-1.043510010E1,7.502398682E-1
1.887640001E-1,1.206341400E0,-1.089569229E1,4.802014160E-1
1.986990001E-1,7.382647705E-1,-1.159608582E1,5.011578369E-1
2.086340000E-1,4.556524658E-1,-1.266860550E1,9.268725586E-1
2.185690000E-1,3.502716064E-2,-1.348680405E1,1.259181519E0
2.285030001E-1,-4.195774841E-1,-1.378782806E1,1.320404205E0
2.384380001E-1,-1.035845947E0,-1.378648087E1,2.026336212E0
2.483730001E-1,-1.637295227E0,-1.292472290E1,2.576741638E0
2.583080000E-1,-2.383643188E0,-1.055604858E1,2.343676300E0
2.682430000E-1,-2.781366119E0,-8.390202484E0,2.296075287E0
2.781780000E-1,-2.831811218E0,-6.497089233E0,2.696492615E0
2.881130001E-1,-2.728975067E0,-4.933590546E0,3.322191467E0
2.980480001E-1,-2.632575531E0,-4.069736938E0,3.522924042E0
3.079830001E-1,-2.446362762E0,-4.201013947E0,3.376079407E0
3.179180000E-1,-2.223176880E0,-4.953648834E0,3.065924377E0
3.278530000E-1,-2.041754150E0,-5.330415344E0,2.551144867E0
3.377870001E-1,-2.003284149E0,-5.350623322E0,2.088307343E0
3.477220001E-1,-2.008373566E0,-5.336402893E0,1.754052429E0
3.576570001E-1,-1.867965546E0,-5.713618469E0,1.576820984E0
3.675920001E-1,-1.668580170E0,-6.397097168E0,1.414109344E0
3.775270000E-1,-1.413959656E0,-7.210954742E0,1.223256226E0
3.874620000E-1,-1.028361511E0,-7.991132355E0,1.184037781E0
3.973970001E-1,-9.300160217E-1,-7.832312622E0,1.055155792E0
4.073320001E-1,-7.125183105E-1,-8.185877380E0,1.173709259E0
4.172670001E-1,7.484436035E-3,-9.764344940E0,1.153501282E0
4.272020000E-1,3.282673645E-1,-1.082923050E1,7.315287781E-1
4.371360000E-1,3.029699707E-1,-1.176882660E1,4.191284180E-2
4.470710000E-1,5.029541016E-2,-1.274434799E1,-8.376580811E-1
4.570060001E-1,-2.972817993E-1,-1.382749557E1,-1.992506561E0
4.669410001E-1,-5.430706787E-1,-1.463147369E1,-3.781885529E0
4.768760001E-1,-4.025129700E-1,-1.450453766E1,-5.661676483E0
4.868110000E-1,-3.381468201E-1,-1.356000183E1,-6.350993042E0
4.967460000E-1,-9.268725586E-1,-1.280946259E1,-5.776637421E0
5.066810000E-1,-2.437830505E0,-1.276949570E1,-4.633464661E0
5.166160001E-1,-4.269721069E0,-1.280886383E1,-3.471880188E0
5.265510001E-1,-5.671705627E0,-1.258358231E1,-2.331551514E0
5.364860001E-1,-6.719826050E0,-1.217642899E1,-1.362317047E0
5.464200000E-1,-7.491920471E0,-1.146705414E1,-8.375083923E-1
5.563550000E-1,-8.217910767E0,-1.034917877E1,-7.580236816E-1
5.662900001E-1,-9.133856049E0,-9.261091461E0,-9.443861389E-1
5.762250001E-1,-9.703870697E0,-8.338859253E0,-1.090332642E0
5.861600001E-1,-9.463171234E0,-7.403454437E0,-1.268911285E0
5.960950000E-1,-9.530231781E0,-6.703809357E0,-1.738634491E0
6.060300000E-1,-1.010892838E1,-6.896758118E0,-2.293081512E0
6.159650000E-1,-1.049602341E1,-9.187294922E0,-2.136058044E0
6.259000001E-1,-9.652228088E0,-1.284478912E1,-1.703906708E0
6.358332083E-1,-7.901917877E0,-1.511227386E1,-1.252744904E0
6.457682084E-1,-6.351142731E0,-1.673594742E1,-6.456074524E-1
6.557032084E-1,-5.562432861E0,-1.846679810E1,6.218069458E-1
6.656382084E-1,-5.251679077E0,-2.010124924E1,1.729054413E0
