"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.957065000E-1,9.988565445E-1,-7.792426944E-1,-4.020372331E-1
9.057565000E-1,4.142831564E-1,-5.675179362E-1,-5.070097446E-1
9.158065000E-1,-1.076197401E-1,-3.610230684E-1,-6.170483828E-1
9.258565000E-1,-5.038619041E-1,-1.538243145E-1,-7.326804399E-1
9.359065000E-1,-7.001694441E-1,-2.374114469E-2,-8.381214738E-1
9.459565000E-1,-7.304850221E-1,2.715292759E-2,-9.601762295E-1
9.560065000E-1,-6.136057973E-1,-5.498371273E-2,-1.092399597E0
9.660565000E-1,-4.019089341E-1,-2.684749663E-1,-1.166679978E0
9.761065000E-1,-1.635643542E-1,-5.110918880E-1,-1.180347323E0
9.861565000E-1,7.726530731E-2,-6.815323830E-1,-1.169139028E0
9.962065000E-1,3.370452225E-1,-8.195044994E-1,-1.083489537E0
1.006256500E0,3.792070448E-1,-1.022811294E0,-9.244697690E-1
1.016306500E0,2.078501731E-1,-1.171937466E0,-7.678362131E-1
1.026356500E0,-3.656942025E-2,-1.188430905E0,-6.603880525E-1
1.036406500E0,-3.082821965E-1,-1.122297168E0,-6.689168811E-1
1.046456500E0,-6.846215129E-1,-9.269990325E-1,-7.115237713E-1
1.056506500E0,-1.341000676E0,-8.042351007E-1,-8.048363924E-1
1.066556500E0,-2.232429743E0,-7.995218635E-1,-9.532386065E-1
1.076606500E0,-2.336802244E0,-4.896685779E-1,-7.586968541E-1
1.086656500E0,-1.952503800E0,1.860105246E-1,-5.198432803E-1
1.096706500E0,-1.372350216E0,1.043875694E0,-5.499320626E-1
1.106756500E0,-7.513833642E-1,1.479566693E0,-7.578352094E-1
1.116806500E0,-1.986761093E-1,1.110999346E0,-9.823986292E-1
1.126856500E0,4.685405493E-1,3.755551279E-1,-1.205019116E0
1.136906500E0,1.275358200E0,-1.977145523E-1,-1.237538218E0
1.146956500E0,1.886768341E0,-6.127865911E-1,-1.079120874E0
1.157006500E0,2.060059309E0,-9.547925591E-1,-8.728476763E-1
1.167056500E0,1.747637987E0,-1.180861831E0,-6.801903248E-1
1.177106500E0,1.025860548E0,-1.121092916E0,-5.212044120E-1
1.187156500E0,1.411610395E-1,-7.326352000E-1,-3.911926448E-1
1.197206500E0,-6.861411929E-1,-1.591975242E-1,-2.409546971E-1
1.207256500E0,-1.296443939E0,4.188229442E-1,-2.066918463E-2
1.217306500E0,-1.718407869E0,8.899946809E-1,2.135456651E-1
1.227356500E0,-2.084257364E0,1.243333578E0,4.194013476E-1
1.237406500E0,-2.483714104E0,1.477025628E0,6.686883569E-1
1.247456500E0,-2.905295134E0,1.595263362E0,9.923774600E-1
1.257506500E0,-3.284210443E0,1.506963730E0,1.330308080E0
1.267556500E0,-3.512392044E0,1.110508204E0,1.588342547E0
1.277606500E0,-3.548944950E0,4.669098258E-1,1.922738075E0
1.287656500E0,-3.349050045E0,-4.064022005E-1,2.324767590E0
1.297706500E0,-2.946997643E0,-1.391446114E0,2.713035345E0
1.307756500E0,-2.461343527E0,-2.231361389E0,3.023730755E0
1.317806500E0,-1.966954231E0,-3.009337425E0,3.216152430E0
1.327856500E0,-1.499955654E0,-3.839538097E0,3.313036203E0
1.337906500E0,-1.109987974E0,-4.720878601E0,3.313889027E0
1.347956500E0,-7.591072321E-1,-5.215918541E0,3.226177216E0
1.358006500E0,-2.264508009E-1,-4.009858131E0,2.978969097E0
1.368056500E0,5.734884739E-1,-1.239604354E0,2.503746510E0
1.378106500E0,1.371411204E0,7.120186687E-1,1.921870470E0
1.388156500E0,2.008439779E0,1.393401980E0,1.495553851E0
1.398206500E0,2.449393988E0,1.413124919E0,1.317132592E0
1.408256500E0,2.687768459E0,9.779018760E-1,1.332966924E0
1.418306500E0,2.742754698E0,2.391655445E-1,1.452365518E0
1.428356500E0,2.704936504E0,-5.027551651E-1,1.605567932E0
1.438406500E0,2.646449327E0,-1.133215547E0,1.765258193E0
1.448456500E0,2.627290010E0,-1.428740740E0,1.942264915E0
1.458506500E0,2.694547176E0,-1.498436570E0,2.186557531E0
1.468556500E0,2.826978445E0,-1.433930039E0,2.499485970E0
1.478606500E0,2.996186733E0,-1.282089949E0,2.850152969E0
1.488656500E0,3.203624725E0,-1.102278113E0,3.200443029E0
1.498706500E0,3.381450653E0,-8.601291776E-1,3.509713888E0
1.508756500E0,3.478624105E0,-6.221251488E-1,3.771170139E0
1.518806500E0,3.506177664E0,-6.754187942E-1,4.005208015E0
1.528856500E0,3.507865191E0,-9.875473976E-1,4.131399632E0
1.538906500E0,3.309129238E0,-1.599681020E0,4.041569710E0
1.548956500E0,2.320099115E0,-2.255602598E0,3.481761932E0
1.559006500E0,1.285739779E0,-1.985957146E0,3.109469891E0
1.569056500E0,5.225071907E-1,-1.080718875E0,3.049077749E0
1.579106500E0,1.709486097E-1,-1.629950702E-1,3.172164202E0
1.589156500E0,1.432948709E-1,3.877985775E-1,3.279887199E0
1.599206500E0,2.923181057E-1,5.994489789E-1,3.265839100E0
1.609256500E0,4.608538449E-1,6.040911078E-1,3.086888313E0
1.619306500E0,5.935773253E-1,5.733699799E-1,2.807781696E0
1.629356500E0,7.031333447E-1,5.550671220E-1,2.501879930E0
1.639406500E0,7.836933732E-1,5.570564866E-1,2.208178520E0
1.649456500E0,8.704906106E-1,5.596997142E-1,1.935155034E0
1.659506500E0,9.866827726E-1,5.659897923E-1,1.701616049E0
1.669556500E0,1.089592576E0,4.512251616E-1,1.553763390E0
1.679606500E0,1.171440363E0,2.559370697E-1,1.476183414E0
1.689656500E0,1.229772806E0,3.323341906E-2,1.446051359E0
1.699706500E0,1.296049953E0,-1.562249362E-1,1.477069139E0
1.709756500E0,1.346678019E0,-3.328367174E-1,1.540409565E0
1.719806500E0,1.254869938E0,-3.859051466E-1,1.626992226E0
1.729856500E0,1.062058687E0,-4.710724950E-1,1.714689016E0
1.739906500E0,8.517758250E-1,-6.203725338E-1,1.765286326E0
1.749956500E0,5.732294321E-1,-7.427991033E-1,1.786242485E0
1.760006500E0,3.650238812E-1,-1.013658881E0,1.750834942E0
1.770056750E0,3.051118255E-1,-1.365362644E0,1.705864787E0
1.780106750E0,3.839923143E-1,-1.624056697E0,1.588723660E0
1.790156750E0,6.493433118E-1,-1.790604949E0,1.269186735E0
1.800206750E0,1.116294503E0,-2.408939123E0,5.435159206E-1
1.810256750E0,1.645172715E0,-3.273511648E0,-3.716450632E-1
1.820306750E0,1.913231969E0,-3.685928583E0,-1.022755265E0
1.830356750E0,1.606036305E0,-3.254971743E0,-1.131502509E0
1.840406750E0,7.441648245E-1,-1.659860611E0,-5.261701345E-1
1.850456750E0,-1.054323390E-1,1.273438334E-1,1.148255765E-1
1.860506750E0,-5.143905282E-1,9.144282341E-1,4.395217896E-1
1.870556750E0,-5.699245930E-1,9.894859791E-1,5.371228456E-1
1.880606750E0,-3.616101742E-1,5.829286575E-1,5.739171505E-1
1.890656750E0,-4.965627566E-2,2.525872365E-2,5.674848557E-1
1.900706750E0,5.226059631E-2,-1.292805672E-1,2.509855926E-1
1.910756750E0,5.917602405E-2,-3.440999240E-2,-2.272762358E-3
1.920806750E0,-4.888943397E-3,1.314623207E-1,-3.399281949E-2
1.930856750E0,-9.031888843E-2,2.431534380E-1,1.315977704E-2
1.940906750E0,-1.255147904E-1,2.405422479E-1,7.506256923E-3
1.950956750E0,-1.476464570E-1,2.264184505E-1,-3.952526487E-3
1.961006750E0,-1.932316422E-1,2.676610947E-1,-5.490116403E-2
1.971056750E0,-2.279086560E-1,3.112112284E-1,-7.787625492E-2
1.981106750E0,-2.751309872E-1,3.751232028E-1,-9.787693620E-2
1.991156750E0,-3.348641098E-1,4.578681290E-1,-1.293571144E-1
2.001206750E0,-3.974846601E-1,5.420892835E-1,-1.784339100E-1
2.011256750E0,-4.361090362E-1,5.963527560E-1,-2.093827724E-1
2.021306750E0,-4.670247138E-1,6.499736905E-1,-2.335782349E-1
2.031356750E0,-4.950390458E-1,7.239155173E-1,-2.545098960E-1
2.041406750E0,-5.551632643E-1,8.245664239E-1,-2.769969106E-1
2.051456750E0,-6.229747534E-1,9.142073989E-1,-3.019241095E-1
2.061506750E0,-7.119051218E-1,9.835017920E-1,-3.391165137E-1
2.071556750E0,-8.019080162E-1,1.050662518E0,-3.824890256E-1
2.081606750E0,-8.923397660E-1,1.137566447E0,-4.355697036E-1
2.091656750E0,-9.754221439E-1,1.254290938E0,-4.858272672E-1
2.101706750E0,-1.027565837E0,1.406170845E0,-5.289616585E-1
2.111756750E0,-1.039377928E0,1.573682070E0,-5.726467967E-1
2.121806750E0,-1.020140767E0,1.759423137E0,-6.199923158E-1
2.131856750E0,-9.846997261E-1,1.933591962E0,-6.596249938E-1
2.141906750E0,-9.852284193E-1,2.072896719E0,-6.524188519E-1
