,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
8329,83.00556029,1.712738342,-10.28990204,1.19227066
8330,83.01553929,2.495011597,-10.39019348,1.338217163
8331,83.02548829,2.90530838,-10.71621552,1.165177002
8332,83.03546729,3.1915132139999995,-11.32529892,1.069974976
8333,83.04541629,3.509452057,-12.14499435,1.439855804
8334,83.05539529,3.734583893,-12.75991562,1.6994160459999998
8335,83.06534429,3.9210960389999996,-13.21062836,1.879940643
8336,83.07532329,4.128414917,-13.33756439,2.428998871
8337,83.08530229,4.07886795,-12.68372406,2.875220947
8338,83.09525129,3.482508087,-11.63231049,2.688708801
8339,83.10523029,2.19039505,-10.60155396,1.9450552369999998
8340,83.11517929,0.8949888611,-9.778864746,1.429527283
8341,83.12515829,0.06930587768999999,-9.623038787999999,1.081051941
8342,83.13510729,-0.5050497437,-9.8299086,0.3902384949
8343,83.14508629,-0.8114625549,-10.4894371,-0.5870791625999999
8344,83.15506629,-0.7366181945999999,-11.36526581,-2.314936066
8345,83.16501429,-0.6846762085,-11.63620239,-4.259841614
8346,83.17499429,-1.0154882809999999,-10.814561,-3.4793646239999996
8347,83.18494229,-1.451381836,-10.14200958,-1.638193359
8348,83.19492229,-1.785037994,-9.826914825,-0.08936416626
8349,83.20487029,-1.932780762,-9.585017853,0.6524931335
8350,83.21485029,-1.7314494319999998,-9.387129364,0.4400848389
8351,83.22482929,-1.15365097,-9.120533752,-0.2360591125
8352,83.23477829,-0.49352371219999996,-8.75693985,-0.7029382324
8353,83.24475729,0.07813751221,-8.361013183999999,-0.7033872986
8354,83.25470629,0.5872288513,-8.006250916,-0.7708969116
8355,83.26468529,0.8626560973999999,-7.661817169,-1.14781311
8356,83.27463429,1.068927155,-7.179071045,-1.3904585269999998
8357,83.28461329,1.212778015,-6.779102783,-1.722468109
8358,83.29459229,1.338666229,-6.463259582999999,-1.859882355
8359,83.30454129,1.505269775,-6.131699066,-1.664388885
8360,83.31452029,1.6142431640000001,-5.980214081000001,-1.494641876
8361,83.32446929,1.668729858,-5.9115069579999995,-1.19930603
8362,83.33444829,1.6335530090000001,-5.799240417,-0.8795709229
8363,83.34439729,1.514700165,-5.698499908,-0.8342152405
8364,83.35437629,1.3570779419999999,-5.610482941,-1.0237211609999999
8365,83.36435529,1.1202703859999998,-5.579347687,-1.315913544
8366,83.37430429,0.8186476134999999,-5.639971619,-1.59717865
8367,83.38428329,0.47825546259999996,-5.817053375,-1.917063446
8368,83.39423229,0.22213806149999998,-6.140530701,-2.234253845
8369,83.40421129,-0.01751358032,-6.507567444,-2.61865448
