,Time (s),X (rad/s),Y (rad/s),Z (rad/s)
8314,83.00653729,-2.634070635,1.3852486609999999,0.8124939798999999
8315,83.01651629,-3.004668474,1.119926453,0.8207958341
8316,83.02646529,-3.2035472389999997,0.9888316989,0.7322252989
8317,83.03644429,-3.235178947,0.8035447001,0.5912495255
8318,83.04639329,-3.106945038,0.5403903127,0.4401747882
8319,83.05637229,-2.873346329,0.2193334848,0.31180137399999996
8320,83.06632129,-2.594181299,-0.2813663185,0.25359863039999997
8321,83.07630029,-2.317720413,-0.9673337340000001,0.20589716730000002
8322,83.08627929,-2.093401432,-1.6250946519999998,0.131866008
8323,83.09622829,-1.9290087219999998,-1.972504616,0.05467614159
8324,83.10620729,-1.8209556340000002,-1.964707494,-0.05612794682
8325,83.11615629,-1.859594584,-1.7476221319999998,-0.10292021929999999
8326,83.12613529,-2.0123629569999997,-1.3469733,-0.009488945827
8327,83.13608429,-2.097482681,-0.9280540943000001,0.07343629748
8328,83.14606329,-2.033599377,-0.5847975611999999,-0.01324450318
8329,83.15604229,-1.6218466759999999,0.38988184929999997,-0.029904974619999997
8330,83.16599129,-1.189721823,1.34504962,0.11176379019999999
8331,83.17597029,-1.12584281,1.70670855,0.29314368960000003
8332,83.18591929,-1.329551339,1.4358375069999998,0.4180885553
8333,83.19589829,-1.561888456,0.8829822540000001,0.4991823435
8334,83.20584729,-1.701601505,0.4036931992,0.5387148857
8335,83.21582629,-1.722429395,0.2274705321,0.5525478721
8336,83.22580529,-1.6610648630000002,0.3634349704,0.5667766929
8337,83.23575429,-1.562947869,0.6092588305,0.548695147
8338,83.24573329,-1.475204825,0.8055255413,0.4793795645
8339,83.25568229,-1.350055099,0.9691419004999999,0.3934976757
8340,83.26566129,-1.15402782,0.9516829848,0.3168526292
8341,83.27561029,-0.9344040751,0.8511734605,0.2394449264
8342,83.28558929,-0.7045919299,0.7658337951,0.1811954677
8343,83.29556929,-0.4926977456,0.6664427519,0.1594084203
8344,83.30551729,-0.31450456379999997,0.6201810837,0.1753134727
8345,83.31549729,-0.17247579989999998,0.661854744,0.18924632670000002
8346,83.32544529,-0.06950812787,0.6768125295999999,0.1907811016
8347,83.33542529,0.026642372830000004,0.56578511,0.16445308919999999
8348,83.34537329,0.1286729574,0.3723244369,0.1214410886
8349,83.35535329,0.2524068952,0.16508685050000002,0.07513990253
8350,83.36533229,0.3922957182,-0.032706100489999994,0.02666020393
8351,83.37528029,0.5378973484,-0.1515507251,-0.02233157307
8352,83.38526029,0.6847074628,-0.21509993079999998,-0.07585755736000001
8353,83.39520829,0.8254691362000001,-0.2346603125,-0.1294997483
8354,83.40518829,0.9433500170999999,-0.2162157893,-0.1727073938
8355,83.41513629,1.026973009,-0.1974748671,-0.2049305737
8356,83.42511629,1.0697269440000001,-0.17555128039999998,-0.22226117550000002
8357,83.43509529,1.050031304,-0.19866885239999998,-0.2218334675
8358,83.44504429,0.9823085666,-0.2708295286,-0.1939213425
8359,83.45502329,0.8970674276,-0.2650443316,-0.11509923640000001
8360,83.46497229,0.8133212328,-0.1760522425,-0.0205248706
8361,83.47495129,0.7283115387000001,-0.00425012596,0.06787370144999999
8362,83.48490029,0.6658911705,0.19646540280000002,0.1526999623
8363,83.49487929,0.5991771221,0.4138744175,0.2358337343
8364,83.50485829,0.542419374,0.6188895702,0.3314892054
8365,83.51480729,0.5109048486,0.7926749587,0.4238143265
8366,83.52478629,0.498991102,0.9473177195,0.479724139
8367,83.53473529,0.5076831579,1.051044345,0.47381857039999997
8368,83.54471429,0.5310799479,1.036060333,0.41155141590000005
8369,83.55466329,0.5206438303,0.9045316577,0.318280071
8370,83.56464229,0.4378319979,0.7112038731999999,0.2380283475
8371,83.57462129,0.2666450441,0.5314272046,0.18775506320000002
8372,83.58457029,0.0547262989,0.3989807367,0.1482182443
8373,83.59454929,-0.1513845325,0.3266442418,0.09666132182
8374,83.60449829,-0.3234619498,0.3936245441,0.022501217200000003
8375,83.61447729,-0.4683432579,0.571182251,-0.055077996100000005
8376,83.62442629,-0.5495552421000001,0.6822375654999999,-0.1865197271
8377,83.63440529,-0.5320646763,0.6148468256,-0.46056830880000005
8378,83.64438429,-0.5512692928,0.24253815410000001,-0.7816086411
8379,83.65433329,-0.8233734369,-0.10999831560000001,-1.193609953
8380,83.66431229,-1.396807075,0.08416882157,-1.452124357
