"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.910818750E-1,-6.038293304E0,-6.853947144E0,1.478475494E0
9.010938750E-1,-6.033952332E0,-6.795718231E0,1.003962250E0
9.111058750E-1,-6.079906769E0,-6.750063171E0,9.021739197E-1
9.211178750E-1,-6.266568604E0,-6.673572235E0,1.322948914E0
9.311298750E-1,-6.772217102E0,-6.505471802E0,1.939367065E0
9.411418750E-1,-7.796686707E0,-6.261329498E0,2.362537079E0
9.511538750E-1,-9.131011963E0,-5.772745514E0,2.157613220E0
9.611668750E-1,-9.862989807E0,-5.307662659E0,1.697470093E0
9.711788750E-1,-9.915979614E0,-4.982538757E0,1.196911011E0
9.811908750E-1,-9.775571594E0,-4.967719574E0,6.649172974E-1
9.912028750E-1,-9.609417114E0,-5.284760284E0,2.589614868E-1
1.001214875E0,-9.408684540E0,-5.959856415E0,1.752854919E-1
1.011226875E0,-9.214837646E0,-6.831643524E0,2.312690735E-1
1.021238875E0,-8.945697327E0,-7.656128998E0,-2.059716797E-1
1.031251875E0,-8.769513702E0,-8.349337463E0,-1.029259644E0
1.041263875E0,-9.057065735E0,-8.772357788E0,-1.027014313E0
1.051275875E0,-9.729617157E0,-9.325008545E0,-5.174739075E-1
1.061287875E0,-1.011761032E1,-1.009904892E1,-4.412823486E-1
1.071299875E0,-1.019350250E1,-1.056907150E1,-3.950285339E-1
1.081311875E0,-9.696086884E0,-1.090781708E1,-8.696914673E-2
1.091324875E0,-8.483458557E0,-1.105660767E1,7.188052368E-1
1.101336875E0,-7.002588043E0,-1.097323105E1,1.636846161E0
1.111348875E0,-5.351970520E0,-1.098894836E1,2.547851715E0
1.121360875E0,-4.257446594E0,-1.109642487E1,3.193010101E0
1.131372875E0,-3.970193939E0,-1.144759460E1,3.151845703E0
1.141384875E0,-4.290527802E0,-1.182421143E1,2.589016113E0
1.151396875E0,-5.136269073E0,-1.155132889E1,2.027234344E0
1.161408875E0,-6.650220795E0,-9.874366150E0,1.659598846E0
1.171421875E0,-8.541687469E0,-6.974596252E0,1.094972992E0
1.181433875E0,-7.764353943E0,-7.936945038E0,1.500928802E0
1.191445875E0,-6.739135895E0,-8.809630280E0,7.384144592E-1
1.201457875E0,-7.133715363E0,-7.895930328E0,-6.313870239E-1
1.211469875E0,-7.650740204E0,-7.387437744E0,-1.200204163E0
1.221481875E0,-8.151748352E0,-7.005731506E0,-7.514373779E-1
1.231493875E0,-8.520581360E0,-6.431226196E0,3.156935120E-1
1.241506875E0,-8.760831757E0,-5.968089294E0,1.744322662E0
1.251518875E0,-8.809181213E0,-5.700595551E0,2.942880249E0
1.261530875E0,-8.496780853E0,-5.775589600E0,3.686084747E0
1.271542875E0,-7.822582855E0,-6.059549103E0,3.987707520E0
1.281554875E0,-6.733896790E0,-6.310876465E0,3.795956268E0
1.291566875E0,-5.513484650E0,-6.396348724E0,3.326532440E0
1.301578875E0,-4.295467529E0,-6.217770081E0,2.787802734E0
1.311591875E0,-3.444038086E0,-5.746400299E0,2.466870117E0
1.321603875E0,-2.757266235E0,-5.217849426E0,2.409389648E0
1.331615875E0,-1.978735199E0,-4.807253265E0,2.313139801E0
1.341627875E0,-1.458117828E0,-4.544699249E0,2.274969177E0
1.351639875E0,-1.393152924E0,-4.410129089E0,2.217189331E0
1.361651875E0,-1.803000641E0,-4.333787842E0,2.196532288E0
1.371663875E0,-2.592458954E0,-4.236490173E0,2.294129333E0
1.381676875E0,-3.535198517E0,-4.094136200E0,2.453398132E0
1.391688875E0,-4.386777649E0,-3.873944092E0,2.593357086E0
1.401700875E0,-5.055287476E0,-3.609294434E0,2.859204254E0
1.411712875E0,-5.547913055E0,-3.404969330E0,3.333118744E0
1.421724875E0,-5.996530151E0,-3.362308044E0,3.897445221E0
1.431736875E0,-6.497089233E0,-3.482957153E0,4.397106171E0
1.441748875E0,-7.045548706E0,-3.603007507E0,4.684059448E0
1.451761875E0,-7.613467712E0,-3.638034668E0,4.726421356E0
1.461773875E0,-8.457562408E0,-3.557053070E0,4.664899292E0
1.471785875E0,-7.802075500E0,-4.449197845E0,6.259982300E0
1.481797875E0,-8.095315704E0,-5.076393585E0,5.145998840E0
1.491809875E0,-8.612639923E0,-5.454507294E0,5.004093933E0
1.501821875E0,-8.879085846E0,-5.873785400E0,5.458399200E0
1.511833875E0,-9.296717377E0,-6.575675812E0,5.536536713E0
1.521846875E0,-9.582922211E0,-6.877448273E0,5.933810577E0
1.531858875E0,-9.593250732E0,-6.442602539E0,6.240522766E0
1.541870875E0,-9.047485657E0,-5.805078278E0,6.105353851E0
1.551882875E0,-7.946076050E0,-5.482798462E0,5.691763916E0
1.561894875E0,-6.728657684E0,-5.525759125E0,5.021906891E0
1.571906875E0,-6.353388062E0,-5.750591583E0,4.453389130E0
1.581920083E0,-7.526498566E0,-6.284381561E0,4.262985077E0
1.591933083E0,-9.184750214E0,-7.185807037E0,3.468287659E0
1.601945083E0,-1.001387604E1,-8.008196869E0,1.141675873E0
1.611957083E0,-9.812544708E0,-8.934171295E0,-7.185058594E-1
1.621969083E0,-9.189989319E0,-9.742041321E0,-1.392853546E0
1.631981083E0,-8.559201050E0,-9.931846619E0,-1.310225372E0
1.641993083E0,-8.310119019E0,-9.687704315E0,-1.094374237E0
