"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.351213500E-2,1.251613379E0,2.790900134E-2,-1.472779065E-1
5.601046900E-2,1.263331413E0,4.388799891E-2,-1.344949007E-1
5.850880200E-2,1.295289397E0,7.265000045E-2,-1.174509004E-1
6.100708300E-2,1.327246428E0,9.182500094E-2,-8.655890077E-2
6.350541700E-2,1.360270381E0,1.195209995E-1,-5.673090741E-2
6.600369800E-2,1.393293381E0,1.514789909E-1,-2.796890587E-2
6.850203100E-2,1.430577397E0,1.791759878E-1,-2.729063272E-4
7.100031200E-2,1.468926430E0,2.068729997E-1,3.061909415E-2
7.358296900E-2,1.506210446E0,2.281779945E-1,6.364209950E-2
7.608130200E-2,1.540298462E0,2.398959994E-1,9.666509926E-2
7.857958300E-2,1.573322415E0,2.526789904E-1,1.328841001E-1
8.107791700E-2,1.612736464E0,2.782450020E-1,1.605810970E-1
8.357619800E-2,1.660673380E0,3.240509927E-1,1.808210909E-1
8.607453100E-2,1.702218413E0,3.560090065E-1,2.031911016E-1
8.857281200E-2,1.735241413E0,3.666619956E-1,2.362141013E-1
9.107109400E-2,1.755481362E0,3.624010086E-1,2.681720853E-1
9.356942700E-2,1.767199397E0,3.517479897E-1,3.001300693E-1
9.606770800E-2,1.773590446E0,3.442910016E-1,3.299570680E-1
9.856604200E-2,1.777851462E0,3.474870026E-1,3.555230796E-1
1.010643750E-1,1.782112360E0,3.506830037E-1,3.725680709E-1
1.035715620E-1,1.781047463E0,3.517479897E-1,3.864160776E-1
1.060698440E-1,1.776786447E0,3.496179879E-1,3.906770945E-1
1.085681770E-1,1.775721431E0,3.474870026E-1,3.906770945E-1
1.110664580E-1,1.771460414E0,3.453559875E-1,3.896120787E-1
1.135647920E-1,1.769329429E0,3.410950005E-1,3.810900748E-1
1.160630730E-1,1.760807395E0,3.410950005E-1,3.608500957E-1
1.185614060E-1,1.757612467E0,3.453559875E-1,3.480670750E-1
1.210596870E-1,1.755481362E0,3.442910016E-1,3.320880830E-1
1.235580210E-1,1.753350377E0,3.506830037E-1,3.214350939E-1
1.260563020E-1,1.749089360E0,3.581399918E-1,3.107820749E-1
1.285546350E-1,1.741633415E0,3.624010086E-1,3.001300693E-1
1.310529170E-1,1.734176397E0,3.666619956E-1,3.011950850E-1
1.335980210E-1,1.719262362E0,3.709229827E-1,3.011950850E-1
1.360963020E-1,1.701153398E0,3.698569834E-1,3.011950850E-1
1.385945830E-1,1.677717447E0,3.741189837E-1,3.043910861E-1
1.410929170E-1,1.648955464E0,3.751839995E-1,3.086520731E-1
1.435912500E-1,1.607410431E0,3.709229827E-1,3.139780760E-1
1.460895310E-1,1.564799428E0,3.677269816E-1,3.182390928E-1
1.485878640E-1,1.517928362E0,3.592050076E-1,3.182390928E-1
1.510861460E-1,1.465730429E0,3.432259858E-1,3.107820749E-1
1.535844790E-1,1.410337448E0,3.197900057E-1,3.001300693E-1
1.560827600E-1,1.356008410E0,2.910279930E-1,2.830860913E-1
1.585810940E-1,1.309137464E0,2.558749914E-1,2.585850954E-1
1.610793750E-1,1.264396429E0,2.217859924E-1,2.287570983E-1
1.636269270E-1,1.219655395E0,1.727840006E-1,1.957340986E-1
1.661252080E-1,1.184502363E0,1.205869988E-1,1.648420990E-1
1.686235420E-1,1.154674411E0,6.093199924E-2,1.414060891E-1
1.711218230E-1,1.128043413E0,2.342999913E-3,1.211660951E-1
1.736201560E-1,1.099281430E0,-4.665800184E-2,1.051870957E-1
1.761184370E-1,1.072649360E0,-7.968099415E-2,9.453509748E-2
1.786167710E-1,1.037496448E0,-9.992099553E-2,9.027409554E-2
1.811150520E-1,9.948854446E-1,-1.009859964E-1,7.962109894E-2
1.836133850E-1,9.405574203E-1,-8.287699521E-2,6.470709294E-2
1.861116670E-1,8.713154197E-1,-4.985400289E-2,4.872809350E-2
1.886100000E-1,7.978124022E-1,-8.309000172E-3,2.955409512E-2
1.911082810E-1,7.211143970E-1,3.643099964E-2,5.053093657E-3
1.936531770E-1,6.401544213E-1,8.117200434E-2,-1.625090651E-2
1.961514580E-1,5.570634007E-1,1.237820014E-1,-3.862190619E-2
1.986497390E-1,4.707774520E-1,1.578709930E-1,-5.886190757E-2
2.011480730E-1,3.919484615E-1,1.887629926E-1,-8.016690612E-2
2.036464060E-1,3.152494431E-1,2.185909897E-1,-9.081990272E-2
2.061446870E-1,2.364204377E-1,2.516140044E-1,-1.036029011E-1
2.086430210E-1,1.629174352E-1,2.803759873E-1,-1.163859069E-1
2.111413020E-1,9.367544204E-2,3.059419990E-1,-1.281038970E-1
2.136395830E-1,3.402143717E-2,3.251169920E-1,-1.408869028E-1
2.161379170E-1,-1.604456268E-2,3.410950005E-1,-1.536699086E-1
2.186362500E-1,-5.759056285E-2,3.496179879E-1,-1.653878987E-1
2.211345310E-1,-9.167855978E-2,3.528130054E-1,-1.771059036E-1
2.237195310E-1,-1.161795631E-1,3.453559875E-1,-1.866929084E-1
2.262178120E-1,-1.236365587E-1,3.304429948E-1,-1.877579093E-1
2.287161460E-1,-1.236365587E-1,3.091380000E-1,-1.824319065E-1
2.312144790E-1,-1.129835621E-1,2.888979912E-1,-1.739099026E-1
2.337127600E-1,-9.806956351E-2,2.665269971E-1,-1.611268967E-1
2.362110940E-1,-8.102556318E-2,2.388300002E-1,-1.419519037E-1
2.387093750E-1,-6.078556553E-2,2.111340016E-1,-1.163859069E-1
2.412077080E-1,-4.587256536E-2,1.845019907E-1,-8.229790628E-2
2.437059890E-1,-3.415456414E-2,1.653279960E-1,-4.607890919E-2
2.462043230E-1,-2.563256212E-2,1.557399929E-1,-7.728906348E-3
2.487026040E-1,-2.669756301E-2,1.589359939E-1,2.742309496E-2
2.512009370E-1,-3.628456593E-2,1.706539989E-1,5.405509099E-2
2.537474480E-1,-5.439456552E-2,1.930239946E-1,7.216409594E-2
2.562457810E-1,-7.889556140E-2,2.185909897E-1,8.601309359E-2
2.587440620E-1,-1.076575592E-1,2.452220023E-1,9.453509748E-2
2.612423960E-1,-1.332235634E-1,2.739839852E-1,9.879609942E-2
2.637406770E-1,-1.587895751E-1,2.974199951E-1,1.019910946E-1
2.662390100E-1,-1.800945699E-1,3.229860067E-1,1.019910946E-1
2.687372920E-1,-1.864865720E-1,3.581399918E-1,1.051870957E-1
2.712356250E-1,-1.832905710E-1,4.145979881E-1,1.083830968E-1
2.737339060E-1,-1.630505621E-1,4.881010056E-1,1.115790978E-1
2.762322390E-1,-1.247015595E-1,5.637350082E-1,1.115790978E-1
2.787305210E-1,-7.037355751E-2,6.404340267E-1,1.190360934E-1
2.812288540E-1,2.063437598E-3,7.213930488E-1,1.382101029E-1
2.837696350E-1,8.834943920E-2,7.938310504E-1,1.584500968E-1
2.862679690E-1,1.788964272E-1,8.620080352E-1,1.904080957E-1
2.887662500E-1,2.673134506E-1,9.397720098E-1,2.181050926E-1
2.912645830E-1,3.525344431E-1,1.019666076E0,2.372791022E-1
2.937628640E-1,4.388204515E-1,1.112344027E0,2.511280775E-1
2.962611980E-1,5.133883953E-1,1.207152009E0,2.489970922E-1
2.987594790E-1,5.709124207E-1,1.294502974E0,2.383451015E-1
3.012578120E-1,6.156533957E-1,1.362680078E0,2.213010937E-1
3.037560940E-1,6.550674438E-1,1.417008042E0,2.053221017E-1
3.062544270E-1,6.657204032E-1,1.443639994E0,1.872120947E-1
3.087527080E-1,6.646553874E-1,1.437247992E0,1.680381000E-1
3.112510420E-1,6.529374123E-1,1.405290008E0,1.541890949E-1
3.138012500E-1,6.188493967E-1,1.342440009E0,1.435370892E-1
3.162995830E-1,5.868914127E-1,1.270002007E0,1.371451020E-1
3.187978640E-1,5.506724119E-1,1.218870044E0,1.339491010E-1
3.212961980E-1,5.229754448E-1,1.183716059E0,1.339491010E-1
3.237944790E-1,5.059314370E-1,1.144301057E0,1.339491010E-1
3.262928120E-1,5.027354360E-1,1.101691008E0,1.328841001E-1
3.287910940E-1,5.187144279E-1,1.070798993E0,1.360801011E-1
3.312894270E-1,5.591944456E-1,1.053753972E0,1.456670910E-1
3.337877080E-1,6.145884395E-1,1.055885077E0,1.552540958E-1
3.362859890E-1,6.795684099E-1,1.073994040E0,1.680381000E-1
3.387843230E-1,7.509413958E-1,1.102756023E0,1.818860918E-1
3.412826040E-1,8.265744448E-1,1.144301057E0,1.957340986E-1
3.438275000E-1,8.979474306E-1,1.184781075E0,2.127790898E-1
3.463258330E-1,9.586673975E-1,1.223131061E0,2.276920974E-1
3.488241140E-1,1.001277447E0,1.255089045E0,2.479320914E-1
3.513224480E-1,1.028974414E0,1.264675975E0,2.660420835E-1
3.538207290E-1,1.035365462E0,1.264675975E0,2.852160931E-1
3.563190620E-1,1.024713397E0,1.250827074E0,3.065210879E-1
3.588173440E-1,1.005538464E0,1.219935060E0,3.299570680E-1
3.613156770E-1,9.703844190E-1,1.176259041E0,3.565890789E-1
3.638139580E-1,9.277744293E-1,1.120866060E0,3.864160776E-1
3.663122390E-1,8.809034228E-1,1.048428059E0,4.215690792E-1
3.688105730E-1,8.350964189E-1,9.536200166E-1,4.567230940E-1
3.713089060E-1,8.020734191E-1,8.311150074E-1,4.918770790E-1
3.738207290E-1,7.765074372E-1,7.043490410E-1,5.217041373E-1
3.763190100E-1,7.594634295E-1,5.903660059E-1,5.408791304E-1
3.788173440E-1,7.541373968E-1,4.806450009E-1,5.494011045E-1
3.813156250E-1,7.637244463E-1,3.496179879E-1,5.376831293E-1
3.838139580E-1,7.914214134E-1,2.217859924E-1,5.099861026E-1
3.863122390E-1,8.265744448E-1,1.131300032E-1,4.673760831E-1
3.888105730E-1,8.734464049E-1,3.536599874E-2,4.109170735E-1
3.913088540E-1,9.320354462E-1,-2.641799860E-2,3.416750729E-1
3.938071870E-1,1.000212431E0,-7.648500055E-2,2.671070695E-1
3.963054690E-1,1.079041362E0,-1.212259978E-1,1.872120947E-1
3.988038020E-1,1.154674411E0,-1.297480017E-1,1.211660951E-1
4.013020830E-1,1.224982381E0,-1.052479967E-1,6.151209399E-2
4.038489060E-1,1.292093396E0,-5.518000200E-2,1.857093535E-3
4.063471870E-1,1.347486377E0,1.938700117E-2,-5.566590652E-2
4.088455210E-1,1.398619413E0,1.152600050E-1,-1.099939048E-1
4.113438020E-1,1.449751377E0,2.111340016E-1,-1.675179005E-1
4.138420830E-1,1.490231395E0,3.229860067E-1,-2.143899053E-1
4.163404170E-1,1.517928362E0,4.518820047E-1,-2.601959109E-1
4.188387500E-1,1.538168430E0,5.807790160E-1,-3.028059304E-1
4.213370310E-1,1.548821449E0,7.213930488E-1,-3.368949294E-1
4.238353640E-1,1.544560432E0,8.833130002E-1,-3.667219281E-1
4.263336460E-1,1.527515411E0,1.043102026E0,-3.944189250E-1
4.288319790E-1,1.510471463E0,1.186912060E0,-4.135929048E-1
4.313302600E-1,1.492362380E0,1.306221008E0,-4.285069108E-1
4.339109370E-1,1.465730429E0,1.410616040E0,-4.338329136E-1
4.364092710E-1,1.439099431E0,1.504359007E0,-4.317029119E-1
4.389075520E-1,1.411402464E0,1.589580059E0,-4.157239199E-1
4.414058850E-1,1.379444361E0,1.647104025E0,-3.922879100E-1
4.439041670E-1,1.343225360E0,1.686519027E0,-3.635259271E-1
4.464025000E-1,1.304876447E0,1.711019993E0,-3.283729255E-1
4.489007810E-1,1.270788431E0,1.707823992E0,-2.910879254E-1
4.513991140E-1,1.245221376E0,1.677996993E0,-2.527389228E-1
4.538973960E-1,1.215394378E0,1.644973993E0,-2.048019022E-1
4.563957290E-1,1.184502363E0,1.601297975E0,-1.494089067E-1
4.588940100E-1,1.157870412E0,1.553361058E0,-8.655890077E-2
4.613923440E-1,1.128043413E0,1.491576076E0,-2.903490514E-2
4.639011460E-1,1.101411462E0,1.415943027E0,3.701109067E-2
4.663994270E-1,1.071584463E0,1.337113976E0,1.041220948E-1
4.688977600E-1,1.042822361E0,1.257219076E0,1.648420990E-1
4.713960420E-1,1.020452380E0,1.182651043E0,2.170400918E-1
4.738943750E-1,9.980814457E-1,1.121931076E0,2.681720853E-1
4.763926560E-1,9.778414369E-1,1.075060010E0,3.086520731E-1
4.788909890E-1,9.639934301E-1,1.043102026E0,3.438050747E-1
4.813892710E-1,9.480144382E-1,1.020730972E0,3.768290877E-1
4.838875520E-1,9.352313876E-1,1.006883025E0,3.970680833E-1
4.863858850E-1,9.224483967E-1,9.962300062E-1,4.045250714E-1
4.888842190E-1,9.171214104E-1,9.759899974E-1,4.013300836E-1
4.913825000E-1,9.128603935E-1,9.397720098E-1,3.853510916E-1
4.939292710E-1,9.000774026E-1,9.269880056E-1,3.725680709E-1
4.964275520E-1,8.691853881E-1,9.759899974E-1,3.683060706E-1
4.989258850E-1,8.265744448E-1,1.055885077E0,3.715020716E-1
5.014241670E-1,7.850294113E-1,1.129387975E0,3.672410846E-1
5.039225000E-1,7.477453947E-1,1.178390026E0,3.608500957E-1
5.064207810E-1,7.157874107E-1,1.198629975E0,3.448710740E-1
5.089191140E-1,6.923524141E-1,1.202890992E0,3.310220838E-1
5.114173960E-1,6.710464358E-1,1.197564006E0,3.225000799E-1
5.139157290E-1,6.444154382E-1,1.196498990E0,3.193050921E-1
5.164140100E-1,6.220444441E-1,1.185847044E0,3.150430918E-1
5.189122920E-1,5.996744037E-1,1.178390026E0,3.075870872E-1
5.214106250E-1,5.826303959E-1,1.181586027E0,2.979990840E-1
5.239947390E-1,5.623904467E-1,1.192237973E0,2.905420959E-1
5.264939060E-1,5.378894210E-1,1.190108061E0,2.841510773E-1
5.289931250E-1,5.219104290E-1,1.167737007E0,2.830860913E-1
5.314922390E-1,5.080624223E-1,1.134714007E0,2.756290734E-1
5.339914580E-1,4.878224432E-1,1.100625992E0,2.713680863E-1
5.364906250E-1,4.739734530E-1,1.065472007E0,2.681720853E-1
5.389897920E-1,4.643864334E-1,1.020730972E0,2.628460824E-1
5.414889580E-1,4.505374432E-1,9.717290401E-1,2.585850954E-1
5.439881770E-1,4.420154393E-1,9.184660316E-1,2.543240786E-1
5.464873440E-1,4.281674325E-1,8.683990240E-1,2.511280775E-1
5.489865100E-1,4.068624377E-1,8.183320165E-1,2.521930933E-1
5.514856770E-1,3.898184597E-1,7.735910416E-1,2.532580793E-1
5.539870830E-1,3.717084527E-1,7.416329980E-1,2.543240786E-1
5.564861980E-1,3.535994589E-1,7.203280330E-1,2.500630915E-1
