"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.638533750E-1,-3.229224086E-1,-1.136718035E0,-4.906955063E-1
1.738333750E-1,-1.604863852E-1,-9.481608272E-1,-6.691813469E-1
1.838123749E-1,3.222101182E-2,-7.194126844E-1,-7.480623722E-1
1.937913750E-1,1.691413075E-1,-5.812361836E-1,-7.418894768E-1
2.037703750E-1,2.262768000E-1,-5.084279776E-1,-6.749587059E-1
2.137503750E-1,2.228868604E-1,-5.238125324E-1,-5.773162842E-1
2.237293749E-1,2.010851055E-1,-6.030176282E-1,-4.767605662E-1
2.337083750E-1,2.012877613E-1,-6.986104846E-1,-3.947637081E-1
2.436873750E-1,2.221097946E-1,-7.791045308E-1,-3.209083378E-1
2.536673750E-1,2.268984169E-1,-8.165144920E-1,-3.276463747E-1
2.636463749E-1,3.012741208E-1,-9.350501895E-1,-3.796730936E-1
2.736253750E-1,4.452754855E-1,-6.839524508E-1,-5.058129430E-1
2.836043750E-1,5.827017426E-1,-3.867383301E-1,-5.867084265E-1
2.936143749E-1,6.376236081E-1,-2.986074090E-1,-4.771401882E-1
3.035933750E-1,5.901849866E-1,-2.015797049E-1,-3.260301054E-1
3.135733750E-1,4.850654900E-1,-7.213729620E-2,-2.308042198E-1
3.235523750E-1,4.008114040E-1,-2.800652198E-2,-1.220873818E-1
3.335313749E-1,3.179838955E-1,-1.042166725E-2,-3.232473880E-2
3.435103750E-1,1.802972257E-1,-1.792149991E-2,1.378279761E-3
3.534903750E-1,5.766693968E-3,-4.901656508E-2,2.375100739E-3
3.634693749E-1,-1.593876779E-1,-1.145963669E-1,-1.196299959E-2
3.734483750E-1,-3.013578653E-1,-2.508947849E-1,-2.856567875E-2
3.834273750E-1,-3.673529327E-1,-3.514717817E-1,-5.170124024E-2
3.934073750E-1,-3.772212565E-1,-3.703538477E-1,-7.179185748E-2
4.033863749E-1,-3.354299366E-1,-3.384824693E-1,-6.172206998E-2
4.133653750E-1,-1.823450476E-1,-2.350285351E-1,-6.186907366E-2
4.233753750E-1,4.044124484E-2,-2.408680916E-1,1.053720247E-2
4.333543750E-1,2.392597944E-1,-3.362340331E-1,1.280824691E-1
4.433333750E-1,3.358091116E-1,-5.090736747E-1,1.394342333E-1
4.533133750E-1,3.006324768E-1,-7.385427952E-1,2.178905997E-3
4.632923750E-1,1.543983966E-1,-9.690442085E-1,-1.495301276E-1
4.732713749E-1,-2.484058589E-2,-1.172857285E0,-2.323331386E-1
4.832503750E-1,-1.606066376E-1,-1.307566166E0,-2.109983861E-1
4.932303750E-1,-1.735868901E-1,-1.401105881E0,-9.606620669E-2
5.032093750E-1,-3.550010733E-3,-1.509899974E0,4.973228648E-2
5.131883749E-1,3.280883729E-1,-1.677069783E0,2.211013734E-1
5.231673750E-1,7.157909870E-1,-1.831175685E0,4.004131854E-1
5.331473750E-1,1.028704405E0,-1.965364695E0,5.718374252E-1
5.431263749E-1,1.237796664E0,-2.098088980E0,7.021884918E-1
5.531363750E-1,1.392438412E0,-2.123093128E0,7.002022862E-1
5.631153750E-1,1.385794520E0,-2.042781591E0,5.310794711E-1
5.730943750E-1,1.170712233E0,-1.831583858E0,3.013435006E-1
5.830733749E-1,8.032639027E-1,-1.554947734E0,8.351579309E-2
5.930533750E-1,3.934997916E-1,-1.355595946E0,-1.451725066E-1
6.030323750E-1,5.788151920E-2,-1.297505975E0,-3.876864314E-1
6.130113750E-1,-1.410108060E-1,-1.188119650E0,-4.587430358E-1
6.229903750E-1,-2.017870992E-1,-1.220912337E0,-3.075706661E-1
6.329703750E-1,-1.029494684E-3,-1.231180429E0,-5.934887007E-2
6.429493750E-1,3.966814578E-1,-1.240015626E0,2.017215341E-1
6.529283749E-1,8.372144103E-1,-1.282953143E0,4.299546778E-1
6.629073750E-1,1.109030485E0,-1.407622099E0,6.098441482E-1
6.728873750E-1,1.091033340E0,-1.598992944E0,6.654080749E-1
6.828963750E-1,8.964814544E-1,-1.544071078E0,5.875549912E-1
6.928763749E-1,6.602901816E-1,-1.225416183E0,4.807398319E-1
7.028553750E-1,4.115823805E-1,-1.043247938E0,3.669461608E-1
7.128343750E-1,2.257518023E-1,-1.066658497E0,3.533624411E-1
7.228133749E-1,1.875198036E-1,-1.220029235E0,4.264601767E-1
7.327933750E-1,2.013053894E-1,-1.251247883E0,4.631963372E-1
7.427723750E-1,1.361056715E-1,-1.164085388E0,3.305540383E-1
7.527513750E-1,-2.219501510E-2,-9.375686646E-1,6.318012625E-2
7.627303749E-1,-2.629425526E-1,-7.534883618E-1,-2.581501901E-1
7.727103750E-1,-4.856872261E-1,-5.774331689E-1,-5.513668656E-1
7.826893750E-1,-6.247140169E-1,-4.837500751E-1,-7.328587770E-1
7.926683750E-1,-6.627956033E-1,-5.140438080E-1,-8.217851520E-1
8.026473750E-1,-6.680136919E-1,-5.821150541E-1,-8.409251571E-1
8.126573750E-1,-6.426696777E-1,-5.630455017E-1,-8.148770332E-1
8.226363750E-1,-5.952914953E-1,-4.579504430E-1,-8.088662624E-1
8.326163749E-1,-5.176196098E-1,-3.302420378E-1,-8.502901793E-1
8.425953750E-1,-4.196761847E-1,-2.019630969E-1,-9.031587243E-1
8.525743750E-1,-3.474235833E-1,-8.271499723E-2,-9.798950553E-1
8.625533750E-1,-2.994542420E-1,6.001203507E-2,-1.105186582E0
8.725333749E-1,-2.943244576E-1,1.307423860E-1,-1.212474704E0
8.825123750E-1,-2.293309271E-1,2.880348824E-2,-1.259521127E0
8.924913750E-1,-6.613321602E-2,-2.132450938E-1,-1.232713461E0
9.024703749E-1,1.557577699E-1,-3.084312975E-1,-1.148800731E0
9.124503750E-1,3.525808156E-1,-1.908577830E-1,-1.043112397E0
9.224293750E-1,5.101253986E-1,5.301534384E-2,-9.958918095E-1
9.324393750E-1,6.342324018E-1,3.064441383E-1,-1.105112314E0
9.424183749E-1,6.772146225E-1,5.210693479E-1,-1.101046443E0
9.523973750E-1,3.918078542E-1,9.799913764E-1,-6.271981597E-1
9.623763750E-1,2.820661664E-1,7.681478262E-1,-6.521380544E-1
9.723563750E-1,3.489575982E-1,3.566186130E-1,-7.974933982E-1
9.823353749E-1,4.152192473E-1,2.283056080E-1,-8.495101333E-1
9.923143750E-1,4.943934083E-1,2.225566506E-1,-8.224723935E-1
1.002293375E0,5.669401884E-1,3.173745573E-1,-8.657501936E-1
1.012273375E0,6.336702108E-1,4.288457036E-1,-9.306005836E-1
1.022252375E0,6.136224866E-1,5.936502814E-1,-9.933505654E-1
1.032231375E0,5.889331698E-1,8.079263568E-1,-1.075803280E0
1.042210375E0,5.578117967E-1,9.172600508E-1,-1.113468409E0
1.052190375E0,1.173462749E0,-2.500392683E-2,-6.052320600E-1
1.062199375E0,2.735036373E0,-2.415811062E0,6.774698496E-1
1.072179375E0,2.444794178E0,-1.781975746E0,4.768941700E-1
1.082158375E0,2.158728600E0,-1.433808923E0,2.445365787E-1
1.092143792E0,1.888298869E0,-1.420314074E0,1.180293132E-2
1.102122792E0,1.600119710E0,-9.897076488E-1,-3.938103914E-1
1.112102792E0,1.381808996E0,-6.346094608E-1,-6.277185082E-1
1.122081792E0,1.284353375E0,-2.268968672E-1,-7.949623466E-1
1.132060792E0,1.091881156E0,1.789238304E-2,-9.860521555E-1
1.142039792E0,9.578219056E-1,4.564958811E-1,-1.096290469E0
1.152019792E0,9.457119703E-1,8.704757690E-1,-1.146422267E0
1.161998792E0,1.115128875E0,8.146519065E-1,-1.225086927E0
1.171977792E0,1.145319462E0,7.284861207E-1,-1.124537468E0
1.181956792E0,1.191444874E0,5.829408765E-1,-9.450240135E-1
1.191966792E0,1.301885128E0,7.783958912E-1,-8.716880083E-1
1.201945792E0,1.400430918E0,1.029153585E0,-8.856920004E-1
1.211925792E0,1.398956060E0,1.023867965E0,-8.209598660E-1
1.221904792E0,1.240721226E0,5.112305284E-1,-6.908800602E-1
1.231883792E0,1.003899097E0,1.283603609E-1,-5.886263847E-1
1.241862792E0,7.672390938E-1,3.332330659E-2,-5.710656643E-1
1.251842792E0,2.980791032E-1,4.828984439E-1,-6.332773566E-1
1.261821792E0,-6.266565323E-1,1.285130143E0,-9.773526192E-1
1.271800792E0,-1.137992263E0,1.681651950E0,-1.510071635E0
1.281779792E0,-2.362218142E0,2.572844982E0,-1.875866532E0
1.291759792E0,-3.201538086E0,2.440962791E0,-1.938470483E0
1.301738792E0,-3.190690517E0,9.549070001E-1,-1.371336937E0
1.311717792E0,-2.148624897E0,-4.487535954E-1,-5.451248884E-1
1.321727792E0,-5.552009344E-1,-1.166587174E-1,6.406719983E-2
1.331706792E0,1.331322193E0,1.131709218E0,1.883316189E-1
