,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
3838,20.00195985,0.4508185387,-1.334129691,-0.1832595766
3839,20.00696485,0.5607742667,-1.298699498,-0.1472185254
3840,20.01196985,0.6719517708,-1.2895364759999999,-0.12889257070000001
3841,20.01697485,0.7782423495999999,-1.2944234609999998,-0.1172861308
3842,20.02197985,0.9199630618000001,-1.306029916,-0.1111774743
3843,20.02796085,1.036638379,-1.3249666690000002,-0.1093448773
3844,20.03296585,1.200961113,-1.3420709370000001,-0.12461651119999999
3845,20.03797085,1.348179579,-1.376279354,-0.1478293836
3846,20.04395185,1.525330544,-1.455080986,-0.1740965992
3847,20.04895685,1.673159957,-1.5387696030000002,-0.1783726513
3848,20.05396185,1.794111252,-1.620014668,-0.1649336219
3849,20.05896685,1.8839083909999998,-1.623679876,-0.11301007119999999
3850,20.06397185,1.9230037930000001,-1.524108768,-0.03604105115
3851,20.06897685,1.8539760109999999,-1.335962296,0.04520402848999999
3852,20.07398185,1.679879427,-1.0030407909999999,0.08552113175
3853,20.07898585,1.382998943,-0.6890559793000001,0.11056660859999999
3854,20.08496785,0.8753699064,-0.2687807083,0.1313360333
3855,20.09094885,0.2419026345,0.137444675,0.1472185254
3856,20.09595385,-0.2852740586,0.3310889602,0.08613199741000001
3857,20.10095885,-0.7098253965000001,0.3720169365,-0.07941248268
3858,20.10596385,-1.0103710890000002,0.2559525371,-0.2651155293
3859,20.11096885,-1.2125675679999999,0.0018325957939999999,-0.4379903674
3860,20.11597385,-1.390329242,-0.3066543639,-0.6072000264999999
3861,20.12097885,-1.472796082,-0.6548475623,-0.68539083
3862,20.12598285,-1.492954612,-0.8240572214,-0.7147123218000001
3863,20.13092685,-1.45019412,-0.8894197940999999,-0.6884451509
3864,20.13587085,-1.351233959,-0.8704829812,-0.6096435189
3865,20.14093685,-1.213178396,-0.830165863,-0.5131267905
3866,20.14594185,-1.034194827,-0.8240572214,-0.3958406746
3867,20.15094685,-0.8271115421999999,-0.88086766,-0.2467895597
3868,20.15595185,-0.7208209634,-0.9853256345,-0.13255776460000002
3869,20.16095585,-0.5955936313,-1.140485406,-0.03359758854
3870,20.16589985,-0.44532075520000003,-1.293812633,0.03787364438
3871,20.17096585,-0.2901609838,-1.315192819,0.07024950534
3872,20.17597085,-0.13316862289999998,-1.067181587,0.07696902007
3873,20.18097585,0.05497787147999999,-0.4703662395,0.051312681289999995
3874,20.18598085,0.3536909819,0.37384954090000005,0.01649336144
3875,20.19098585,0.5919284225,0.8362745047,-0.003665191587
3876,20.19592985,0.8313875794,1.002429843,-0.01343903504
3877,20.20093385,1.1105530259999998,0.9217956662000001,-0.007941247895
3878,20.20697685,1.4746286869999998,0.5430592299,0.03237585723
3879,20.21198185,1.718974829,0.00122173049,0.11545353380000001
3880,20.21698685,1.918727756,-0.5564982295,0.2406809032
3881,20.22192985,2.036013842,-0.9156870246,0.3750712574
3882,20.22693485,1.939497113,-1.017090678,0.5119050741
3883,20.23187885,1.6371188159999999,-0.9950994849,0.5070181489
3884,20.23798285,1.147815824,-1.0635163779999999,0.2852740586
3885,20.24292685,0.8772025108,-1.1038335559999999,0.1307251602
3886,20.24793085,0.6762278079999999,-0.9841039181,0.05497787147999999
3887,20.25293585,0.3744603992,-0.6273586154,0.059864792970000004
3888,20.25794085,0.031154127789999996,0.008552113548,0.1093448773
3889,20.26294585,-0.12705996630000002,0.7672467232,0.08735372871
3890,20.26795085,-0.00122173049,1.496008992,0.07452555746
3891,20.27295585,0.25167647,1.6352862119999998,0.1185078546
3892,20.27789985,0.5100724697,1.3823879959999998,0.1826487035
3893,20.28296485,0.7385360598999999,0.9498954415,0.2272418737
3894,20.28796985,0.9034696817,0.48991394039999997,0.27916541699999997
3895,20.29297485,1.033583999,0.1117883399,0.4068362415
3896,20.29797985,1.226617455,-0.1038470939,0.6927211881
3897,20.30396185,1.4746286869999998,-0.1007927656,1.061683774
3898,20.30896585,1.6725490090000001,0.009773843922,1.293201685
3899,20.31397085,1.803885102,0.1930334121,1.429424644
3900,20.31891485,1.8411479,0.4434881806,1.5112806559999998
3901,20.32398085,1.784337401,0.6921103001000001,1.577864885
3902,20.32898585,1.68537724,0.8539896011,1.571145415
3903,20.33392985,1.557706356,1.015868902,1.5460999009999998
3904,20.33893485,1.4147639269999999,1.224173903,1.457524419
3905,20.34497685,1.330464482,1.4514157769999998,1.321912408
3906,20.34998185,1.310916781,1.663996935,1.191798091
3907,20.35492585,1.336573124,1.85764122,1.028697014
3908,20.35993085,1.3842206,2.038457394,0.8448266387000001
3909,20.36493485,1.485013366,2.16551733,0.5998696685
3910,20.36993985,1.616349459,2.176512957,0.3335324228
3911,20.37494485,1.774563551,2.007914066,0.1087340117
3912,20.37994985,1.9443840980000002,1.657277465,-0.09529497474
3913,20.38495485,1.989588141,1.392161846,-0.1973094791
3914,20.38995985,1.96026659,1.16247654,-0.2302961946
3915,20.39496485,1.8533651830000002,0.9596692920000001,-0.1930334121
3916,20.39996985,1.7201964859999999,0.7757988572,-0.09040805697000001
3917,20.40497385,1.590693116,0.6078109145,0.02443460934
3918,20.40991785,1.4831807609999998,0.47525316479999996,0.14110986890000002
3919,20.41498385,1.3805555109999998,0.3781255782,0.22113321719999998
3920,20.41992785,1.334129691,0.32559117670000004,0.2693915665
