"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.821778000E-3,1.039202881E1,1.280166626E0,1.265563965E1
7.232666000E-3,1.265563965E1,2.440673828E0,8.049453735E0
9.643555000E-3,1.268435669E1,2.447860718E0,7.697708130E0
1.205444400E-2,1.249291992E1,2.160720825E0,7.166503906E0
1.446533200E-2,1.134677124E1,7.776641846E-1,6.824325562E0
1.687622100E-2,1.148794556E1,8.542327881E-1,6.510864258E0
1.925659200E-2,1.188037109E1,1.131805420E0,6.197418213E0
2.163696300E-2,1.265803528E1,1.890335083E0,5.800201416E0
2.401733400E-2,1.306959534E1,2.423934937E0,5.611175537E0
2.642822300E-2,1.323231506E1,2.739776611E0,5.529815674E0
2.880859400E-2,1.305284119E1,2.727813721E0,5.450851440E0
3.121948300E-2,1.275852966E1,2.502899170E0,5.278564453E0
3.363037100E-2,1.197367859E1,1.672576904E0,5.048858643E0
3.604126000E-2,1.123669434E1,7.369842529E-1,5.053634644E0
3.842163100E-2,1.113619995E1,7.034912109E-1,5.070388794E0
4.083252000E-2,1.159083557E1,1.198806763E0,5.044067383E0
4.324340800E-2,1.197607422E1,1.586441040E0,4.874176025E0
4.565429700E-2,1.226560974E1,1.878372192E0,5.065612793E0
4.806518600E-2,1.220100403E1,1.902297974E0,5.211563110E0
5.044555700E-2,1.196650696E1,1.667800903E0,5.261810303E0
5.285644500E-2,1.173200989E1,1.423736572E0,5.166107178E0
5.526733400E-2,1.156690979E1,1.289733887E0,5.084747314E0
5.767822300E-2,1.148315430E1,1.222732544E0,5.005783081E0
6.005859400E-2,1.150947571E1,1.196411133E0,4.972290039E0
6.246948300E-2,1.151426697E1,1.119842529E0,5.010574341E0
6.488037100E-2,1.149511719E1,9.930267334E-1,5.048858643E0
6.729126000E-2,1.328256226E1,6.436767578E-1,4.587036133E0
6.967163100E-2,1.691725159E1,-2.703857422E-1,2.421539307E0
7.208252000E-2,1.998007202E1,-1.576873779E0,1.505081177E0
7.449340800E-2,2.269831848E1,-1.646255493E0,1.021728516E0
7.690429700E-2,2.464129639E1,-2.014755249E0,5.407714844E-1
7.931518600E-2,2.558645630E1,-1.229904175E0,2.799530029E-1
8.169555700E-2,2.464846802E1,5.551300049E-1,3.086700439E-1
8.410644500E-2,2.308355713E1,2.471786499E0,6.149597168E-1
8.651733400E-2,2.185604858E1,3.823730469E0,8.303070068E-1
8.892822300E-2,2.122673035E1,4.369293213E0,1.057632446E0
9.130859400E-2,2.090370178E1,4.237686157E0,1.103088379E0
9.371948300E-2,2.055435181E1,3.713653564E0,1.110275269E0
9.613037100E-2,1.997050476E1,2.957534790E0,1.024124146E0
9.854126000E-2,1.922154236E1,2.153533936E0,1.112655640E0
1.009216310E-1,1.805863953E1,1.363906860E0,1.323226929E0
1.033325200E-1,1.633340454E1,7.082824707E-1,1.414154053E0
1.057434080E-1,1.416790771E1,4.570312500E-1,1.148559570E0
1.081542970E-1,1.259582520E1,3.230285645E-1,1.064804077E0
1.105651860E-1,1.179421997E1,1.076812744E-1,1.440475464E0
1.129455570E-1,1.129652405E1,-1.722869873E-1,1.966903687E0
1.153564450E-1,1.090887451E1,-3.852386475E-1,2.811569214E0
1.177673340E-1,1.040399170E1,-6.125640869E-1,3.694519043E0
1.201782230E-1,9.853637695E0,-8.733825684E-1,4.345367432E0
1.225585940E-1,9.413360596E0,-9.188385010E-1,5.209182739E0
1.249694830E-1,9.147766113E0,-8.973083496E-1,5.804992676E0
1.273803710E-1,8.733810425E0,-1.079162598E0,6.711868286E0
1.297912600E-1,7.843673706E0,-1.986038208E0,7.144973755E0
1.322021490E-1,8.020736694E0,-1.392623901E0,8.003997803E0
1.346130370E-1,8.279159546E0,-1.184448242E0,8.102096558E0
1.370239260E-1,8.597412109E0,-6.388854980E-1,8.264816284E0
1.394348150E-1,8.140380859E0,-8.279113770E-1,8.882156372E0
1.418457030E-1,7.551742554E0,-9.738769531E-1,8.992233276E0
1.442260740E-1,6.764511108E0,-1.378265381E0,8.724227905E0
1.466369630E-1,5.927017212E0,-1.837692261E0,8.216949463E0
1.490478520E-1,5.666198730E0,-2.175079346E0,8.353347778E0
1.514587400E-1,5.919845581E0,-2.050643921E0,8.293518066E0
1.538391110E-1,5.749954224E0,-2.148757935E0,7.929809570E0
1.562500000E-1,5.584854126E0,-2.165512085E0,7.436889648E0
1.586608890E-1,5.525024414E0,-2.234893799E0,7.185653687E0
1.610717780E-1,5.503494263E0,-2.215759277E0,6.814758301E0
1.634521490E-1,5.594421387E0,-2.225326538E0,6.486938477E0
1.658630370E-1,5.970092773E0,-2.191818237E0,6.209381104E0
1.682739260E-1,6.403198242E0,-2.246856689E0,6.029907227E0
1.706848150E-1,6.788436890E0,-2.222930908E0,5.833694458E0
1.730651860E-1,7.166503906E0,-2.232498169E0,5.726028442E0
1.754760740E-1,7.494323730E0,-2.218139648E0,5.678161621E0
1.778869630E-1,7.805389404E0,-2.218139648E0,5.668594360E0
1.802978520E-1,7.999206543E0,-2.110473633E0,5.594421387E0
1.827087400E-1,8.159530640E0,-1.945358276E0,5.391036987E0
1.850891110E-1,8.262420654E0,-1.852050781E0,5.180465698E0
