"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,9.780661011E-1,9.367520142E0,3.019071808E0
1.002800000E-2,1.088985443E0,9.447902985E0,3.096011810E0
2.005600001E-2,1.087488556E0,9.463021545E0,3.107537842E0
3.008400000E-2,1.085841980E0,9.413773956E0,3.094664612E0
4.011200000E-2,1.104852448E0,9.332343292E0,3.075354767E0
5.014000001E-2,1.115330658E0,9.300758972E0,3.039429474E0
6.016720833E-2,1.075513458E0,9.296118622E0,3.027753754E0
7.019520833E-2,1.018482056E0,9.290430450E0,3.009791107E0
8.022320834E-2,9.413923645E-1,9.289232941E0,2.987188110E0
9.025120834E-2,8.942404175E-1,9.291029205E0,2.993175659E0
1.002792083E-1,9.150471497E-1,9.314979401E0,3.034489746E0
1.103072083E-1,9.960287476E-1,9.352102203E0,3.058739319E0
1.203352083E-1,1.050365753E0,9.393865356E0,3.094215546E0
1.303632083E-1,1.049467621E0,9.397757263E0,3.127147064E0
1.403912083E-1,1.050216064E0,9.364526367E0,3.149151306E0
1.504192083E-1,1.062041473E0,9.334888000E0,3.149300995E0
1.604472083E-1,1.084045715E0,9.314829712E0,3.136278076E0
1.704752083E-1,1.118623810E0,9.325008545E0,3.110381927E0
1.805032083E-1,1.132245483E0,9.334888000E0,3.109633484E0
1.905312083E-1,1.118324432E0,9.323212280E0,3.113375702E0
2.005592083E-1,1.106499023E0,9.273815002E0,3.114573212E0
2.105872083E-1,1.123413849E0,9.253307648E0,3.127596130E0
2.206152083E-1,1.131646729E0,9.279353485E0,3.140169983E0
2.306422083E-1,1.135388947E0,9.334289246E0,3.149750061E0
2.406702083E-1,1.116228790E0,9.363628235E0,3.137774963E0
2.506982083E-1,1.084195404E0,9.377848663E0,3.129542084E0
2.607262083E-1,1.060394897E0,9.363927612E0,3.131787415E0
2.707542083E-1,1.094823303E0,9.320368195E0,3.125350800E0
2.807822083E-1,1.124162292E0,9.274713135E0,3.125350800E0
2.908102083E-1,1.150956573E0,9.254505157E0,3.124752045E0
3.008382083E-1,1.155297546E0,9.287137299E0,3.123105469E0
3.108662083E-1,1.182241516E0,9.302405548E0,3.095712433E0
3.208942083E-1,1.186133423E0,9.309440918E0,3.089275818E0
3.309222083E-1,1.169817352E0,9.303303680E0,3.134332123E0
3.409502083E-1,1.146166534E0,9.292077026E0,3.119512939E0
3.509782083E-1,1.144370270E0,9.292825470E0,3.122806091E0
3.610062083E-1,1.132395172E0,9.302704926E0,3.128943329E0
3.710342083E-1,1.134191437E0,9.288484497E0,3.142415314E0
3.810622083E-1,1.135089569E0,9.282347260E0,3.158132629E0
3.910902083E-1,1.144220581E0,9.303603058E0,3.168910217E0
4.011182083E-1,1.169368286E0,9.309740295E0,3.156186676E0
4.111462083E-1,1.202748871E0,9.308692474E0,3.155138855E0
4.211742083E-1,1.231938171E0,9.322014771E0,3.130140839E0
4.312022083E-1,1.236877899E0,9.318571930E0,3.108435974E0
4.412302083E-1,1.249152374E0,9.274563446E0,3.141666870E0
4.512582083E-1,1.314865723E0,9.333840179E0,3.170856171E0
4.612862083E-1,1.312171326E0,9.495054932E0,3.149151306E0
4.713142083E-1,1.260079651E0,9.472901001E0,3.133284302E0
4.813422083E-1,1.165626068E0,9.478289795E0,3.068169708E0
4.913702083E-1,9.788145447E-1,9.493258667E0,3.027154999E0
5.013972083E-1,8.187973022E-1,9.362580414E0,3.025508423E0
5.114252083E-1,7.156617737E-1,9.224118347E0,3.034938812E0
5.214532083E-1,6.625222778E-1,9.117839355E0,2.994971924E0
5.314812083E-1,7.113208008E-1,9.130413208E0,2.957699432E0
5.415092083E-1,8.080197144E-1,9.171876984E0,2.974763947E0
5.515372083E-1,9.508227539E-1,9.267528076E0,3.011287994E0
5.615652083E-1,1.064286804E0,9.359586639E0,3.035088501E0
5.715932083E-1,1.112935638E0,9.414073334E0,3.062631226E0
5.816212083E-1,1.129551086E0,9.427695007E0,3.104394379E0
5.916492083E-1,1.119222565E0,9.457483063E0,3.164120178E0
6.016772083E-1,1.086889801E0,9.468859406E0,3.228336639E0
6.117052083E-1,1.077758789E0,9.401349792E0,3.267555084E0
6.217332083E-1,1.075812836E0,9.325158234E0,3.282823334E0
6.317612083E-1,1.067729645E0,9.296717377E0,3.282523956E0
6.417892083E-1,1.097966766E0,9.328900452E0,3.247347107E0
6.518172083E-1,1.167122955E0,9.375902710E0,3.240162048E0
6.618452083E-1,1.215771790E0,9.407636719E0,3.221001892E0
6.718732083E-1,1.226848755E0,9.396709442E0,3.217259674E0
6.819012083E-1,1.228046265E0,9.325457611E0,3.216960297E0
6.919292083E-1,1.233135681E0,9.254205780E0,3.169508972E0
7.019572083E-1,1.207538910E0,9.215137024E0,3.160377960E0
7.119852083E-1,1.213975525E0,9.179361420E0,3.152594147E0
7.220132083E-1,1.243763580E0,9.159303131E0,3.126398621E0
7.320412083E-1,1.269210663E0,9.182804260E0,3.098855896E0
7.420692083E-1,1.267713776E0,9.254056091E0,3.027454376E0
7.520972083E-1,1.208886108E0,9.316027222E0,3.011886749E0
7.621252083E-1,1.093027039E0,9.371861115E0,3.050506439E0
7.721532083E-1,9.660910034E-1,9.392069092E0,3.097658386E0
7.821812083E-1,8.575666809E-1,9.391470337E0,3.133433990E0
7.922092083E-1,7.602690125E-1,9.370813293E0,3.127895508E0
8.022362083E-1,6.816824341E-1,9.291328583E0,3.137176208E0
8.122642083E-1,6.671626282E-1,9.260492706E0,3.143762512E0
8.222922083E-1,7.313790894E-1,9.283245392E0,3.138523407E0
8.323202083E-1,8.021818542E-1,9.354946289E0,3.112178192E0
8.423482083E-1,8.722361755E-1,9.415570221E0,3.042872314E0
8.523762083E-1,9.050180054E-1,9.432185669E0,2.999612274E0
8.624042083E-1,9.168434143E-1,9.398056641E0,2.947071533E0
8.724322083E-1,9.045689392E-1,9.367819519E0,2.906505890E0
8.824602083E-1,8.907975769E-1,9.330397339E0,2.903212738E0
8.924882083E-1,8.852590942E-1,9.332942047E0,2.940335541E0
9.025162083E-1,9.373507690E-1,9.375004578E0,2.961890717E0
9.125442083E-1,9.945318604E-1,9.420210571E0,2.984643402E0
9.225722083E-1,1.029259644E0,9.420060883E0,3.009491730E0
9.326002083E-1,1.016835480E0,9.401200104E0,2.993025970E0
9.426282083E-1,9.948312378E-1,9.386530609E0,2.976859589E0
9.526562083E-1,9.249266052E-1,9.385033722E0,2.977009277E0
9.626842083E-1,8.393046570E-1,9.370364227E0,2.966082001E0
9.727122083E-1,7.640112305E-1,9.359736328E0,2.975961456E0
9.827402083E-1,6.852749634E-1,9.380093994E0,2.988984375E0
9.927682083E-1,6.300398254E-1,9.419162750E0,3.002905426E0
1.002796208E0,6.400689697E-1,9.447004852E0,3.005899200E0
1.012824208E0,7.234455872E-1,9.471104736E0,3.009940796E0
1.022852208E0,8.144563293E-1,9.466763763E0,3.014880524E0
1.032880208E0,8.638536072E-1,9.471104736E0,2.993624725E0
1.042908208E0,8.535250854E-1,9.458979950E0,2.943329315E0
1.052936208E0,8.065228271E-1,9.416168976E0,2.901715851E0
1.062964125E0,7.517367554E-1,9.360933838E0,2.878214722E0
1.072992125E0,7.098239136E-1,9.319619751E0,2.915487213E0
1.083020125E0,6.679110718E-1,9.340276794E0,2.940185852E0
1.093048125E0,6.881190491E-1,9.402247925E0,2.989283752E0
1.103076125E0,7.274871826E-1,9.469607849E0,3.049757996E0
1.113104125E0,7.593708801E-1,9.525741119E0,3.080144806E0
1.123132125E0,8.132588196E-1,9.549092560E0,3.056194611E0
1.133160125E0,8.288264465E-1,9.454040222E0,3.052602081E0
1.143188125E0,8.604107666E-1,9.358239441E0,2.985391846E0
1.153216125E0,8.931925964E-1,9.337133331E0,2.945724335E0
1.163244125E0,9.101074219E-1,9.344468079E0,2.907703400E0
1.173272125E0,9.276210022E-1,9.350305939E0,2.877915344E0
1.183300125E0,9.412426758E-1,9.334888000E0,2.863096161E0
1.193328125E0,9.502239990E-1,9.350156250E0,2.848576355E0
1.203356125E0,9.583071899E-1,9.410929871E0,2.844684448E0
1.213384125E0,9.713301086E-1,9.452243958E0,2.846031647E0
1.223411125E0,9.871971130E-1,9.469458160E0,2.848127289E0
1.233439125E0,9.898915100E-1,9.448052673E0,2.804867249E0
1.243468125E0,9.675878906E-1,9.405690765E0,2.745740204E0
1.253495125E0,9.418414307E-1,9.368567963E0,2.700983276E0
1.263523125E0,9.071136475E-1,9.363927612E0,2.682721252E0
1.273551125E0,8.198451233E-1,9.395511932E0,2.656226349E0
1.283579125E0,7.003935242E-1,9.415570221E0,2.634371796E0
1.293607125E0,6.010002136E-1,9.413175201E0,2.625091095E0
1.303635125E0,5.670208740E-1,9.430389404E0,2.668650513E0
1.313663125E0,6.153703308E-1,9.464967499E0,2.747536469E0
1.323691125E0,6.942562866E-1,9.470206604E0,2.838547211E0
1.333719125E0,7.689509583E-1,9.479936371E0,2.892135773E0
1.343747125E0,8.602610779E-1,9.507179718E0,2.909948730E0
1.353775125E0,9.199868774E-1,9.562564545E0,2.931503906E0
1.363803125E0,9.337582397E-1,9.590706024E0,2.930007019E0
1.373831125E0,9.187893677E-1,9.596543884E0,2.931503906E0
1.383859125E0,8.692424011E-1,9.577533417E0,2.882855072E0
1.393887125E0,8.143066406E-1,9.539063416E0,2.813848572E0
1.403915125E0,7.563771057E-1,9.478589172E0,2.794089661E0
1.413943125E0,7.105723572E-1,9.416468353E0,2.788700867E0
1.423971125E0,6.976991272E-1,9.375603333E0,2.810705109E0
1.433999125E0,7.279362488E-1,9.375603333E0,2.826721802E0
1.444027125E0,7.780819702E-1,9.390721893E0,2.867886200E0
1.454055125E0,8.271798706E-1,9.433682556E0,2.903961182E0
1.464083125E0,8.692424011E-1,9.473499756E0,2.894231415E0
1.474111125E0,8.913963318E-1,9.470655670E0,2.897075500E0
1.484139125E0,8.794212341E-1,9.423204346E0,2.897674255E0
1.494167125E0,8.587641907E-1,9.390572205E0,2.882705383E0
1.504195125E0,8.409512329E-1,9.378896484E0,2.841241608E0
1.514223125E0,8.159532166E-1,9.354646912E0,2.839295654E0
1.524251125E0,7.949967957E-1,9.341923370E0,2.846181335E0
1.534279125E0,7.870632935E-1,9.348809052E0,2.876268768E0
1.544307125E0,7.723937988E-1,9.393416290E0,2.905757446E0
1.554335125E0,7.580236816E-1,9.464967499E0,2.919977875E0
1.564363125E0,7.581733704E-1,9.519005127E0,2.937341766E0
1.574391125E0,7.566764832E-1,9.541308746E0,2.916085968E0
1.584419125E0,7.095245361E-1,9.510921936E0,2.924618225E0
1.594447125E0,6.652166748E-1,9.442065125E0,2.953508148E0
1.604475125E0,6.545887756E-1,9.416168976E0,2.949616241E0
1.614503125E0,6.595285034E-1,9.401050415E0,2.918331299E0
1.624531125E0,6.728507996E-1,9.405840454E0,2.866089935E0
1.634559125E0,6.776408386E-1,9.431736603E0,2.837499390E0
1.644587125E0,6.704557800E-1,9.462722168E0,2.867437134E0
1.654615125E0,6.553372192E-1,9.472751312E0,2.866239624E0
1.664643125E0,6.602769470E-1,9.438472595E0,2.873574371E0
1.674671125E0,6.734495544E-1,9.405092010E0,2.849474487E0
1.684699125E0,6.638694763E-1,9.404493256E0,2.836152191E0
1.694727125E0,6.918612671E-1,9.405241699E0,2.850222931E0
1.704755125E0,7.622149658E-1,9.416767731E0,2.875220947E0
1.714783125E0,8.361611938E-1,9.394613800E0,2.887944489E0
1.724811125E0,9.081614685E-1,9.369765472E0,2.890938263E0
1.734839125E0,9.428892517E-1,9.383087769E0,2.864293671E0
1.744867125E0,9.645941162E-1,9.417067108E0,2.877017212E0
1.754895125E0,9.716294861E-1,9.462871857E0,2.909799042E0
1.764923125E0,9.765692139E-1,9.436526642E0,2.910996552E0
1.774951125E0,9.741741943E-1,9.406439209E0,2.925666046E0
1.784979125E0,9.638456726E-1,9.361981659E0,2.942730560E0
1.795007125E0,9.523196411E-1,9.337732086E0,2.955304413E0
1.805035125E0,9.761201477E-1,9.331594849E0,2.943628693E0
1.815063125E0,1.012045441E0,9.379644928E0,2.952460327E0
1.825091125E0,9.999206543E-1,9.431886292E0,2.948418732E0
1.835119125E0,9.830058289E-1,9.435179443E0,2.948119354E0
1.845147125E0,9.502239990E-1,9.404193878E0,2.952460327E0
1.855175125E0,9.259744263E-1,9.380093994E0,2.919229431E0
1.865203125E0,9.145980835E-1,9.392069092E0,2.916385345E0
1.875231125E0,9.096583557E-1,9.421108704E0,2.901715851E0
1.885259125E0,9.136999512E-1,9.429191895E0,2.856809235E0
1.895287125E0,9.172924805E-1,9.391470337E0,2.848875732E0
1.905315125E0,9.099577332E-1,9.355095978E0,2.847229156E0
1.915343125E0,8.972341919E-1,9.354497223E0,2.847528534E0
1.925371125E0,8.792715454E-1,9.388775940E0,2.878065033E0
1.935399125E0,8.542735291E-1,9.418264618E0,2.926264801E0
1.945427125E0,8.370593262E-1,9.432335358E0,2.964884491E0
1.955455125E0,8.159532166E-1,9.441915436E0,2.971021729E0
1.965483125E0,8.077203369E-1,9.431586914E0,2.968027954E0
1.975511125E0,7.845185852E-1,9.405391388E0,2.941383362E0
1.985539125E0,7.716453552E-1,9.375453644E0,2.941233673E0
1.995567125E0,7.810757446E-1,9.416168976E0,2.954705658E0
2.005595125E0,8.108638000E-1,9.461674347E0,2.964585114E0
2.015623125E0,8.469387817E-1,9.485025787E0,2.993624725E0
2.025651125E0,8.884025574E-1,9.439221039E0,2.955603790E0
2.035679125E0,8.885522461E-1,9.379195862E0,2.907254333E0
2.045707125E0,8.809181213E-1,9.373208313E0,2.882555695E0
2.055735125E0,8.629554749E-1,9.399553528E0,2.887645111E0
2.065763208E0,8.683442688E-1,9.429042206E0,2.903811493E0
2.075791208E0,8.726852417E-1,9.433832245E0,2.935994568E0
2.085819208E0,9.080117798E-1,9.391021271E0,2.969973907E0
2.095847208E0,9.592053223E-1,9.363029480E0,2.976111145E0
2.105875208E0,9.939331055E-1,9.352401581E0,2.972668304E0
2.115903208E0,9.605525208E-1,9.363927612E0,2.970123596E0
2.125931208E0,9.294172668E-1,9.395811310E0,2.953208771E0
2.135959208E0,8.937913513E-1,9.423204346E0,2.962040405E0
2.145987208E0,9.006770325E-1,9.418414307E0,2.963088226E0
2.156015208E0,9.235794067E-1,9.404942322E0,2.965333557E0
2.166043208E0,9.348060608E-1,9.381291504E0,2.957400055E0
2.176071208E0,9.104067993E-1,9.386680298E0,2.944377136E0
2.186099208E0,9.147477722E-1,9.376651154E0,2.915786591E0
2.196127208E0,8.933422852E-1,9.391021271E0,2.940784607E0
2.206155208E0,8.930429077E-1,9.420060883E0,2.963237915E0
2.216183208E0,9.108558655E-1,9.439969482E0,2.979404297E0
2.226211208E0,9.160949707E-1,9.447453918E0,2.966531067E0
2.236239208E0,8.934919739E-1,9.425599365E0,2.937790833E0
2.246267208E0,8.734336853E-1,9.382039948E0,2.936743011E0
2.256295208E0,8.532257080E-1,9.365125122E0,2.919528809E0
2.266323208E0,8.216413879E-1,9.340725861E0,2.907853088E0
2.276351208E0,7.744894409E-1,9.345366211E0,2.902464294E0
2.286380208E0,7.478448486E-1,9.365574188E0,2.929707642E0
2.296408208E0,7.586224365E-1,9.406139832E0,2.947520599E0
2.306435208E0,7.637118530E-1,9.433532867E0,2.946472778E0
2.316464208E0,7.649093628E-1,9.463171234E0,2.954406281E0
2.326492208E0,7.476951599E-1,9.477541351E0,2.947969666E0
2.336520208E0,7.114704895E-1,9.462123413E0,2.957250366E0
2.346548208E0,6.920109558E-1,9.430090027E0,2.952011261E0
2.356576208E0,6.465055847E-1,9.412576447E0,2.940335541E0
2.366604208E0,6.310876465E-1,9.379944305E0,2.913391571E0
2.376632208E0,6.487509155E-1,9.405092010E0,2.855911102E0
2.386660208E0,6.468049622E-1,9.423803101E0,2.820883942E0
2.396688208E0,6.438111877E-1,9.426946564E0,2.834206238E0
2.406716208E0,6.628216553E-1,9.442065125E0,2.834056549E0
2.416744208E0,6.777905273E-1,9.450597382E0,2.837499390E0
2.426772208E0,6.954537964E-1,9.477391663E0,2.831511841E0
2.436800208E0,6.945556641E-1,9.500144348E0,2.816542969E0
2.446828208E0,7.047344971E-1,9.505233765E0,2.828967133E0
2.456856208E0,7.243437195E-1,9.483229523E0,2.855911102E0
2.466884208E0,7.342231750E-1,9.454040222E0,2.878963165E0
2.476912208E0,7.442523193E-1,9.454489288E0,2.887046356E0
2.486940208E0,7.390132141E-1,9.444460144E0,2.856360168E0
2.496968208E0,7.448510742E-1,9.467212830E0,2.839595032E0
2.506996208E0,7.324269104E-1,9.504185944E0,2.820584564E0
2.517024208E0,7.171586609E-1,9.494605865E0,2.815944214E0
2.527052208E0,7.033872986E-1,9.474697266E0,2.804567871E0
2.537080208E0,6.833290100E-1,9.448801117E0,2.816093903E0
2.547108208E0,6.870712280E-1,9.411828003E0,2.840193787E0
2.557136208E0,6.902146912E-1,9.390572205E0,2.850821686E0
2.567164208E0,7.265890503E-1,9.414971466E0,2.869233398E0
2.577192208E0,7.830216980E-1,9.436826019E0,2.875071259E0
2.587220208E0,8.427474976E-1,9.450447693E0,2.872825928E0
2.597248208E0,8.659492493E-1,9.455237732E0,2.848276978E0
2.607276208E0,9.180409241E-1,9.452094269E0,2.842588806E0
2.617304208E0,9.163943481E-1,9.447902985E0,2.831062775E0
2.627332208E0,8.970845032E-1,9.445507965E0,2.827470245E0
2.637360208E0,8.644523621E-1,9.417815552E0,2.845732269E0
2.647388208E0,8.424481201E-1,9.394314423E0,2.850971375E0
2.657416208E0,8.355624390E-1,9.388177185E0,2.868934021E0
2.667444208E0,8.478369141E-1,9.383087769E0,2.882256317E0
2.677472208E0,8.514294434E-1,9.397607574E0,2.887046356E0
2.687500208E0,8.394543457E-1,9.415420532E0,2.876717834E0
2.697528208E0,8.286767578E-1,9.419312439E0,2.872376862E0
2.707556208E0,8.225395203E-1,9.427844696E0,2.885100403E0
2.717584208E0,8.132588196E-1,9.426198120E0,2.890339508E0
2.727612208E0,8.059240723E-1,9.414522400E0,2.896327057E0
2.737640208E0,7.908055115E-1,9.419162750E0,2.889291687E0
2.747668208E0,7.958949280E-1,9.432335358E0,2.916385345E0
2.757696208E0,7.708969116E-1,9.417516174E0,2.941233673E0
2.767725208E0,7.470964050E-1,9.389973450E0,2.929707642E0
2.777753208E0,7.421566772E-1,9.394763489E0,2.915038147E0
2.787781208E0,7.261399841E-1,9.398056641E0,2.929258575E0
2.797809208E0,7.375163269E-1,9.387578430E0,2.936593323E0
2.807837208E0,7.556286621E-1,9.391470337E0,2.915337524E0
2.817865208E0,7.620652771E-1,9.404343567E0,2.923121338E0
2.827893208E0,7.508386230E-1,9.415719910E0,2.931204529E0
2.837921208E0,7.554789734E-1,9.451345825E0,2.919079742E0
2.847949208E0,7.274871826E-1,9.457782440E0,2.917133789E0
2.857977208E0,6.761439514E-1,9.462871857E0,2.921025696E0
2.868005208E0,6.502478027E-1,9.453890533E0,2.908451843E0
2.878033208E0,6.445596313E-1,9.440717926E0,2.916984100E0
2.888061208E0,6.406677246E-1,9.423952789E0,2.919678497E0
2.898089208E0,6.186634827E-1,9.406888275E0,2.934946747E0
2.908117208E0,6.027964783E-1,9.416318665E0,2.944377136E0
2.918145208E0,5.995033264E-1,9.461075592E0,2.946472778E0
2.928173208E0,5.912704468E-1,9.474697266E0,2.934347992E0
2.938201208E0,5.839356995E-1,9.453890533E0,2.928210754E0
2.948229208E0,6.027964783E-1,9.417815552E0,2.957100677E0
2.958257208E0,6.471043396E-1,9.393865356E0,2.951562195E0
2.968285208E0,6.713539124E-1,9.382189636E0,2.931952972E0
2.978313208E0,6.945556641E-1,9.386979675E0,2.942730560E0
2.988341208E0,7.134164429E-1,9.401200104E0,2.960842896E0
2.998369208E0,7.237449646E-1,9.393416290E0,2.965632935E0
3.008397208E0,7.280859375E-1,9.402397614E0,2.964136047E0
3.018425208E0,7.147636414E-1,9.408534851E0,2.964734802E0
3.028453208E0,6.902146912E-1,9.408085785E0,2.956202545E0
3.038481208E0,6.791377258E-1,9.424701233E0,2.950813751E0
3.048509208E0,6.833290100E-1,9.448801117E0,2.953807526E0
3.058537208E0,7.020401001E-1,9.443861389E0,2.966830444E0
3.068564833E0,7.065307617E-1,9.421258392E0,2.983745270E0
3.078592833E0,7.020401001E-1,9.398655396E0,2.974165192E0
3.088621833E0,6.885681152E-1,9.391620026E0,2.965183868E0
3.098649833E0,6.795867920E-1,9.404942322E0,2.945874023E0
3.108677833E0,6.611750793E-1,9.407187653E0,2.929707642E0
3.118705833E0,6.583309937E-1,9.391170959E0,2.943179626E0
3.128733833E0,6.529421997E-1,9.399104462E0,2.915786591E0
3.138761833E0,6.590794373E-1,9.414971466E0,2.916385345E0
3.148789833E0,6.560856628E-1,9.430239716E0,2.937341766E0
3.158817833E0,6.686595154E-1,9.445208588E0,2.929108887E0
3.168845833E0,6.831793213E-1,9.444011078E0,2.924618225E0
3.178873833E0,6.911128235E-1,9.433832245E0,2.896027679E0
3.188901833E0,6.804849243E-1,9.426946564E0,2.898722076E0
3.198929833E0,6.764433289E-1,9.420959015E0,2.900069275E0
3.208957833E0,6.730004883E-1,9.431137848E0,2.896776123E0
3.218985833E0,6.578819275E-1,9.452393646E0,2.893932037E0
3.229013833E0,6.423143005E-1,9.452243958E0,2.872676239E0
3.239041833E0,6.146218872E-1,9.453291779E0,2.867287445E0
3.249069833E0,5.858816528E-1,9.451196136E0,2.891537018E0
3.259097833E0,6.140231323E-1,9.433532867E0,2.883004761E0
3.269125833E0,6.159690857E-1,9.439670105E0,2.877316589E0
3.279153833E0,6.101312256E-1,9.434431000E0,2.864293671E0
3.289181833E0,6.134243774E-1,9.444909210E0,2.868335266E0
3.299209833E0,6.116281128E-1,9.457782440E0,2.849773865E0
3.309237833E0,5.959107971E-1,9.454339600E0,2.831511841E0
3.319265833E0,5.803431702E-1,9.451046448E0,2.852617950E0
3.329293833E0,5.855822754E-1,9.446705475E0,2.862946472E0
3.339321833E0,5.986051941E-1,9.443711700E0,2.851570129E0
3.349350833E0,5.963598633E-1,9.450747070E0,2.848127289E0
3.359378833E0,5.921685791E-1,9.444011078E0,2.841990051E0
3.369406833E0,5.950126648E-1,9.437125397E0,2.837948456E0
3.379434833E0,6.104306030E-1,9.431886292E0,2.826272736E0
3.389462833E0,6.313870239E-1,9.464817810E0,2.838397522E0
3.399490833E0,6.423143005E-1,9.466015320E0,2.858455811E0
3.409518833E0,6.530918884E-1,9.480684814E0,2.867736511E0
3.419546833E0,6.551875305E-1,9.476044464E0,2.856210480E0
3.429574833E0,6.581813049E-1,9.441616058E0,2.826272736E0
3.439602833E0,6.477030945E-1,9.419911194E0,2.832260284E0
3.449630833E0,6.406677246E-1,9.409283295E0,2.824775848E0
3.459658833E0,6.596781921E-1,9.415270844E0,2.824925537E0
3.469686833E0,6.677613831E-1,9.437424774E0,2.847977600E0
3.479714833E0,6.698570251E-1,9.458081818E0,2.855012970E0
3.489742833E0,6.890171814E-1,9.472451935E0,2.827619934E0
3.499770833E0,6.897656250E-1,9.486822052E0,2.824476471E0
3.509798833E0,6.776408386E-1,9.473649445E0,2.826721802E0
3.519826833E0,6.779402161E-1,9.460925903E0,2.820434875E0
