"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.685000008E-3,-1.743812680E0,-1.916727662E0,2.647580385E0
1.861899998E-2,-1.901436687E0,-2.261873722E0,3.027314901E0
2.855399996E-2,-2.099376917E0,-2.459933519E0,3.477492809E0
3.848899994E-2,-1.946075559E0,-1.971991181E0,3.686541319E0
4.842399992E-2,-5.704841018E-1,1.304930300E-1,2.568395615E0
5.835800001E-2,1.258971930E0,1.585192084E0,6.827354431E-1
6.829299999E-2,2.700688362E0,1.904803514E0,-6.091725230E-1
7.822799997E-2,3.283143282E0,1.559792042E0,-8.103075027E-1
8.816299995E-2,2.073505878E0,-8.439126611E-1,-6.895293593E-1
9.809699992E-2,8.604861498E-1,-2.128950357E0,-6.171928644E-1
1.080320000E-1,4.255849421E-1,-2.527872324E0,-6.111980677E-1
1.179670000E-1,2.119200826E-1,-3.395340443E0,-5.354220867E-1
1.279010000E-1,3.265867233E-1,-3.977087021E0,-2.599372268E-1
1.378360000E-1,5.672653913E-1,-4.160790443E0,3.412343562E-2
1.477709999E-1,8.204472065E-1,-4.189910889E0,1.878221780E-1
1.577059999E-1,1.144332647E0,-3.803612947E0,1.438581795E-1
1.676400000E-1,1.412857294E0,-3.089222670E0,6.848318875E-2
1.775750000E-1,1.605530381E0,-2.289220095E0,7.394559681E-2
1.875100000E-1,1.780852675E0,-1.386786222E0,1.662030220E-1
1.974449999E-1,1.803503156E0,-8.548560143E-1,3.548115492E-1
2.073789999E-1,1.471786141E0,-1.083016396E0,6.170077920E-1
2.173140000E-1,6.200628877E-1,-2.262643099E0,8.363196254E-1
2.272490000E-1,-6.709179282E-2,-3.085842133E0,1.102383375E0
2.371840000E-1,-4.587716758E-1,-3.538333416E0,1.443133473E0
2.471179999E-1,-6.436474919E-1,-3.770571470E0,1.775568962E0
2.570529999E-1,-6.627881527E-1,-3.778726101E0,1.952896357E0
2.669880000E-1,-4.355198145E-1,-3.462440729E0,1.928939939E0
2.769230000E-1,2.975625545E-2,-2.903370619E0,1.883509636E0
2.868570000E-1,5.654293895E-1,-2.406807184E0,2.014663458E0
2.967920000E-1,1.017057538E0,-1.908278108E0,2.170849562E0
3.067269999E-1,1.341702104E0,-1.166538715E0,2.162521601E0
3.166619999E-1,1.464249849E0,-3.003304303E-1,1.994104266E0
3.265960000E-1,1.446665525E0,5.447022319E-1,1.716291308E0
3.365310000E-1,1.337020755E0,1.187364578E0,1.356919289E0
3.464660000E-1,1.203244805E0,1.701708674E0,9.741017818E-1
3.563999999E-1,1.073835969E0,1.917206526E0,6.690912843E-1
3.663349999E-1,9.389034510E-1,1.590671897E0,4.495046139E-1
3.762700000E-1,8.215563297E-1,8.572407365E-1,2.857122123E-1
3.862050000E-1,6.639751196E-1,1.183723733E-1,8.233069628E-2
3.961390000E-1,4.573748112E-1,-2.795539796E-1,-9.379693121E-2
4.060739999E-1,2.525402308E-1,-3.507275283E-1,-1.844287515E-1
4.160089999E-1,5.320902541E-2,-2.637297809E-1,-2.279775590E-1
4.259440000E-1,-8.979023993E-2,-2.418959588E-1,-2.281324714E-1
4.358780000E-1,-7.692663372E-2,-4.543578923E-1,-7.849372178E-2
4.458130000E-1,-1.004935801E-2,-6.073161364E-1,3.284086660E-2
4.557479999E-1,-7.368825376E-2,-1.710933149E-1,-5.125955679E-3
4.656819999E-1,-3.192289770E-1,1.080556512E0,-1.105726138E-1
4.756170000E-1,-7.067564726E-1,2.599765539E0,-2.384408414E-1
4.855520000E-1,-1.091764569E0,3.578616142E0,-5.270668864E-1
4.954870000E-1,-1.415191293E0,3.965797186E0,-9.393817782E-1
5.054210000E-1,-1.622292042E0,3.849493265E0,-1.275762200E0
5.153559999E-1,-1.353287458E0,2.963123798E0,-1.423956513E0
5.252909999E-1,-6.395162940E-1,1.611631155E0,-1.464821458E0
5.352260000E-1,1.343474686E-1,3.102066517E-1,-1.441828012E0
5.451600000E-1,7.248512506E-1,-7.816723585E-1,-1.388204694E0
5.550950000E-1,9.359938502E-1,-1.406491280E0,-1.324904084E0
5.650295833E-1,8.118095398E-1,-1.517921209E0,-1.207925677E0
5.749645833E-1,5.371849537E-1,-1.358320117E0,-1.052262902E0
5.848985832E-1,3.660099804E-1,-9.140290022E-1,-8.880046606E-1
5.948335833E-1,5.944452882E-1,-3.366865218E-2,-7.291050553E-1
6.047685833E-1,1.221436739E0,1.123235941E0,-6.166988015E-1
6.147025833E-1,1.919875741E0,1.918776751E0,-5.652438402E-1
6.246375833E-1,2.045908451E0,2.274897814E0,-3.663241863E-1
6.345725833E-1,1.894774586E-1,1.513515711E0,-3.250862062E-1
6.445075833E-1,-1.768642068E0,1.248597980E0,-4.444371760E-1
6.544415833E-1,-2.088342428E0,2.337357521E0,-2.871418297E-1
6.643765833E-1,-1.597000718E0,2.896909714E0,-2.108359933E-1
6.743115833E-1,-1.012280583E0,3.268985510E0,-3.140225708E-1
6.842455833E-1,-7.922047973E-1,3.818913460E0,-2.994047701E-1
6.941805833E-1,-7.380762696E-1,4.103250027E0,-8.134196699E-2
7.041155833E-1,-9.767389297E-1,4.023533344E0,2.987687290E-1
7.140505833E-1,-6.437638998E-1,3.706132412E0,2.741445899E-1
7.239845833E-1,-3.311142921E-1,3.297299623E0,3.887146115E-1
7.339195833E-1,-3.124417961E-1,2.951446772E0,6.436427236E-1
7.438545832E-1,-3.127458990E-1,2.849931479E0,8.045383692E-1
7.537895833E-1,-2.820529640E-1,2.766282558E0,8.619081974E-1
7.637235833E-1,-1.813020855E-1,2.408569813E0,8.177860975E-1
7.736585833E-1,2.351391688E-2,1.693051815E0,6.961579323E-1
7.835935833E-1,3.145855367E-1,7.592060566E-1,5.231992602E-1
7.935275832E-1,6.883037090E-1,-7.463128120E-2,3.360112309E-1
8.034625833E-1,1.111653209E0,-5.462269783E-1,1.819872707E-1
8.133975833E-1,1.513976932E0,-6.748043895E-1,8.415178210E-2
8.233325833E-1,1.819699645E0,-4.714375734E-1,4.187867045E-2
8.332665833E-1,2.033176422E0,9.171524644E-2,-2.915023081E-2
8.432015833E-1,2.175287485E0,9.173793793E-1,-1.158953011E-1
8.531365833E-1,2.179984808E0,1.880951524E0,-1.789232641E-1
8.630705833E-1,2.098891973E0,2.710314512E0,-2.793748081E-1
8.730055833E-1,1.848775864E0,3.185757399E0,-3.793607950E-1
8.829405833E-1,1.420063853E0,3.291155338E0,-3.757374287E-1
8.928755833E-1,9.098002911E-1,3.153822899E0,-2.643973231E-1
9.028095833E-1,3.690271378E-1,2.830528021E0,-1.249343976E-1
9.127445833E-1,-1.449048966E-1,2.349003553E0,-5.310974270E-2
9.226795833E-1,-5.704044700E-1,1.900071621E0,-6.795158982E-2
9.326145833E-1,-8.860066533E-1,1.717660546E0,-1.581733674E-1
9.425485833E-1,-1.059751749E0,2.030914545E0,-2.720997930E-1
9.524835832E-1,-1.039333224E0,2.727836132E0,-3.430064619E-1
9.624185833E-1,-8.883824944E-1,3.198712349E0,-3.438830376E-1
9.723525833E-1,-7.512768507E-1,3.159786701E0,-2.607620358E-1
9.822875833E-1,-6.900020838E-1,2.766840935E0,-1.269417256E-1
9.922225833E-1,-6.839867830E-1,2.197307825E0,4.967325926E-2
1.002157583E0,-6.925560236E-1,1.622542381E0,2.593033314E-1
1.012091583E0,-6.876845956E-1,1.184134722E0,4.896044433E-1
1.022026583E0,-6.324066520E-1,9.695268869E-1,6.921909451E-1
1.031961583E0,-5.315948129E-1,9.100095034E-1,8.081689477E-1
1.041895583E0,-4.240572155E-1,8.371205926E-1,8.424082398E-1
1.051830583E0,-3.383050263E-1,6.627323031E-1,8.246566653E-1
1.061765583E0,-2.519852519E-1,4.125410318E-1,7.540398240E-1
1.071700583E0,-1.619344801E-1,1.804518700E-1,6.067302227E-1
1.081634583E0,-6.585635245E-2,2.213018388E-1,3.879282176E-1
1.091569583E0,-4.481444880E-2,6.203272343E-1,8.821582794E-2
1.101504583E0,-2.796175480E-1,1.058030367E0,-2.892360985E-1
1.111438583E0,-9.878258109E-1,8.499091864E-1,-7.378690243E-1
1.121373583E0,-1.771733046E0,1.949531734E-1,-1.102351308E0
1.131308583E0,-2.147053957E0,-1.368370205E-1,-1.290299296E0
1.141243583E0,-2.197103977E0,-2.869225442E-1,-1.319284320E0
1.151177583E0,-2.221556425E0,-6.145089865E-1,-1.282428026E0
1.161112583E0,-2.348361969E0,-1.212803483E0,-1.186715245E0
1.171047583E0,-2.515125036E0,-1.869017839E0,-1.176665068E0
1.180981583E0,-2.493549347E0,-2.249783278E0,-1.467367649E0
1.190916583E0,-2.240253687E0,-2.330821991E0,-1.941065907E0
1.200851583E0,-1.878387094E0,-2.119873285E0,-2.391652346E0
1.210786583E0,-1.519160390E0,-1.905274749E0,-2.590842009E0
1.220720583E0,-1.168894053E0,-1.920492887E0,-2.517622709E0
1.230655583E0,-8.339897394E-1,-2.034029722E0,-2.267479181E0
1.240590583E0,-5.788411498E-1,-1.938185096E0,-1.855636716E0
1.250524583E0,-5.238258243E-1,-1.467627764E0,-1.354807734E0
1.260459583E0,-7.777870297E-1,-7.635311484E-1,-8.470423222E-1
1.270394583E0,-1.380049944E0,-3.129339516E-1,-4.134669900E-1
1.280329583E0,-2.167343616E0,-3.390240967E-1,-3.288555145E-1
1.290263583E0,-2.567224979E0,-3.339520842E-2,-7.416814566E-1
1.300198583E0,-2.658019781E0,6.966991425E-1,-1.293604016E0
1.310133583E0,-2.606017590E0,1.606983066E0,-1.570920944E0
1.320067583E0,-2.504853249E0,2.334116220E0,-1.614506245E0
1.330002583E0,-2.271714449E0,2.390011311E0,-1.491442442E0
1.339937583E0,-1.864861250E0,1.716432333E0,-1.204963803E0
1.349872583E0,-1.221203685E0,5.481873751E-1,-8.567767739E-1
1.359806583E0,-5.132283568E-1,-4.941257834E-1,-6.939089894E-1
