"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.821777000E-3,-1.029870605E1,-4.989028931E0,5.826522827E0
7.232666000E-3,-1.029870605E1,-4.989028931E0,5.826522827E0
9.643554000E-3,-1.019104004E1,-6.065811157E0,4.902893066E0
1.205444300E-2,-1.058824158E1,-5.560913086E0,4.316650391E0
1.446533200E-2,-1.139941406E1,-4.359725952E0,2.679962158E0
1.687622000E-2,-1.142573547E1,-4.756927490E0,3.553344727E0
1.925659200E-2,-1.122473145E1,-5.008178711E0,3.672988892E0
2.163696300E-2,-1.115055847E1,-5.513061523E0,3.687347412E0
2.401733400E-2,-1.092802429E1,-5.994018555E0,3.651443481E0
2.642822200E-2,-1.095674133E1,-5.699707031E0,3.311660767E0
2.883911100E-2,-1.081555176E1,-6.135192871E0,3.572479248E0
3.121948200E-2,-1.039442444E1,-6.628112793E0,4.347763062E0
3.363037100E-2,-1.032502747E1,-6.690338135E0,4.264007568E0
3.604126000E-2,-1.042314148E1,-6.592224121E0,3.998413086E0
3.845214800E-2,-1.035853577E1,-6.470199585E0,3.957733154E0
4.083251900E-2,-1.032502747E1,-6.125625610E0,3.756729126E0
4.324340800E-2,-1.076290894E1,-4.503295898E0,2.201400757E0
4.565429700E-2,-1.097109985E1,-4.409973145E0,2.670394897E0
4.806518500E-2,-1.060260010E1,-4.443466187E0,3.127426147E0
5.044555600E-2,-1.035134888E1,-4.606185913E0,3.282958984E0
5.285644500E-2,-1.007617188E1,-4.819152832E0,3.192031860E0
5.526733400E-2,-9.820144653E0,-4.967498779E0,3.378662109E0
5.767822200E-2,-9.559326172E0,-4.977066040E0,3.428909302E0
6.005859400E-2,-9.473190308E0,-4.852645874E0,3.582061768E0
6.246948200E-2,-9.473190308E0,-4.713867188E0,3.749557495E0
6.488037100E-2,-9.480361938E0,-4.615753174E0,3.883544922E0
6.729126000E-2,-9.501892090E0,-4.572677612E0,4.029510498E0
6.967163100E-2,-9.456436157E0,-4.587036133E0,4.086944580E0
7.208251900E-2,-9.394226074E0,-4.570297241E0,4.108474731E0
7.449340800E-2,-9.303298950E0,-4.563110352E0,4.134796143E0
7.690429700E-2,-9.157333374E0,-4.476974487E0,4.084548950E0
7.931518500E-2,-9.109481812E0,-4.445861816E0,3.955337524E0
8.169555600E-2,-9.040084839E0,-4.555938721E0,4.091720581E0
8.410644500E-2,-8.946762085E0,-4.663604736E0,4.249649048E0
8.651733400E-2,-8.827117920E0,-4.761718750E0,4.335800171E0
8.892822200E-2,-8.712265015E0,-4.804794312E0,4.256835938E0
9.130859400E-2,-8.681167603E0,-4.847854614E0,4.141983032E0
9.371948200E-2,-8.752944946E0,-4.826324463E0,4.084548950E0
9.613037100E-2,-8.906082153E0,-4.682754517E0,4.072586060E0
9.854126000E-2,-9.052047729E0,-4.534393311E0,3.996017456E0
1.009216310E-1,-9.174087524E0,-4.362121582E0,3.873977661E0
1.033325190E-1,-9.250656128E0,-4.223327637E0,3.751953125E0
1.057434080E-1,-9.305694580E0,-4.082153320E0,3.582061768E0
