"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.029506683E0,-6.737283707E0,-3.244143248E0
1.983642000E-3,8.906430602E-1,-6.837840080E0,-3.356670856E0
4.058838000E-3,7.134721279E-1,-6.936002254E0,-3.454833031E0
6.011963000E-3,5.363011956E-1,-7.026981831E0,-3.541024208E0
8.178711000E-3,4.046200812E-1,-7.129932880E0,-3.603273630E0
1.000976600E-2,3.040636182E-1,-7.244854450E0,-3.670311213E0
1.199340800E-2,2.274491638E-1,-7.366958618E0,-3.737348795E0
1.400756800E-2,1.556231081E-1,-7.493851185E0,-3.813963413E0
1.602172800E-2,7.182604820E-2,-7.613561630E0,-3.907337189E0
1.800537100E-2,-3.591302410E-2,-7.738059998E0,-4.005499363E0
1.998901400E-2,-1.292868853E-1,-7.888894558E0,-4.091690540E0
2.197265600E-2,-1.747767180E-1,-8.063671112E0,-4.182670593E0
2.398681600E-2,-1.987187415E-1,-8.259995461E0,-4.273650169E0
2.600097600E-2,-1.963245422E-1,-8.473079681E0,-4.350264549E0
2.798461900E-2,-1.484405100E-1,-8.695740700E0,-4.434061527E0
2.999877900E-2,-1.508347094E-1,-8.913613319E0,-4.489128113E0
3.195190400E-2,-2.513911724E-1,-9.136273384E0,-4.560954094E0
3.393554700E-2,-3.854664862E-1,-9.397241592E0,-4.663905144E0
3.594970700E-2,-4.955997467E-1,-9.691728592E0,-4.783615112E0
3.793335000E-2,-5.817909837E-1,-9.983820915E0,-4.917690277E0
3.994751000E-2,-6.679822803E-1,-1.025915432E1,-5.080495834E0
4.196167000E-2,-7.757213712E-1,-1.053688145E1,-5.295974255E0
4.394531200E-2,-8.499416113E-1,-1.082418633E1,-5.549759388E0
4.595947300E-2,-8.379706144E-1,-1.111149025E1,-5.793968201E0
4.788208000E-2,-7.517793179E-1,-1.137964058E1,-6.042964935E0
4.986572300E-2,-6.464344859E-1,-1.163103199E1,-6.303933144E0
5.184936500E-2,-6.009446383E-1,-1.185369301E1,-6.586448669E0
5.386352500E-2,-6.081272364E-1,-1.205241108E1,-6.897695065E0
5.587768500E-2,-5.865794420E-1,-1.224634171E1,-7.247248650E0
5.786132800E-2,-5.386953950E-1,-1.244266605E1,-7.632715225E0
5.984497100E-2,-5.195417404E-1,-1.262941360E1,-8.049305916E0
6.182861300E-2,-5.243301988E-1,-1.280419064E1,-8.489839554E0
6.384277300E-2,-5.482721925E-1,-1.297896767E1,-8.966285706E0
6.585693400E-2,-5.889736414E-1,-1.315613842E1,-9.483432770E0
6.784057600E-2,-6.224924326E-1,-1.334767437E1,-1.003409958E1
6.985473600E-2,-6.967126727E-1,-1.352723980E1,-1.059194851E1
7.177734400E-2,-7.852981687E-1,-1.371159267E1,-1.111627865E1
7.376098600E-2,-8.259995580E-1,-1.390791798E1,-1.159033012E1
7.574462900E-2,-8.164227605E-1,-1.411142445E1,-1.196621990E1
7.775878900E-2,-8.116343617E-1,-1.431493187E1,-1.222718811E1
7.977294900E-2,-8.475474119E-1,-1.450407410E1,-1.237323475E1
8.175659200E-2,-8.283938169E-1,-1.468363857E1,-1.242351246E1
8.377075200E-2,-7.757213712E-1,-1.485602188E1,-1.240435886E1
8.572387700E-2,-8.331822157E-1,-1.497094345E1,-1.228704357E1
8.770751900E-2,-1.022324085E0,-1.502600956E1,-1.204283428E1
8.969116200E-2,-1.223437071E0,-1.503798103E1,-1.170046329E1
9.170532200E-2,-1.414973259E0,-1.503798103E1,-1.136527538E1
9.368896500E-2,-1.642422318E0,-1.504037476E1,-1.108275986E1
9.570312500E-2,-1.970427990E0,-1.503558636E1,-1.082897472E1
9.771728500E-2,-2.300827742E0,-1.501882744E1,-1.061110210E1
9.963989200E-2,-2.645592928E0,-1.497333717E1,-1.042674828E1
1.016540530E-1,-2.975992680E0,-1.491587639E1,-1.027830791E1
1.036682130E-1,-3.208230257E0,-1.483686829E1,-1.014662647E1
1.056518550E-1,-3.418920040E0,-1.470758057E1,-9.976638794E0
1.076660160E-1,-3.687070608E0,-1.453759289E1,-9.809044838E0
1.096801760E-1,-3.983951569E0,-1.431732655E1,-9.643844604E0
1.116027830E-1,-4.218583584E0,-1.404199314E1,-9.430760384E0
1.135864260E-1,-4.338293552E0,-1.369243908E1,-9.157821655E0
1.155700680E-1,-4.390965939E0,-1.325190639E1,-8.820239067E0
1.175842280E-1,-4.367023945E0,-1.273236465E1,-8.413225174E0
1.195983890E-1,-4.254496574E0,-1.213620853E1,-7.960720539E0
1.215820310E-1,-4.079719543E0,-1.145386124E1,-7.489062786E0
1.235656740E-1,-3.912125587E0,-1.072602367E1,-7.012616634E0
1.255493160E-1,-3.780444384E0,-9.974244118E0,-6.533776283E0
1.275634760E-1,-3.541024208E0,-9.236829758E0,-6.081272125E0
1.295471190E-1,-3.169923067E0,-8.511386871E0,-5.633556366E0
1.315307620E-1,-2.722207308E0,-7.809885979E0,-5.171475887E0
1.335449220E-1,-2.279279947E0,-7.125144482E0,-4.726154327E0
1.355590820E-1,-1.889025092E0,-6.476315498E0,-4.323928356E0
1.375427250E-1,-1.527500629E0,-5.894524574E0,-3.914519787E0
1.394958500E-1,-1.149216771E0,-5.367800236E0,-3.490746021E0
1.414794920E-1,-8.619126081E-1,-4.872200489E0,-3.131615877E0
1.434936520E-1,-7.062895298E-1,-4.402936935E0,-2.774879694E0
1.455078120E-1,-3.040636182E-1,-4.007893562E0,-2.339135170E0
1.474914550E-1,2.298433632E-1,-3.737348795E0,-1.891419291E0
1.495056150E-1,6.081272364E-1,-3.533841610E0,-1.479616642E0
1.514282230E-1,7.805097699E-1,-3.335123062E0,-1.122880578E0
1.534423830E-1,8.283938169E-1,-3.145981073E0,-8.571242094E-1
1.554565430E-1,7.852981687E-1,-2.997540474E0,-6.703764796E-1
1.574401850E-1,7.062895298E-1,-2.916137695E0,-5.339069963E-1
1.594543460E-1,6.607996821E-1,-2.896984100E0,-4.357447028E-1
1.614379880E-1,6.607996821E-1,-2.913743496E0,-3.639186621E-1
1.634216310E-1,6.775590777E-1,-2.944868088E0,-3.327940404E-1
1.654052730E-1,7.086837292E-1,-3.011905670E0,-3.232172430E-1
1.674194340E-1,7.972691655E-1,-3.143586874E0,-3.280056417E-1
1.694335940E-1,9.433154464E-1,-3.344699860E0,-3.567360640E-1
1.714172360E-1,1.134851575E0,-3.615244627E0,-4.070142806E-1
1.734313960E-1,1.383848548E0,-3.957615376E0,-4.764461517E-1
1.754455570E-1,1.702277422E0,-4.395754337E0,-5.698199868E-1
1.774291990E-1,2.059013367E0,-4.936843872E0,-6.871358752E-1
1.793823240E-1,2.456450939E0,-5.592854977E0,-7.996633649E-1
1.813659670E-1,2.908955097E0,-6.368576527E0,-9.145850539E-1
1.833801270E-1,3.423708439E0,-7.261613846E0,-1.070208192E0
1.853942870E-1,4.019864559E0,-8.293514252E0,-1.290474772E0
1.873779300E-1,4.659116745E0,-9.440337181E0,-1.587355733E0
1.893920900E-1,5.279214859E0,-1.067335129E1,-1.982398987E0
1.913452150E-1,5.813121796E0,-1.196621990E1,-2.475604534E0
1.933288570E-1,6.227318764E0,-1.328303146E1,-3.028665066E0
1.953430170E-1,6.447585106E0,-1.454238129E1,-3.620033026E0
1.973571780E-1,6.485892296E0,-1.570117474E1,-4.302380562E0
1.993408200E-1,6.574477673E0,-1.733641434E1,-5.516240597E0
2.013549800E-1,6.653486729E0,-1.833240318E1,-6.311115742E0
2.032775880E-1,6.672640324E0,-1.878011894E1,-6.660669327E0
2.052917480E-1,6.665457726E0,-1.957259941E1,-7.196970463E0
2.073059080E-1,6.655880928E0,-2.048239517E1,-7.671022415E0
2.092895510E-1,6.629544735E0,-2.088462067E1,-7.852981567E0
2.113037110E-1,6.593631268E0,-2.110488892E1,-7.970297337E0
2.132873530E-1,6.679822922E0,-2.117671394E1,-8.022970200E0
2.152709960E-1,6.876147270E0,-2.111207008E1,-8.066065788E0
2.172851560E-1,7.055712223E0,-2.089180374E1,-8.104372978E0
2.192077640E-1,7.201758862E0,-2.054224968E1,-8.147468567E0
2.212219240E-1,7.419631004E0,-2.011847687E1,-8.190564156E0
2.232360840E-1,7.721300602E0,-1.966597366E1,-8.224082947E0
2.252197260E-1,8.068459511E0,-1.920149803E1,-8.185775757E0
2.272338870E-1,8.389283180E0,-1.874420547E1,-8.078036308E0
2.292480470E-1,8.580819130E0,-1.827015305E1,-7.975085735E0
2.311706540E-1,8.585607529E0,-1.774103546E1,-7.843404770E0
2.331848140E-1,8.334216118E0,-1.711854172E1,-7.654263020E0
2.351989750E-1,7.833827972E0,-1.639549255E1,-7.405265808E0
2.371826170E-1,7.204153061E0,-1.559582996E1,-7.077260017E0
2.391967770E-1,6.502651691E0,-1.476504230E1,-6.636727333E0
2.411804200E-1,5.736507416E0,-1.391749477E1,-6.028599739E0
2.431030270E-1,4.979939461E0,-1.307712936E1,-5.133168221E0
2.450866700E-1,4.242525578E0,-1.224634171E1,-3.890577793E0
2.470703120E-1,3.469198227E0,-1.140597725E1,-2.403778553E0
2.490844730E-1,2.698265314E0,-1.057758331E1,-7.829039693E-1
2.510986330E-1,1.989581585E0,-9.758766174E0,9.481038451E-1
2.530822750E-1,1.364694953E0,-8.963891029E0,2.753331900E0
2.550964350E-1,8.259995580E-1,-8.214506149E0,4.486733913E0
2.570800780E-1,3.950432837E-1,-7.534552574E0,5.980715752E0
2.590026850E-1,5.985504389E-2,-6.928819656E0,7.134721279E0
2.609863280E-1,-2.035071403E-1,-6.387730122E0,7.951143742E0
2.629699710E-1,-3.423708379E-1,-5.925649166E0,8.473079681E0
2.649841310E-1,-3.447650373E-1,-5.532999992E0,8.753201485E0
2.669982910E-1,-2.777273953E-1,-5.197812080E0,8.836998940E0
2.689819340E-1,-1.532289088E-1,-4.905719280E0,8.786720276E0
2.709655760E-1,4.309562966E-2,-4.649539471E0,8.645462036E0
2.729492190E-1,2.657563984E-1,-4.407725334E0,8.463502884E0
2.749633790E-1,4.141969085E-1,-4.173093796E0,8.226476669E0
2.769775390E-1,5.458779931E-1,-3.960009575E0,7.891288757E0
2.789611820E-1,7.326257229E-1,-3.785232782E0,7.445967197E0
2.809753420E-1,8.978256583E-1,-3.658340216E0,6.897695065E0
2.829284670E-1,1.043871999E0,-3.569754839E0,6.308721542E0
2.849121090E-1,1.137245774E0,-3.517082214E0,5.700594425E0
2.869262690E-1,1.189918280E0,-3.514688015E0,5.078101635E0
2.889099120E-1,1.204283476E0,-3.569754839E0,4.462791920E0
2.908935550E-1,1.158793569E0,-3.687070608E0,3.888183594E0
2.929077150E-1,1.046266198E0,-3.852270603E0,3.373430252E0
2.948303220E-1,9.169792533E-1,-4.060565948E0,2.952050686E0
2.968444820E-1,7.541735172E-1,-4.311957359E0,2.595314741E0
2.988586420E-1,5.027823448E-1,-4.608838081E0,2.279279947E0
3.008422850E-1,1.292868853E-1,-4.936843872E0,2.066195965E0
3.028564450E-1,-2.394201756E-1,-5.331887245E0,1.922544003E0
3.048400880E-1,-5.554547906E-1,-5.796362400E0,1.810016513E0
3.068237300E-1,-8.595184088E-1,-6.284779549E0,1.762132406E0
3.088378910E-1,-1.151610970E0,-6.770802498E0,1.793257117E0
3.107604980E-1,-1.431732655E0,-7.254431248E0,1.932120800E0
3.127746580E-1,-1.702277422E0,-7.754819393E0,2.128445387E0
3.147888180E-1,-1.980004787E0,-8.259995461E0,2.360682964E0
3.167724610E-1,-2.291250944E0,-8.757989883E0,2.612074137E0
3.187866210E-1,-2.628833532E0,-9.246406555E0,2.858676910E0
3.207702640E-1,-2.935291290E0,-9.746794701E0,3.071760893E0
3.227233890E-1,-3.220201254E0,-1.025197124E1,3.193865061E0
3.247070310E-1,-3.548206806E0,-1.076433086E1,3.174711466E0
3.267211910E-1,-3.902548790E0,-1.127668953E1,3.100491285E0
