,Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0,0.263891039,-0.5002986193,0.04703662544,0.2528982162
1,0.268957039,-0.3952298164,-0.2296853364,0.17776179309999998
2,0.274939039,-0.2675589919,-0.4465425014,0.1203404516
3,0.279943039,-0.1826487035,-0.48075094820000003,0.09040805697000001
4,0.284948039,-0.1191187203,-0.3982841372,0.06780604272999999
5,0.289892039,-0.1142318025,-0.1643227488,0.05864306539
6,0.294958039,-0.1539380401,0.06291911751,0.06780604272999999
7,0.299963039,-0.2559525371,0.3475823104,0.1014036313
8,0.30496803899999997,-0.4373795092,0.7073819637000001,0.17226399480000001
9,0.309973039,-0.669508338,0.8979719281,0.2345722616
10,0.314916039,-0.8894197940999999,0.85765481,0.24129177629999998
11,0.319860039,-1.0476338859999998,0.7464773059,0.2076941878
12,0.324743039,-1.138041973,0.7538077234999999,0.1478293836
13,0.329931039,-1.150259256,0.8655960559999999,0.1233947799
14,0.33493603899999996,-1.145983219,0.9297369123,0.1136209369
15,0.339941039,-1.112996459,0.8979719281,0.1295034289
16,0.344946039,-1.047023058,0.8155050873999999,0.1747074574
17,0.34995103899999996,-0.9639453292,0.7330383062000001,0.2419026345
18,0.35495503899999997,-0.814894259,0.6035348773,0.32925635579999996
19,0.359960039,-0.6792821287999999,0.4978551865,0.3903428912
20,0.364965039,-0.5412266254,0.342695415,0.4166100919
21,0.369909039,-0.42516219619999995,0.1484402567,0.40622538329999996
22,0.374975039,-0.3164281845,-0.023212879900000004,0.3280346394
23,0.37991903899999996,-0.2076941878,-0.1185078546,0.2290744632
24,0.384924039,-0.09957103431,-0.1185078546,0.1087340117
25,0.389928039,-0.008552113548,-0.00122173049,0.027488935739999994
26,0.394933039,-0.004276056774,0.06780604272999999,-0.03359758854
27,0.39993803899999997,-0.04825835302,0.09896016866,-0.06780604272999999
28,0.404943039,-0.1221730486,0.1282816976,-0.05192354694
29,0.409948039,-0.2138028294,0.1783726513,0.0171042271
30,0.41495303899999997,-0.3066543639,0.21746802329999998,0.13316862289999998
31,0.41989703899999997,-0.35613444450000004,0.1747074574,0.27916541699999997
32,0.424840039,-0.3610213697,0.1826487035,0.36529740689999995
33,0.429967039,-0.37934732439999996,0.27855455879999996,0.3958406746
34,0.434972039,-0.46120324729999995,0.3701843321,0.4294382632
35,0.439916039,-0.5681046844,0.38301250340000004,0.45998153090000005
36,0.44492103899999996,-0.6719517708,0.36468654869999995,0.4483750761
37,0.449926039,-0.735481739,0.39400807020000006,0.4111123085
38,0.454931039,-0.7867944241,0.5125159621,0.3549126983
39,0.45993603899999996,-0.8283332586,0.6194173694,0.3213151097
40,0.46494003899999997,-0.8747590184,0.7122688890000001,0.2956587672
41,0.469945039,-0.9279043078,0.7910705209000001,0.252287358
42,0.474950039,-0.9841039181,0.8704829812,0.19120082260000001
43,0.47995503899999997,-1.04641211,0.9395107627,0.1093448773
44,0.484960039,-1.122159481,0.9700540304,-0.009162978269
45,0.489965039,-1.1942415240000002,0.9902125597,-0.08613199741000001
46,0.494970039,-1.225395679,1.02991879,-0.1527163088
47,0.499975039,-1.226006508,1.048855662,-0.1661553532
48,0.504918039,-1.197906733,1.021366715,-0.1227839142
49,0.509923039,-1.166141748,0.9578366876000001,-0.026878070089999997
50,0.514928039,-1.147204876,0.8668177723999999,0.08063421398
51,0.519933039,-1.1337659359999999,0.762970686,0.1203404516
52,0.524938039,-1.171639562,0.6200281978,0.17226399480000001
53,0.529943039,-1.185689449,0.625526011,0.2229658216
54,0.534948039,-1.226617455,0.6346889734000001,0.2663372457
55,0.539953039,-1.276708364,0.6640105247,0.3066543639
56,0.544957039,-1.326799273,0.7232644558,0.3323107064
57,0.549962039,-1.351233959,0.8472700715000001,0.2968805134
58,0.554906039,-1.308473349,0.9798278809000001,0.2089159191
59,0.5599110389999999,-1.230282545,1.072068453,0.16126842800000002
60,0.564916039,-1.112996459,1.1007791759999999,0.1429424733
61,0.569921039,-0.9498954415,1.088561893,0.16982053219999999
62,0.5749260389999999,-0.7513642311,1.04641211,0.2461786866
63,0.579930039,-0.5186246037,0.9761626720000001,0.36590829490000004
64,0.584935039,-0.1679879427,1.0042624470000001,0.684169054
65,0.589940039,0.3536909819,0.8619308472,1.127046347
66,0.594945039,0.669508338,0.684779942,1.393383622
67,0.599950039,0.8619308472,0.5601634382999999,1.566869378
68,0.604955039,0.9095783234,0.5528330207,1.645060062
69,0.609960039,0.8558222055,0.6572909951,1.6371188159999999
70,0.614965039,0.7641924024,0.8197811842,1.56625843
71,0.619969039,0.7037167549,0.9724974632,1.4446963069999998
72,0.624974039,0.7489207983,1.134987593,1.362840414
73,0.629918039,0.8717046976,1.185078621,1.2901474240000002
74,0.634923039,1.069014192,1.173472166,1.22845006
75,0.639928039,1.306029916,1.112996459,1.186911225
76,0.644933039,1.528995752,1.009149432,1.128878951
77,0.649938039,1.728748679,0.916297853,1.050688267
78,0.654942039,1.9511035680000002,0.8191702962,0.9340129495
79,0.659947039,2.094656944,0.7342600226,0.8509352803
80,0.664952039,2.2064452169999997,0.6860016584,0.7800748944
81,0.669957039,2.279749155,0.6701191664,0.7379252315000001
82,0.6749620390000001,2.315790176,0.6988298297,0.7489207983
83,0.6799670390000001,2.324953079,0.7580837606999999,0.7941248417
