"Time (s)"	"X (m/s^2)"	"Y (m/s^2)"	"Z (m/s^2)"
9.044877083E-1	-6.612648926E0	-8.068072357E0	-2.204914856E-1
9.145377083E-1	-6.239025879E0	-7.801476746E0	-5.643264771E-1
9.245877083E-1	-6.011798401E0	-7.295977936E0	-1.106049957E0
9.346377083E-1	-5.927074585E0	-6.849306793E0	-1.859433289E0
9.446867083E-1	-5.924829254E0	-6.536756744E0	-2.875370636E0
9.547367083E-1	-5.707181854E0	-6.238576813E0	-3.777694244E0
9.647867083E-1	-5.638325043E0	-5.893095245E0	-4.220623169E0
9.748367083E-1	-5.697302399E0	-5.802234192E0	-3.910168762E0
9.848867083E-1	-5.545068970E0	-5.791157227E0	-3.364852753E0
9.949367083E-1	-5.113965454E0	-5.724994812E0	-2.705923004E0
1.004986708E0	-4.616100769E0	-5.581892395E0	-2.206411743E0
1.015035708E0	-4.316124573E0	-5.496869202E0	-2.350412292E0
1.025085708E0	-4.284989319E0	-5.407355347E0	-2.155367889E0
1.035135708E0	-4.310137024E0	-5.718258820E0	-1.839075623E0
1.045185708E0	-4.438270569E0	-6.052663422E0	-2.126477966E0
1.055235708E0	-4.455634460E0	-6.361022186E0	-2.666405182E0
1.065285708E0	-4.224066010E0	-6.566544800E0	-3.138972473E0
1.075335708E0	-3.976181488E0	-6.521937561E0	-3.509302368E0
1.085384708E0	-3.920796661E0	-6.439459076E0	-3.678750000E0
1.095434708E0	-4.235741730E0	-6.674919434E0	-3.560795288E0
1.105484708E0	-4.880900116E0	-7.266938324E0	-3.249293060E0
1.115534708E0	-5.622458038E0	-7.945477295E0	-3.255280609E0
1.125584708E0	-6.184688873E0	-7.584128723E0	-3.827241211E0
1.135634708E0	-6.340664520E0	-6.648125153E0	-4.361031189E0
1.145684708E0	-6.568490753E0	-6.729106750E0	-3.167413330E0
1.155733708E0	-7.147786102E0	-6.990912323E0	-2.201022949E0
1.165783708E0	-7.622149658E0	-7.765551453E0	-1.653162231E0
1.175833708E0	-7.574398956E0	-8.642427979E0	-1.293460236E0
1.185883708E0	-6.591243439E0	-9.208401031E0	-1.287772064E0
1.195933708E0	-5.509742432E0	-9.327702942E0	-1.219663696E0
1.205983708E0	-4.864883423E0	-9.178014221E0	-1.844165039E0
1.216033000E0	-4.662204895E0	-9.490564270E0	-2.720143433E0
1.226082000E0	-4.849166107E0	-1.025233017E1	-3.413651276E0
1.236132000E0	-5.674849091E0	-1.020083725E1	-2.657423859E0
1.246182000E0	-6.676566010E0	-8.754993896E0	-9.731263733E-1
1.256232000E0	-7.486381989E0	-7.377258911E0	-7.000941467E-1
1.266282000E0	-7.400460663E0	-7.363936615E0	-1.060394897E0
1.276332000E0	-6.747668152E0	-8.187973022E0	-1.545536041E0
1.286382000E0	-5.540278931E0	-8.087082825E0	-1.970502319E0
1.296432000E0	-4.681514740E0	-8.292006683E0	-2.051932983E0
1.306481000E0	-4.447551270E0	-8.514893188E0	-2.144141235E0
1.316531000E0	-4.378544769E0	-8.272098083E0	-1.953437805E0
1.326581000E0	-4.613256683E0	-7.813451843E0	-1.759890289E0
1.336631000E0	-4.975054321E0	-7.280859375E0	-1.371747437E0
1.346681000E0	-5.088518372E0	-6.921157379E0	-7.355703735E-1
1.356731000E0	-4.997357941E0	-6.680158539E0	-3.171903992E-1
1.366781000E0	-4.903802490E0	-6.707401886E0	1.785786438E-1
1.376830000E0	-4.808151398E0	-6.932833099E0	6.797364807E-1
1.386880000E0	-4.734354858E0	-7.430398407E0	7.467970276E-1
1.396930000E0	-4.541256409E0	-8.028853912E0	2.276765442E-1
1.406980000E0	-4.334236908E0	-8.559201050E0	-4.860392761E-1
1.417030000E0	-4.443659363E0	-8.789721680E0	-1.078058167E0
1.427080000E0	-4.816683655E0	-8.646319885E0	-1.329684906E0
1.437130000E0	-5.332510986E0	-8.345894623E0	-1.145268402E0
1.447179000E0	-5.780080261E0	-7.943082275E0	-7.934999084E-1
1.457229000E0	-6.008505249E0	-7.598349152E0	-2.788700867E-1
1.467279000E0	-6.273753662E0	-7.571405182E0	1.996847534E-1
1.477329000E0	-6.486461334E0	-7.507039032E0	5.709127808E-1
1.487379000E0	-6.594985657E0	-7.530091095E0	8.687933350E-1
1.497429000E0	-6.583309937E0	-7.733967133E0	8.430468750E-1
1.507479000E0	-6.365662537E0	-8.056995392E0	4.734654236E-1
1.517528000E0	-6.152954865E0	-8.451275482E0	5.568420410E-2
1.527578000E0	-6.058501282E0	-8.673712921E0	-3.222798157E-1
1.537628000E0	-6.019282837E0	-8.841214600E0	-5.165757751E-1
1.547678000E0	-6.062243500E0	-8.856482849E0	-5.343887329E-1
1.557728000E0	-6.103557587E0	-8.742869110E0	-4.387376404E-1
1.567778000E0	-6.095624084E0	-8.626111908E0	-3.614982605E-1
1.577828000E0	-5.993536377E0	-8.501570892E0	-2.577639771E-1
1.587877000E0	-5.941145325E0	-8.387208710E0	-1.342707825E-1
1.597927000E0	-5.865103455E0	-8.187673645E0	3.891906738E-3
1.607977000E0	-5.905818787E0	-8.030201111E0	1.691482544E-1
1.618027000E0	-5.901926880E0	-7.730673981E0	2.186952209E-1
1.628077000E0	-5.912105713E0	-7.975415039E0	3.668870544E-1
1.638127000E0	-5.950276337E0	-8.137677612E0	1.809736633E-1
1.648177000E0	-5.880521393E0	-7.978109436E0	-4.236190796E-2
1.658227000E0	-5.820196838E0	-8.015232239E0	-1.109193420E-1
1.668276000E0	-5.783523102E0	-8.050708466E0	-2.808160400E-1
1.678326000E0	-5.738616486E0	-7.942483521E0	-2.712359619E-1
1.688376000E0	-5.746999054E0	-7.884404297E0	-1.399589539E-1
1.698426000E0	-5.802234192E0	-7.852670288E0	-1.534309387E-1
1.708476000E0	-5.820945282E0	-7.878267059E0	-2.489323425E-1
1.718526000E0	-5.787415009E0	-7.878865814E0	-2.209405518E-1
1.728576000E0	-5.760471039E0	-7.846383362E0	-1.709445190E-1
1.738625000E0	-5.736371155E0	-7.801476746E0	-6.451583862E-2
1.748675000E0	-5.739664307E0	-7.721542969E0	3.367996216E-2
1.758725000E0	-5.699398041E0	-7.631729736E0	-4.490661621E-4
1.768775000E0	-5.686674500E0	-7.601342926E0	-8.158035278E-2
1.778825000E0	-5.722300415E0	-7.584278412E0	-2.130070496E-1
1.788875000E0	-5.774990845E0	-7.655979309E0	-4.370910645E-1
1.798925000E0	-5.817203064E0	-7.742798767E0	-6.511459351E-1
1.808974000E0	-5.913452911E0	-7.800578613E0	-7.074288940E-1
1.819024000E0	-6.016289062E0	-7.807015228E0	-7.197033691E-1
1.829074000E0	-6.109395447E0	-7.735314331E0	-6.319857788E-1
1.839124000E0	-6.238876190E0	-7.798033905E0	-5.842350769E-1
1.849174000E0	-6.279591522E0	-7.844886475E0	-5.873785400E-1
1.859224000E0	-6.303242340E0	-7.896529083E0	-5.834866333E-1
1.869274000E0	-6.401887207E0	-7.929310913E0	-6.236032104E-1
1.879323000E0	-6.420298920E0	-7.892337799E0	-6.499484253E-1
1.889373000E0	-6.328539734E0	-8.202492828E0	-6.719526672E-1
1.899423000E0	-6.297105103E0	-8.290060730E0	-8.032296753E-1
1.909473000E0	-6.442752228E0	-8.533753967E0	-8.553213501E-1
1.919523000E0	-6.435567169E0	-8.337961121E0	-1.031504974E0
1.929573000E0	-6.507567444E0	-8.014483795E0	-9.862989807E-1
1.939623000E0	-6.568041687E0	-8.249794464E0	-7.451504517E-1
1.949673000E0	-6.592141571E0	-8.291407928E0	-6.659651184E-1
1.959722000E0	-6.544690247E0	-8.074508972E0	-6.524931335E-1
1.969772000E0	-6.379134521E0	-8.151299286E0	-6.554869080E-1
1.979822000E0	-6.260131989E0	-8.315208435E0	-8.190966797E-1
1.989872000E0	-6.339317322E0	-8.377928009E0	-9.360035706E-1
1.999922000E0	-6.413263550E0	-8.310717773E0	-1.053509216E0
2.009972000E0	-6.400839386E0	-8.173453217E0	-1.129551086E0
2.020022000E0	-6.359974365E0	-7.966733093E0	-1.152303772E0
2.030071000E0	-6.171067200E0	-7.688012695E0	-1.302591248E0
2.040121000E0	-5.912554779E0	-7.384593658E0	-1.450483704E0
2.050171000E0	-5.702242126E0	-7.100484467E0	-1.512454834E0
2.060221000E0	-5.327421570E0	-7.260801086E0	-1.312770081E0
2.070271000E0	-5.194647675E0	-7.314090271E0	-1.302591248E0
2.080321000E0	-5.165458374E0	-6.977590027E0	-1.586101685E0
2.090371000E0	-4.980443115E0	-7.121740265E0	-1.916764069E0
2.100421000E0	-5.110223236E0	-7.155120850E0	-2.329006805E0
2.110470000E0	-5.367388458E0	-7.477250977E0	-2.385888519E0
2.120520000E0	-5.655389557E0	-7.692802734E0	-2.270328827E0
2.130570000E0	-5.850134583E0	-8.115673370E0	-2.239043884E0
2.140620000E0	-5.872438202E0	-8.552465057E0	-2.371668091E0
2.150670000E0	-5.835764465E0	-8.816366272E0	-2.301913147E0
2.160720000E0	-5.797294464E0	-9.292675781E0	-2.146386566E0
2.170770000E0	-5.663472748E0	-9.767189026E0	-2.303410034E0
2.180819000E0	-5.617817688E0	-1.000070343E1	-2.476749573E0
2.190869000E0	-5.568570099E0	-9.913285217E0	-2.702180786E0
2.200919000E0	-5.450465698E0	-9.682764587E0	-3.070415039E0
2.210969750E0	-5.397924957E0	-9.411079559E0	-3.464994507E0
2.221019750E0	-5.610183563E0	-8.914562073E0	-3.735931091E0
2.231069750E0	-5.931415558E0	-8.075856171E0	-3.888463898E0
2.241119750E0	-6.085744629E0	-7.272177429E0	-3.816613312E0
2.251168750E0	-6.005361786E0	-6.628665619E0	-3.511547699E0
2.261218750E0	-5.790857849E0	-6.148464203E0	-3.074606323E0
2.271268750E0	-5.444777527E0	-5.959706726E0	-2.700384521E0
