"Time (s)"	"X (rad/s)"	"Y (rad/s)"	"Z (rad/s)"
8.843877083E-1	4.433826208E-1	7.625039816E-1	-1.602859646E-1
8.944377083E-1	3.091736734E-1	5.270572901E-1	-2.813367844E-1
9.044877083E-1	4.500861280E-3	3.978969455E-1	-3.219726086E-1
9.145377083E-1	-3.003260195E-1	3.192247450E-1	-3.077714145E-1
9.245877083E-1	-4.990558922E-1	2.988001704E-1	-2.932081819E-1
9.346377083E-1	-5.239517689E-1	2.980949879E-1	-2.830796242E-1
9.446867083E-1	-3.199485838E-1	2.746730447E-1	-2.376852483E-1
9.547367083E-1	5.633829162E-2	2.902644873E-1	-1.577693820E-1
9.647867083E-1	4.495969117E-1	4.610468745E-1	-7.310722768E-2
9.748367083E-1	7.356669307E-1	8.037212491E-1	-1.455174014E-2
9.848867083E-1	9.267188907E-1	1.120146871E0	3.215291351E-2
9.949367083E-1	1.029812813E0	1.258270502E0	1.430592239E-1
1.004986708E0	1.066342831E0	1.311861634E0	2.587634623E-1
1.015035708E0	1.064777732E0	1.268162131E0	3.856271505E-1
1.025085708E0	1.023760319E0	1.067743182E0	4.251351357E-1
1.035135708E0	9.503792524E-1	8.509494662E-1	3.662574887E-1
1.045185708E0	8.808768988E-1	7.231528759E-1	2.558630705E-1
1.055235708E0	8.545886874E-1	6.555979848E-1	1.433838159E-1
1.065285708E0	9.048351049E-1	6.130713224E-1	4.347052798E-2
1.075335708E0	1.022555947E0	5.562711358E-1	-3.064774722E-2
1.085384708E0	1.123282790E0	4.929576814E-1	-1.027355194E-1
1.095434708E0	1.119859338E0	4.201563895E-1	-1.775169224E-1
1.105484708E0	9.897746444E-1	3.783205450E-1	-2.614504397E-1
1.115534708E0	7.047502398E-1	4.224947989E-1	-3.124694526E-1
1.125584708E0	3.211961687E-1	4.284962416E-1	-3.759517372E-1
1.135634708E0	-6.587123871E-2	1.014612615E-1	-2.619566023E-1
1.145684708E0	-2.304556668E-1	-4.205513299E-1	-2.341221273E-2
1.155733708E0	-9.534532577E-2	-9.430167675E-1	1.280385256E-1
1.165783708E0	1.634233892E-1	-1.262543678E0	1.369129717E-1
1.175833708E0	5.002807379E-1	-1.368845105E0	3.249893710E-2
1.185883708E0	7.530602217E-1	-1.029449224E0	-1.179715320E-1
1.195933708E0	9.327127337E-1	-4.829534590E-1	-2.772640884E-1
1.205983708E0	1.120952129E0	2.283836342E-2	-4.402146637E-1
1.216033000E0	1.272011042E0	4.450220466E-1	-5.821713209E-1
1.226082000E0	1.200122476E0	6.956068277E-1	-5.767000914E-1
1.236132000E0	9.661635160E-1	5.871023536E-1	-3.328332901E-1
1.246182000E0	8.262788057E-1	4.171609879E-1	-7.444117218E-2
1.256232000E0	9.069345593E-1	2.537150383E-1	5.778671056E-2
1.266282000E0	1.128861904E0	1.974445879E-1	7.917082310E-2
1.276332000E0	1.366541266E0	3.343489170E-1	5.837127194E-2
1.286382000E0	1.493952036E0	6.071615219E-1	4.355238006E-2
1.296432000E0	1.487351775E0	7.910938263E-1	2.718061022E-2
1.306481000E0	1.378035903E0	7.784158587E-1	1.095317025E-2
1.316531000E0	1.187784076E0	6.789558530E-1	1.029705070E-2
1.326581000E0	9.392402768E-1	6.193324924E-1	2.467918582E-2
1.336631000E0	7.532870770E-1	5.165956616E-1	2.287984267E-2
1.346681000E0	6.735962629E-1	4.299398363E-1	4.077735171E-2
1.356731000E0	6.752649546E-1	3.377262652E-1	8.376786113E-2
