"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.030358125E0,2.421300650E0,-7.123040557E-1,1.974824816E-1
1.040367125E0,2.033452749E0,-1.379651278E-1,3.687658608E-1
1.050377125E0,1.916026592E0,8.051001430E-1,-8.888559788E-2
1.060356125E0,1.990347385E0,8.602117300E-1,-3.856810331E-1
1.070366125E0,2.104099751E0,5.346331000E-1,-1.363556385E-1
1.080376125E0,2.210830927E0,9.834508896E-1,-3.348686099E-1
1.090355125E0,1.229069829E0,1.173561454E0,-5.572257638E-1
1.100365125E0,4.576815367E-1,5.034677982E-1,-3.595896661E-1
1.110375125E0,1.573241949E0,-6.454108357E-1,-2.545303702E-1
1.120354125E0,2.103760242E0,-1.426783562E0,4.004533887E-1
1.130364125E0,1.992775679E0,-7.294766307E-1,8.256955147E-1
1.140374125E0,1.682335019E0,-8.420373201E-1,1.824174404E0
1.150353125E0,1.475129128E0,1.548638046E-1,5.431098118E-2
1.160363125E0,7.552326918E-1,1.289398372E-1,-5.813023448E-1
1.170372125E0,9.272118807E-1,-4.471809864E-1,-4.439439178E-1
1.180352125E0,1.023526430E0,-1.227269411E0,2.189416140E-1
1.190361125E0,8.375834227E-1,-1.555815816E0,5.607404709E-1
1.200371125E0,1.766400337E0,-1.019758463E0,2.452911437E-2
1.210350125E0,1.958231807E0,6.384916902E-1,2.401459031E-2
1.220360125E0,4.499268830E-1,9.189014435E-1,5.753227472E-1
1.230370125E0,1.918364763E-1,3.302961886E-1,3.373591900E-1
1.240349125E0,4.787697494E-1,-4.060008228E-1,1.521535814E-1
1.250359125E0,4.736429155E-1,2.218034565E-1,1.155707985E-1
1.260369125E0,4.264816046E-1,7.505964637E-1,9.439684451E-2
1.270348125E0,5.614469051E-1,8.098350167E-1,6.623258442E-2
1.280358125E0,7.076624632E-1,6.999521852E-1,1.792490780E-1
1.290367125E0,7.648839951E-1,5.154526830E-1,3.503119051E-1
1.300347125E0,7.837873101E-1,1.552977711E-1,3.380174935E-1
1.310356125E0,6.419904828E-1,-5.701582506E-2,1.943548620E-1
1.320366125E0,3.299747705E-1,6.771847606E-2,5.203295499E-2
1.330345125E0,-1.788439602E-2,1.300220639E-1,-3.158364445E-2
1.340355125E0,-3.481020331E-1,-1.098777950E-1,5.272412300E-2
1.350365125E0,-4.861797690E-1,-4.331096411E-1,2.394375503E-1
1.360344125E0,-6.180392504E-1,-6.324290037E-1,6.552723050E-1
1.370354125E0,-6.340115666E-1,-1.052531958E0,1.097380161E0
1.380364125E0,-5.685456991E-1,-1.554737210E0,1.501665831E0
1.390343125E0,-3.362581432E-1,-1.986354828E0,1.876791477E0
1.400353125E0,-7.704928517E-2,-2.294299126E0,2.185032606E0
1.410363125E0,1.279837638E-1,-2.499433041E0,2.546390057E0
1.420342125E0,6.541981548E-2,-2.248739004E0,2.540278912E0
1.430352125E0,-2.321559340E-1,-1.631766200E0,2.133594275E0
1.440326000E0,-8.115446568E-1,-9.123135805E-1,1.900619388E0
1.450306000E0,-1.183384418E0,-1.579793692E0,1.788253665E0
1.460315000E0,-1.440840483E0,-2.284614801E0,1.941059828E0
1.470325000E0,-1.421496511E0,-2.080711365E0,2.008218050E0
1.480304000E0,-1.557025671E0,-2.722850323E0,1.070521474E0
1.490314000E0,-1.930308104E0,-2.725831747E0,1.729346275E0
1.500324000E0,-2.167736292E0,-1.376915216E0,2.466562510E0
1.510303000E0,-2.557428122E0,-1.871843219E0,1.660890937E0
1.520313000E0,-2.085241556E0,-2.009827375E0,1.404549122E0
1.530323000E0,-1.542764544E0,-2.053116560E0,1.246371627E0
1.540332000E0,-1.072605610E0,-1.646420121E0,8.380150795E-1
1.550312000E0,-3.400890231E-1,-9.277498126E-1,4.193944037E-1
1.560321000E0,-2.291682810E-1,-9.979873896E-1,4.857990742E-1
1.570331000E0,5.152741671E-1,-9.679504037E-1,-3.115825057E-1
1.580310000E0,1.365994811E0,-1.156908274E0,-6.356614828E-1
1.590320000E0,1.315325856E0,-1.030804157E0,-2.605736554E-1
1.600330000E0,5.927358270E-1,-2.503168285E-1,4.571681321E-1
1.610309000E0,-1.545580626E-1,1.023011088E0,1.340479732E0
1.620319000E0,-9.407214522E-1,2.320991516E0,1.940817714E0
1.630329000E0,-2.182447195E0,3.069328547E0,2.413565874E0
1.640308000E0,-2.940065622E0,3.128588676E0,2.473217726E0
1.650318000E0,-2.801724672E0,2.691485643E0,2.300752640E0
1.660328000E0,-2.161642075E0,2.024806023E0,2.225634813E0
1.670307000E0,-1.317489028E0,1.210741758E0,2.486977816E0
1.680317000E0,-2.591399550E-1,5.748354197E-1,3.075863838E0
1.690326000E0,6.203197241E-1,2.126052827E-1,3.952472448E0
1.700306000E0,1.330289721E0,-3.875021040E-1,4.873288631E0
1.710315000E0,1.945936918E0,-1.114538431E0,5.588950157E0
1.720325000E0,1.878110409E0,-2.625843525E0,4.939657688E0
1.730304000E0,1.585656166E0,-4.082939625E0,4.535634995E0
1.740314000E0,1.601758361E0,-4.344439983E0,4.139083385E0
1.750324000E0,1.690842152E0,-3.531670809E0,2.912116766E0
1.760303000E0,1.055307269E0,-2.399285793E0,1.430925250E0
1.770313000E0,1.841322705E-2,-7.330878377E-1,2.876756787E-1
1.780323000E0,-9.727551341E-1,1.056035638E0,-1.313577145E-1
1.790302000E0,-1.515233874E0,1.956040025E0,-1.494001001E-1
1.800312000E0,-1.312205911E0,1.732366800E0,2.090489417E-1
1.810321000E0,-6.381074190E-1,8.863367438E-1,5.696790814E-1
1.820301000E0,-2.415148355E-2,4.382764101E-1,7.472544312E-1
1.830310000E0,4.445795119E-1,4.808681011E-1,8.147721887E-1
1.840320000E0,8.845371604E-1,-1.333813518E-1,8.231922984E-1
1.850299000E0,8.587082028E-1,-1.247521788E-1,6.411250234E-1
1.860309000E0,8.384256959E-1,-2.987653315E-1,5.655313134E-1
1.870319000E0,8.753661513E-1,-3.069894314E-1,5.995854139E-1
1.880298000E0,5.636330843E-1,-2.040179446E-2,6.016271114E-1
1.890308000E0,9.803713858E-2,1.966546178E-1,5.899912715E-1
