"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.242999992E-3,-1.421968043E-1,-6.965637803E-1,-4.053515792E-1
8.702000006E-3,-3.262725174E-1,-9.827042818E-1,-5.601038337E-1
1.864700000E-2,-5.661743283E-1,-1.207871437E0,-7.585428953E-1
2.859200000E-2,-7.970857620E-1,-1.283484697E0,-9.934117198E-1
3.853700000E-2,-9.907546043E-1,-1.286998153E0,-1.318956256E0
4.848200000E-2,-1.160659313E0,-1.306282997E0,-1.641458631E0
5.842700000E-2,-1.274313450E0,-1.418120265E0,-1.924793959E0
6.837200001E-2,-1.299411654E0,-1.625363111E0,-2.174650908E0
7.831700001E-2,-1.251009822E0,-1.843018770E0,-2.364435434E0
8.826200000E-2,-1.136976004E0,-1.976001740E0,-2.483733177E0
9.820700000E-2,-9.682144523E-1,-2.034705877E0,-2.547464371E0
1.081520000E-1,-7.498201728E-1,-2.036593437E0,-2.594775677E0
1.180970000E-1,-5.238240361E-1,-1.976039767E0,-2.654798508E0
1.280420000E-1,-3.230147958E-1,-1.752841473E0,-2.723372459E0
1.379870000E-1,-1.985120028E-1,-1.412414908E0,-2.768527746E0
1.479320000E-1,-1.579934508E-1,-1.149377227E0,-2.793772697E0
1.578770000E-1,-1.800042093E-1,-1.073996663E0,-2.798654795E0
1.678220000E-1,-2.624892592E-1,-9.877754450E-1,-2.807413101E0
1.777670000E-1,-3.894624114E-1,-8.289223909E-1,-2.869808197E0
1.877120000E-1,-5.499882102E-1,-7.136982083E-1,-2.985261440E0
1.976570000E-1,-7.068030834E-1,-7.340207696E-1,-3.134246588E0
2.076020000E-1,-8.503674269E-1,-9.075533152E-1,-3.299482107E0
2.175470000E-1,-9.769741297E-1,-1.136743903E0,-3.437922716E0
2.274920000E-1,-1.098855019E0,-1.292979121E0,-3.500830650E0
2.374380000E-1,-1.212485075E0,-1.415268183E0,-3.482412815E0
2.473830000E-1,-1.294910669E0,-1.583064556E0,-3.397650719E0
2.573280000E-1,-1.305043101E0,-1.699264169E0,-3.274307966E0
2.672730000E-1,-1.242690325E0,-1.642406821E0,-3.111844063E0
2.772180000E-1,-1.121659040E0,-1.439747930E0,-2.889378548E0
2.871630000E-1,-9.737782478E-1,-1.237656951E0,-2.595507860E0
2.971080000E-1,-8.315348029E-1,-1.161718726E0,-2.266840219E0
3.070530000E-1,-7.086324692E-1,-1.243291616E0,-1.925879359E0
3.169980000E-1,-5.769977570E-1,-1.370818496E0,-1.595134974E0
3.269430000E-1,-4.458517134E-1,-1.456362605E0,-1.285950661E0
3.368880000E-1,-3.151139617E-1,-1.472529054E0,-1.030024290E0
3.468330000E-1,-2.577148378E-1,-1.641428828E0,-7.931055427E-1
3.567780000E-1,-9.356992245E-1,-2.704728365E0,-4.561520517E-1
3.667230000E-1,-8.584994078E-1,-9.626179934E-1,-9.128247499E-1
3.766680000E-1,-5.715276003E-1,-4.395089447E-1,-7.944169044E-1
3.866121250E-1,-3.431821764E-1,-8.234773874E-1,-5.582664013E-1
3.965571250E-1,-1.659650505E-1,-1.185077071E0,-5.924746990E-1
4.065021250E-1,-2.473473549E-2,-1.435966969E0,-6.196537018E-1
4.164471250E-1,5.772898346E-2,-1.448028445E0,-6.106972098E-1
4.263921250E-1,4.025670886E-2,-1.343508840E0,-6.084691286E-1
4.363371250E-1,-9.570485353E-2,-1.277947664E0,-6.003153324E-1
