"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.941101074E0,4.346069336E0,8.617919922E0
5.004883000E-3,-1.819000244E0,4.274246216E0,8.589187622E0
1.000976600E-2,-1.763931274E0,4.135391235E0,8.423995972E0
1.501464900E-2,-1.684921265E0,3.974975586E0,8.304290771E0
2.005004900E-2,-1.699279785E0,3.867233276E0,8.203735352E0
2.505493200E-2,-1.799850464E0,3.704437256E0,8.155838013E0
3.005981500E-2,-1.960250854E0,3.555984497E0,8.203735352E0
3.506469700E-2,-2.168548584E0,3.541625977E0,8.376113892E0
4.010009800E-2,-2.379241943E0,3.529647827E0,8.510192871E0
4.510498100E-2,-2.702453613E0,3.529647827E0,8.637084961E0
5.014038100E-2,-2.996948242E0,3.522476196E0,8.780731201E0
5.517578100E-2,-3.298614502E0,3.572753906E0,8.917205811E0
6.018066400E-2,-3.528457642E0,3.608657837E0,8.888473511E0
6.518554700E-2,-3.667327881E0,3.591903687E0,8.823822021E0
7.019043000E-2,-3.669708252E0,3.524871826E0,8.694534302E0
7.522583000E-2,-3.617050171E0,3.412338257E0,8.455123901E0
8.023071300E-2,-3.645767212E0,3.316574097E0,8.165420532E0
8.523559600E-2,-3.684082031E0,3.254318237E0,7.825439453E0
9.027099600E-2,-3.722381592E0,3.211227417E0,7.451950073E0
9.527587900E-2,-3.767883301E0,3.153762817E0,7.301116943E0
1.002807620E-1,-3.885192871E0,3.098693848E0,7.250839233E0
1.053161620E-1,-4.024063110E0,3.141799927E0,7.219711304E0
1.103210450E-1,-4.138977051E0,3.314178467E0,7.243652344E0
1.153564450E-1,-4.222778320E0,3.536834717E0,7.384918213E0
1.203613280E-1,-4.086303711E0,3.690063477E0,7.574050903E0
1.253967290E-1,-2.680908203E0,3.031661987E0,7.964309692E0
1.304016110E-1,-2.285873413E0,2.488174438E0,8.737640381E0
1.354064940E-1,-3.456634521E0,2.816177368E0,8.359344482E0
1.404418950E-1,-3.837310791E0,3.311782837E0,7.880508423E0
1.454467770E-1,-3.581130981E0,3.737945557E0,7.954727173E0
1.504821780E-1,-3.176513672E0,3.869628906E0,8.210906982E0
1.554870610E-1,-2.848510742E0,3.754714966E0,8.500610352E0
1.604919430E-1,-2.434310913E0,3.534439087E0,8.969879150E0
1.655273440E-1,-2.000961304E0,3.280654907E0,9.451110840E0
1.705322270E-1,-1.701675415E0,2.995742798E0,9.755172729E0
1.755676270E-1,-1.400009155E0,2.729995728E0,9.910797119E0
1.805725100E-1,-1.165374756E0,2.533660889E0,9.908401489E0
1.855773930E-1,-1.055252075E0,2.346923828E0,9.841369629E0
1.906127930E-1,-1.088760376E0,2.222427368E0,9.740798950E0
1.956176760E-1,-1.143829346E0,2.160171509E0,9.645034790E0
2.006530760E-1,-1.289871216E0,2.121856689E0,9.522933960E0
2.056579590E-1,-1.502960205E0,2.095520020E0,9.443923950E0
2.106628420E-1,-1.763931274E0,2.081161499E0,9.520538330E0
2.156982420E-1,-2.005752563E0,2.133834839E0,9.575607300E0
2.207031250E-1,-2.216430664E0,2.150588989E0,9.678558350E0
2.257385260E-1,-2.429519653E0,2.174530029E0,9.843750000E0
2.307434080E-1,-2.489379883E0,2.215240479E0,9.985015869E0
2.357482910E-1,-2.465438843E0,2.176925659E0,1.009036255E1
2.407836920E-1,-2.393600464E0,2.078765869E0,1.011190796E1
