"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.761985931E0,5.992937622E0,8.018974457E0
9.944999998E-3,2.085762634E0,5.938750305E0,7.910300446E0
1.989000000E-2,1.982477417E0,5.904920654E0,7.809110870E0
2.983500001E-2,1.715432739E0,5.981561279E0,7.987689514E0
3.978100000E-2,1.535656586E0,5.982758789E0,8.228239288E0
4.972600000E-2,1.491049347E0,5.880222015E0,8.272696838E0
5.967100000E-2,1.578018494E0,5.855673065E0,8.052205353E0
6.961600001E-2,1.938618622E0,5.775290222E0,7.916437683E0
7.956100001E-2,2.592309265E0,5.364244995E0,7.629185028E0
8.950700000E-2,3.800746307E0,4.229903870E0,6.982080688E0
9.945199999E-2,4.595294037E0,4.069138184E0,6.667884064E0
1.093970000E-1,4.643344116E0,4.642146606E0,6.472989349E0
1.193420000E-1,4.253854065E0,4.863985291E0,6.305038605E0
1.292870000E-1,3.506308594E0,4.961582336E0,6.223009186E0
1.392330000E-1,2.683769073E0,5.149441681E0,6.311475220E0
1.491780000E-1,1.772913208E0,5.391638031E0,6.502178650E0
1.591230000E-1,1.360371094E0,5.583089905E0,6.973249054E0
1.690680000E-1,1.636397095E0,5.506299591E0,7.624394989E0
1.790130000E-1,2.375859375E0,5.296436005E0,8.441096649E0
1.889590000E-1,3.171155548E0,4.965474243E0,9.222920837E0
1.989040000E-1,3.711232452E0,4.563260651E0,9.672585754E0
2.088490000E-1,3.789968719E0,4.163891144E0,9.609117737E0
2.187940000E-1,3.350931702E0,3.996539154E0,8.907377014E0
2.287390000E-1,2.762205963E0,4.461472321E0,8.163424072E0
2.386850000E-1,2.380649414E0,5.050796814E0,7.708520050E0
2.486300000E-1,2.561772766E0,5.241500244E0,7.366631012E0
2.585750000E-1,3.300486603E0,4.972359924E0,7.013515320E0
2.685200000E-1,4.148323517E0,4.625980225E0,6.860533447E0
2.784650000E-1,4.874313812E0,4.321812744E0,7.217541046E0
2.884110000E-1,5.635630646E0,3.764222260E0,8.028404846E0
2.983560000E-1,5.982160034E0,3.122207336E0,8.648864594E0
3.083010000E-1,5.771398315E0,2.857557678E0,8.793463898E0
3.182460000E-1,5.219945068E0,3.054098969E0,8.676706696E0
3.281908750E-1,4.597838745E0,3.391796722E0,8.353828125E0
3.381368750E-1,4.243675232E0,3.212319946E0,7.994724884E0
3.480818750E-1,4.314477997E0,3.344495087E0,7.941585388E0
3.580268750E-1,4.529580688E0,3.730242920E0,7.912096710E0
3.679718750E-1,4.963677979E0,3.712579651E0,7.758366394E0
3.779168750E-1,5.524561615E0,3.465443573E0,7.561675415E0
3.878628750E-1,6.068380737E0,3.113824768E0,7.434589691E0
3.978078750E-1,6.363417206E0,2.689756622E0,7.245233459E0
4.077528750E-1,6.143674164E0,2.708467712E0,6.910978546E0
4.176978750E-1,5.667664032E0,3.053500214E0,6.574178925E0
4.276428750E-1,5.314698029E0,3.289709015E0,6.381379852E0
4.375888750E-1,5.148543549E0,3.369193726E0,6.227649536E0
4.475338750E-1,4.949008484E0,3.301534424E0,6.139033813E0
4.574788750E-1,4.787943420E0,3.094963989E0,6.181695099E0
4.674238750E-1,4.635709991E0,2.938239899E0,5.933361511E0
4.773688750E-1,4.613106995E0,2.921624451E0,5.675896912E0
4.873138750E-1,4.661606140E0,2.911894684E0,5.561834106E0
4.972598750E-1,4.297712860E0,2.687960358E0,5.644462280E0
5.072048750E-1,2.937042389E0,2.008822632E0,6.035598907E0
5.171498750E-1,3.162922668E0,2.567610626E0,5.747747498E0
5.270948750E-1,3.320544891E0,3.542533264E0,5.270240479E0
5.370398750E-1,2.233355713E0,3.401676178E0,5.929170227E0
5.469858750E-1,2.045945435E0,3.045866089E0,7.077582092E0
5.569308750E-1,2.164049835E0,3.078198853E0,7.786657562E0
5.668758750E-1,2.152224426E0,2.919079742E0,8.272397461E0
5.768208750E-1,1.845661926E0,2.819387054E0,8.647667084E0
5.867658750E-1,1.772763519E0,2.898123322E0,8.794212341E0
5.967118750E-1,2.209854584E0,2.633473663E0,8.454568634E0
6.066568750E-1,2.994522858E0,2.581831055E0,8.428073730E0
6.166018750E-1,4.319118347E0,2.011666718E0,8.982221375E0
6.265468750E-1,5.234614563E0,1.546733551E0,9.259893951E0
6.364918750E-1,5.337001648E0,1.602118378E0,9.590706024E0
6.464378750E-1,4.766388245E0,2.021097107E0,9.886041870E0
6.563828750E-1,4.655468903E0,2.673590240E0,1.014440460E1
6.663278750E-1,3.982468414E0,3.129392395E0,1.111214218E1
6.762728750E-1,2.409539337E0,3.057392120E0,1.254690857E1
6.862178750E-1,1.441801758E0,2.961291962E0,1.265109192E1
6.961638750E-1,1.970652008E0,2.595452728E0,1.200279007E1
7.061088750E-1,2.219135284E0,2.178719330E0,1.067759583E1
7.160538750E-1,1.903591461E0,2.617307281E0,9.861941986E0
7.259988750E-1,1.828298035E0,2.761307831E0,9.771080933E0
7.359438750E-1,2.279010773E0,2.952610016E0,9.494905243E0
7.458888750E-1,3.778143311E0,3.384911041E0,8.949140167E0
7.558348750E-1,4.369563446E0,3.662134552E0,8.700357513E0
7.657798750E-1,3.211272125E0,3.704795837E0,9.313931580E0
7.757248750E-1,3.000510406E0,3.606300659E0,9.789792023E0
7.856698750E-1,3.488345947E0,3.242257690E0,9.929152222E0
7.956148750E-1,4.615951080E0,2.514471130E0,9.987081757E0
8.055608750E-1,5.552403717E0,1.996099091E0,9.798174591E0
8.155058750E-1,6.212530975E0,1.746418304E0,9.245523834E0
8.254508750E-1,6.891818390E0,1.866019592E0,8.638985138E0
8.353958750E-1,6.838379517E0,1.935325470E0,8.265960846E0
8.453408750E-1,6.426885223E0,1.710792389E0,8.127648468E0
8.552858750E-1,5.912854156E0,1.773212585E0,8.043224030E0
8.652318750E-1,5.771548004E0,1.735940094E0,7.716303864E0
8.751768750E-1,5.843548279E0,1.632355499E0,7.348219299E0
8.851218750E-1,5.853128357E0,1.443148956E0,7.235054626E0
8.950668750E-1,5.735473022E0,9.180409241E-1,6.666536865E0
9.050118750E-1,5.007237396E0,6.447093201E-1,5.901926880E0
9.149578750E-1,4.837490387E0,9.737251282E-1,7.064559174E0
9.249028750E-1,4.788392487E0,1.355880432E0,7.141050110E0
9.348478750E-1,4.932692413E0,1.758992157E0,7.085216217E0
9.447928750E-1,5.196743317E0,1.973496094E0,7.330705719E0
9.547378750E-1,5.639821930E0,2.026036835E0,7.427404633E0
9.646828750E-1,6.197711792E0,2.247875519E0,7.583380280E0
9.746288750E-1,6.614744568E0,2.496508484E0,7.957302704E0
9.845738750E-1,7.095844116E0,2.587219849E0,8.306376801E0
9.945188750E-1,8.122259674E0,2.915337524E0,7.882308655E0
1.004463875E0,8.414302368E0,1.723815308E0,5.873036957E0
1.014408875E0,7.470365295E0,-5.514532471E-1,5.089865570E0
1.024354875E0,6.781048737E0,4.552033997E-1,5.872737579E0
1.034299875E0,5.602399750E0,2.854264526E0,6.132597198E0
1.044244875E0,5.074597321E0,3.175496521E0,5.636229401E0
1.054189875E0,5.585933990E0,2.809507599E0,5.047803040E0
1.064134875E0,6.741830292E0,2.857707367E0,4.937033386E0
1.074080875E0,7.720644836E0,3.134930878E0,5.366340637E0
1.084025875E0,8.346493378E0,3.092119904E0,5.956413574E0
1.093970875E0,8.609795837E0,2.630928955E0,6.373146973E0
1.103915875E0,8.601562958E0,2.005978546E0,6.524631958E0
1.113860875E0,8.343649292E0,1.450034637E0,6.250102844E0
1.123805875E0,7.906109161E0,9.907896423E-1,5.545967102E0
1.133751875E0,7.531138916E0,5.992039490E-1,4.617447968E0
1.143696875E0,7.573800201E0,3.576063538E-1,3.803141327E0
1.153641875E0,7.847281494E0,5.328918457E-1,3.261717224E0
1.163586875E0,8.234077148E0,9.042695618E-1,3.037483521E0
1.173531875E0,8.642727356E0,1.335373077E0,2.855611725E0
1.183477875E0,9.173673248E0,1.715133362E0,2.860850830E0
1.193422875E0,9.782307587E0,1.776356049E0,3.053200836E0
1.203367875E0,1.014006363E1,1.598974915E0,3.171155548E0
1.213312875E0,1.021415955E1,1.358125763E0,3.239413605E0
1.223257875E0,1.008946884E1,1.190324707E0,3.235072632E0
