"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.377900000E-2,7.910652757E-1,-7.066962719E-1,-1.080471635E0
3.379200000E-2,9.595193863E-1,-6.203106046E-1,-1.093593836E0
4.380400000E-2,1.104224205E0,-5.198966861E-1,-1.130151868E0
5.381699999E-2,1.246341467E0,-3.916022778E-1,-1.200847268E0
6.382899999E-2,1.378172040E0,-3.222042918E-1,-1.224481225E0
7.384200000E-2,1.482188582E0,-3.541491926E-1,-1.152081013E0
8.385400000E-2,1.543811202E0,-5.245544314E-1,-1.039997697E0
9.386700000E-2,1.537437081E0,-8.023027182E-1,-9.243593216E-1
1.038790000E-1,1.386040330E0,-9.852765203E-1,-7.949501872E-1
1.138920000E-1,1.003064990E0,-9.592354298E-1,-6.341362596E-1
1.239040000E-1,5.293000937E-1,-8.998264074E-1,-4.200036824E-1
1.339160000E-1,1.726921648E-1,-9.015179873E-1,-1.323910058E-1
1.439290000E-1,6.141623110E-2,-8.518130183E-1,1.315375865E-1
1.539410000E-1,2.078885287E-1,-5.791119933E-1,2.939004898E-1
1.639540000E-1,5.150045156E-1,-1.186783165E-1,3.446667194E-1
1.739660000E-1,8.802384138E-1,3.598702550E-1,2.948570549E-1
1.839790000E-1,1.226064444E0,6.476857662E-1,1.677273214E-1
1.939910000E-1,1.511034966E0,7.501425147E-1,-2.569908835E-2
2.040040000E-1,1.667543650E0,6.719172597E-1,-2.512643039E-1
2.140160000E-1,1.611595869E0,5.679520965E-1,-4.619761407E-1
2.240290000E-1,1.371425271E0,4.757891595E-1,-5.979835391E-1
2.340410000E-1,1.029304266E0,4.311036468E-1,-6.478409171E-1
2.440540000E-1,6.455297470E-1,4.161571860E-1,-6.176478863E-1
2.540660000E-1,2.857945561E-1,3.688631356E-1,-5.213915706E-1
2.640790000E-1,-2.998105250E-3,2.711932957E-1,-3.836422265E-1
2.740910000E-1,-1.961540580E-1,1.483375728E-1,-2.239521593E-1
2.841040000E-1,-2.953943610E-1,7.378423214E-2,-5.031513050E-2
2.941160000E-1,-3.113808632E-1,1.202487350E-1,1.137256399E-1
3.041290000E-1,-2.611637712E-1,2.808919251E-1,2.578002512E-1
3.141410000E-1,-1.680210829E-1,5.010495782E-1,3.655339777E-1
3.241540000E-1,-8.036684990E-2,7.300772071E-1,4.474799633E-1
3.341660000E-1,-2.649760991E-2,9.122741818E-1,4.911528230E-1
3.441790000E-1,-4.927909002E-2,1.028760433E0,4.977870286E-1
3.541910000E-1,-1.563966423E-1,1.093847752E0,4.885264337E-1
3.642040000E-1,-3.230268955E-1,1.122863412E0,4.715921879E-1
3.742160000E-1,-5.345138907E-1,1.142513037E0,4.485091269E-1
3.842290000E-1,-7.384737134E-1,1.138602376E0,4.173224568E-1
3.942410000E-1,-8.744105697E-1,1.074155688E0,3.626249731E-1
4.042540000E-1,-8.964183927E-1,9.668862224E-1,2.934016883E-1
4.142660000E-1,-8.309937119E-1,8.328481317E-1,1.962262541E-1
4.242790000E-1,-7.166958451E-1,7.120482326E-1,8.268663287E-2
4.342910000E-1,-5.324337482E-1,6.980830431E-1,-2.065999061E-2
4.443040000E-1,-2.010597885E-1,8.549693227E-1,-1.319319159E-1
4.543160000E-1,2.364046276E-1,1.035346746E0,-3.094077706E-1
4.643290000E-1,6.586861014E-1,1.058552027E0,-4.362581372E-1
4.743410000E-1,1.042709947E0,9.963412285E-1,-5.269736648E-1
4.843540000E-1,1.189020276E0,8.458276391E-1,-7.748971581E-1
4.943660000E-1,9.357933402E-1,3.790039122E-1,-1.079934478E0
5.043790000E-1,4.513808489E-1,-4.868949652E-1,-1.287838697E0
5.143910000E-1,2.146124095E-2,-1.368287563E0,-1.354997754E0
5.244040000E-1,-2.497875690E-1,-1.833580494E0,-1.259004116E0
5.344160000E-1,-4.423604310E-1,-1.733540893E0,-8.611946702E-1
5.444290000E-1,-7.724177241E-1,-1.217209697E0,-2.211070657E-1
5.544410000E-1,-9.475979209E-1,-7.240071297E-1,4.587889016E-1
