"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,2.512220144E-1,7.743578553E-1,-3.898468614E-1
1.998000000E-3,2.548871934E-1,7.627514005E-1,-3.947337866E-1
3.997000000E-3,2.579415143E-1,7.541992664E-1,-3.965663612E-1
5.996333000E-3,2.634392977E-1,7.425928116E-1,-3.990098536E-1
7.995833000E-3,2.713805437E-1,7.334298491E-1,-3.996207416E-1
9.995833000E-3,2.732131481E-1,7.309864163E-1,-4.014533162E-1
1.199549900E-2,2.829869986E-1,7.279320955E-1,-4.057293832E-1
1.399521300E-2,2.884847820E-1,7.236559987E-1,-4.038967490E-1
1.599471300E-2,2.933717072E-1,7.212125063E-1,-4.038967490E-1
1.799426800E-2,3.019238114E-1,7.193799615E-1,-4.032859206E-1
1.999386800E-2,3.086433411E-1,7.138821483E-1,-4.002315700E-1
2.199350400E-2,3.098650575E-1,7.114387155E-1,-3.971772492E-1
2.399317000E-2,3.141411245E-1,7.016648650E-1,-3.959555328E-1
2.599286200E-2,3.165845573E-1,6.870040894E-1,-3.935120404E-1
2.799257600E-2,3.159737289E-1,6.778411269E-1,-3.922903538E-1
2.999230900E-2,3.165845573E-1,6.570717096E-1,-3.910686076E-1
3.199193400E-2,3.196389079E-1,6.332479715E-1,-3.892360032E-1
3.399158100E-2,3.220823705E-1,6.014829874E-1,-3.874033988E-1
3.599124700E-2,3.239149451E-1,5.813243985E-1,-3.843490779E-1
3.799093100E-2,3.306345046E-1,5.471159816E-1,-3.867925406E-1
3.999063100E-2,3.367431462E-1,5.122966170E-1,-3.880142868E-1
4.199034500E-2,3.385757208E-1,4.927489758E-1,-3.831273615E-1
4.399007200E-2,3.483495712E-1,4.603731036E-1,-3.831273615E-1
4.598981100E-2,3.562908471E-1,4.261646569E-1,-3.794621527E-1
4.798947700E-2,3.636212051E-1,4.127256274E-1,-3.806838989E-1
4.998919700E-2,3.703407347E-1,3.809606135E-1,-3.776295781E-1
5.198888900E-2,3.807254434E-1,3.498064876E-1,-3.715209067E-1
5.398859200E-2,3.850014806E-1,3.363674581E-1,-3.696883321E-1
5.598830600E-2,3.917210102E-1,3.082676530E-1,-3.654122651E-1
5.798803000E-2,3.984405100E-1,2.832221687E-1,-3.568601310E-1
5.998776300E-2,4.014948308E-1,2.710048854E-1,-3.544166982E-1
6.198756300E-2,4.063817859E-1,2.477919906E-1,-3.476971686E-1
6.398729600E-2,4.094361067E-1,2.300769091E-1,-3.421993852E-1
6.598702900E-2,4.137121439E-1,2.233573794E-1,-3.379233181E-1
6.798676200E-2,4.204316735E-1,2.123617977E-1,-3.312037885E-1
6.998642800E-2,4.247077405E-1,2.056422830E-1,-3.232625425E-1
7.198616100E-2,4.240968525E-1,2.013662308E-1,-3.171539009E-1
7.398589400E-2,4.277620614E-1,2.031988204E-1,-3.043257594E-1
7.598569400E-2,4.320381284E-1,2.093074769E-1,-2.914975584E-1
7.798549400E-2,4.332598150E-1,2.105292082E-1,-2.866106629E-1
7.998522700E-2,4.332598150E-1,2.154161334E-1,-2.731716037E-1
8.198496000E-2,4.363141656E-1,2.190813273E-1,-2.591217160E-1
8.398466000E-2,4.363141656E-1,2.209139317E-1,-2.530130744E-1
8.598439300E-2,4.357033074E-1,2.258008420E-1,-2.401848882E-1
8.798412600E-2,4.338707030E-1,2.306877524E-1,-2.298001647E-1
8.998385900E-2,4.320381284E-1,2.306877524E-1,-2.212480605E-1
9.198365900E-2,4.295946360E-1,2.367964238E-1,-2.126959562E-1
9.398339200E-2,4.259294569E-1,2.392398715E-1,-2.029221058E-1
9.598312500E-2,4.247077405E-1,2.398507446E-1,-1.998677850E-1
9.798285800E-2,4.179882109E-1,2.392398715E-1,-1.919265240E-1
9.998259100E-2,4.143230319E-1,2.429050654E-1,-1.821526736E-1
1.019823240E-1,4.143230319E-1,2.416833341E-1,-1.778766364E-1
1.039820570E-1,4.094361067E-1,2.404616028E-1,-1.742114425E-1
1.059817900E-1,4.082143605E-1,2.361855507E-1,-1.656593233E-1
1.079815900E-1,4.039382935E-1,2.349638194E-1,-1.632158607E-1
1.099812900E-1,3.996622562E-1,2.306877524E-1,-1.595506817E-1
1.119810230E-1,3.941644728E-1,2.264117151E-1,-1.589398086E-1
1.139807560E-1,3.911101520E-1,2.178595960E-1,-1.540528834E-1
1.159804890E-1,3.874449432E-1,2.074748874E-1,-1.516094208E-1
1.179802220E-1,3.770602345E-1,1.922032535E-1,-1.491659731E-1
1.199799550E-1,3.740059137E-1,1.873163283E-1,-1.509985626E-1
1.219796880E-1,3.721733093E-1,1.696012467E-1,-1.485551000E-1
1.239794880E-1,3.678972423E-1,1.488318145E-1,-1.448899060E-1
1.259792210E-1,3.648429215E-1,1.366145164E-1,-1.442790329E-1
1.279789540E-1,3.617886007E-1,1.097364426E-1,-1.406138390E-1
1.299786870E-1,3.581234217E-1,8.346924186E-2,-1.375595182E-1
1.319784200E-1,3.544582129E-1,6.880847365E-2,-1.369486600E-1
1.339781530E-1,3.526256382E-1,3.948693722E-2,-1.345051974E-1
1.359778860E-1,3.471278250E-1,8.943677880E-3,-1.296182722E-1
1.379776190E-1,3.495712876E-1,-4.495357629E-3,-1.271748096E-1
1.399774190E-1,3.452952504E-1,-3.198429197E-2,-1.210661605E-1
1.419771520E-1,3.379648626E-1,-6.008409336E-2,-1.204553023E-1
1.439769180E-1,3.379648626E-1,-7.107966393E-2,-1.180118322E-1
1.459766510E-1,3.318561912E-1,-9.429255128E-2,-1.125140488E-1
1.479763840E-1,3.281910121E-1,-1.205597520E-1,-1.076271310E-1
1.499761170E-1,3.269692957E-1,-1.309444606E-1,-1.076271310E-1
1.519758500E-1,3.196389079E-1,-1.547681987E-1,-1.015184671E-1
1.539756500E-1,3.086433411E-1,-1.761485040E-1,-9.968587756E-2
1.559754500E-1,3.080324829E-1,-1.853114665E-1,-9.785328060E-2
1.579751830E-1,3.007020950E-1,-1.963070333E-1,-9.357722104E-2
1.599749160E-1,2.945934534E-1,-2.036374211E-1,-9.052289277E-2
1.619746490E-1,2.884847820E-1,-2.066917568E-1,-8.869030327E-2
1.639743820E-1,2.835978568E-1,-2.054700106E-1,-8.685770631E-2
1.659741150E-1,2.732131481E-1,-2.054700106E-1,-8.258164674E-2
1.679738150E-1,2.652719021E-1,-2.018048316E-1,-7.891646028E-2
1.699736150E-1,2.554980516E-1,-2.018048316E-1,-7.647299767E-2
1.719734150E-1,2.469459325E-1,-2.036374211E-1,-7.341866940E-2
1.739731480E-1,2.408372909E-1,-2.054700106E-1,-7.158607244E-2
1.759728810E-1,2.273982614E-1,-2.079134881E-1,-6.608828902E-2
1.779726140E-1,2.164026797E-1,-2.085243464E-1,-6.425569206E-2
1.799723140E-1,2.096831650E-1,-2.097460777E-1,-6.120136753E-2
1.819720470E-1,1.968549937E-1,-2.134112716E-1,-5.753617361E-2
1.839717800E-1,1.852485538E-1,-2.128003985E-1,-5.387098342E-2
1.859715800E-1,1.791398972E-1,-2.140221447E-1,-5.203838646E-2
1.879713130E-1,1.699769199E-1,-2.128003985E-1,-4.837319627E-2
1.899710460E-1,1.602030843E-1,-2.115786672E-1,-4.776233435E-2
1.919707790E-1,1.516509503E-1,-2.109678090E-1,-4.531887174E-2
1.939705120E-1,1.449314356E-1,-2.060808837E-1,-4.226454720E-2
1.959702450E-1,1.369902045E-1,-1.999722272E-1,-4.470800236E-2
1.979699780E-1,1.314924210E-1,-1.963070333E-1,-4.287540913E-2
1.999697110E-1,1.259946227E-1,-1.865331978E-1,-4.287540913E-2
2.019695110E-1,1.180533767E-1,-1.767593473E-1,-4.226454720E-2
2.039692440E-1,1.174425036E-1,-1.700398475E-1,-4.470800236E-2
2.059689770E-1,1.107229888E-1,-1.553790718E-1,-4.654059932E-2
2.079687100E-1,1.064469367E-1,-1.474378258E-1,-4.837319627E-2
2.099684430E-1,1.040034741E-1,-1.407183111E-1,-5.020579323E-2
2.119681760E-1,9.911655635E-2,-1.315553337E-1,-5.387098342E-2
2.139679090E-1,9.606222808E-2,-1.205597520E-1,-5.875790864E-2
2.159676420E-1,9.300789982E-2,-1.187271550E-1,-6.059050187E-2
2.179674420E-1,8.995357156E-2,-1.113967746E-1,-6.547742337E-2
2.199671750E-1,8.628838509E-2,-1.132293716E-1,-6.975347549E-2
2.219669080E-1,8.140145987E-2,-1.107859090E-1,-7.158607244E-2
2.239666410E-1,7.834713161E-2,-1.071207225E-1,-8.074905723E-2
2.259663740E-1,7.346021384E-2,-1.083424464E-1,-8.380338550E-2
2.279661400E-1,7.346021384E-2,-1.052881256E-1,-8.991203457E-2
2.299658730E-1,6.857328862E-2,-1.077315807E-1,-9.540981799E-2
2.319656060E-1,6.612982601E-2,-1.052881256E-1,-1.021293402E-1
2.339654060E-1,6.551896036E-2,-1.107859090E-1,-1.070162579E-1
2.359651390E-1,6.612982601E-2,-1.181162968E-1,-1.180118322E-1
2.379648720E-1,6.796242297E-2,-1.339987963E-1,-1.406138390E-1
2.399646380E-1,6.735155731E-2,-1.352205127E-1,-1.485551000E-1
2.419643710E-1,6.674069166E-2,-1.230032146E-1,-1.607723981E-1
2.439641040E-1,6.979501992E-2,-1.022337973E-1,-1.693245023E-1
2.459638370E-1,6.551896036E-2,-9.673600644E-2,-1.723788381E-1
2.479636370E-1,6.857328862E-2,-9.490340948E-2,-1.790983528E-1
2.499634370E-1,6.674069166E-2,-1.046772525E-1,-1.845961511E-1
2.519632030E-1,6.796242297E-2,-1.052881256E-1,-1.888722032E-1
2.539629690E-1,6.124290451E-2,-1.040663943E-1,-1.919265240E-1
2.559627350E-1,5.696684867E-2,-9.673600644E-2,-1.888722032E-1
2.579625010E-1,5.207992718E-2,-9.368168563E-2,-1.858178675E-1
2.599622670E-1,4.291694984E-2,-9.184908867E-2,-1.790983528E-1
2.619620330E-1,3.314310312E-2,-1.083424464E-1,-1.699353755E-1
2.639618660E-1,3.192137182E-2,-1.175054237E-1,-1.626050025E-1
2.659616320E-1,2.092580125E-2,-1.327770501E-1,-1.516094208E-1
2.679613980E-1,1.176282112E-2,-1.492704153E-1,-1.406138390E-1
2.699611640E-1,7.486764342E-3,-1.547681987E-1,-1.357269287E-1
2.719609300E-1,-4.119675141E-3,-1.639311761E-1,-1.277856827E-1
2.739606960E-1,-1.206092350E-2,-1.700398475E-1,-1.180118322E-1
2.759604620E-1,-2.549995854E-2,-1.724833101E-1,-1.149575114E-1
2.779602280E-1,-3.099774569E-2,-1.773702204E-1,-1.094597280E-1
2.799600610E-1,-4.199331999E-2,-1.767593473E-1,-1.033510640E-1
2.819598270E-1,-5.665408820E-2,-1.773702204E-1,-1.021293402E-1
2.839595930E-1,-6.215187535E-2,-1.779810935E-1,-9.968587756E-2
2.859593590E-1,-7.375831902E-2,-1.828680187E-1,-9.479895979E-2
2.879590920E-1,-8.475389332E-2,-1.883658022E-1,-8.807943761E-2
2.899588580E-1,-9.086254239E-2,-1.920309961E-1,-8.869030327E-2
2.919586240E-1,-9.574946016E-2,-1.975287795E-1,-8.441424370E-2
2.939583900E-1,-1.024689823E-1,-2.103569508E-1,-7.769472152E-2
2.959582230E-1,-1.036907136E-1,-2.146330029E-1,-7.464040071E-2
2.979579890E-1,-1.061341688E-1,-2.250177115E-1,-6.975347549E-2
2.999577550E-1,-1.030798405E-1,-2.329589576E-1,-6.608828902E-2
3.019575210E-1,-1.030798405E-1,-2.329589576E-1,-6.425569206E-2
3.039572870E-1,-9.880378842E-2,-2.360132933E-1,-6.059050187E-2
3.059570530E-1,-9.513859451E-2,-2.354024202E-1,-5.570358038E-2
3.079568190E-1,-9.147340059E-2,-2.354024202E-1,-5.509271473E-2
3.099565850E-1,-8.475389332E-2,-2.341806889E-1,-5.509271473E-2
3.119563850E-1,-7.620177418E-2,-2.323480994E-1,-5.264925212E-2
3.139561180E-1,-7.009312510E-2,-2.274611592E-1,-5.081665888E-2
3.159558510E-1,-5.909754708E-2,-2.268503159E-1,-5.264925212E-2
3.179555840E-1,-5.054543167E-2,-2.231851220E-1,-4.776233435E-2
3.199553170E-1,-4.260418564E-2,-2.195199281E-1,-4.898406193E-2
3.219550500E-1,-3.344120830E-2,-2.134112716E-1,-4.715146497E-2
3.239547830E-1,-2.122390084E-2,-2.060808837E-1,-4.959492758E-2
3.259545830E-1,-1.878044195E-2,-2.030265629E-1,-4.715146497E-2
3.279543830E-1,-9.006597102E-3,-1.926418394E-1,-5.081665888E-2
3.299541160E-1,-1.676214160E-3,-1.779810935E-1,-5.326012149E-2
3.319538490E-1,7.672467036E-4,-1.737050265E-1,-5.448184907E-2
3.339535820E-1,8.097629994E-3,-1.602659971E-1,-5.875790864E-2
3.359533150E-1,1.176282112E-2,-1.511030048E-1,-6.303396076E-2
3.379530480E-1,1.542801317E-2,-1.462160945E-1,-6.303396076E-2
3.399527810E-1,1.848233864E-2,-1.401074380E-1,-7.158607244E-2
3.419525810E-1,1.787147298E-2,-1.370531172E-1,-7.769472152E-2
3.439523140E-1,2.031493373E-2,-1.364422441E-1,-7.769472152E-2
3.459520470E-1,2.153666504E-2,-1.370531172E-1,-8.502510935E-2
3.479518130E-1,1.726060919E-2,-1.401074380E-1,-9.296636283E-2
3.499515460E-1,1.481714752E-2,-1.401074380E-1,-9.357722104E-2
3.519512790E-1,1.237368677E-2,-1.443835050E-1,-9.907501191E-2
3.539510120E-1,5.043303594E-3,-1.498812884E-1,-1.027402058E-1
3.559507450E-1,2.599842614E-3,-1.559899449E-1,-1.045728028E-1
3.579505450E-1,-5.341405980E-3,-1.700398475E-1,-1.057945341E-1
3.599502780E-1,-1.450438425E-2,-1.871440560E-1,-1.057945341E-1
3.619500110E-1,-2.000217326E-2,-2.146330029E-1,-1.057945341E-1
3.639497440E-1,-4.810197279E-2,-2.848825157E-1,-1.082379892E-1
