"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.024062500E-2,-1.128387570E0,5.407525301E-1,1.009425074E-1
2.254843800E-2,-1.162900448E0,5.323534012E-1,1.458397806E-1
2.485630300E-2,-1.205659747E0,5.601469278E-1,1.916533262E-1
2.716416700E-2,-1.251167893E0,6.142069101E-1,2.299840003E-1
2.947198000E-2,-1.296981454E0,6.777350307E-1,2.657185495E-1
3.177984400E-2,-1.342489600E0,7.304205894E-1,2.942756712E-1
3.408770900E-2,-1.384179831E0,7.757760286E-1,3.179459870E-1
3.639552100E-2,-1.425870180E0,8.223531246E-1,3.344388604E-1
3.870338600E-2,-1.467407823E0,8.664868474E-1,3.509317636E-1
4.101119800E-2,-1.509098172E0,9.200887084E-1,3.636068404E-1
4.331906300E-2,-1.552162886E0,9.736905098E-1,3.738385141E-1
4.562692800E-2,-1.591409802E0,1.022711039E0,3.891097009E-1
4.793474000E-2,-1.630504012E0,1.065623045E0,4.080459774E-1
5.024260500E-2,-1.660588264E0,1.087155461E0,4.332434237E-1
5.255046900E-2,-1.681204319E0,1.061041713E0,4.721849263E-1
5.485828200E-2,-1.695253849E0,1.012173891E0,5.175403357E-1
5.716614600E-2,-1.718466043E0,9.849911928E-1,5.686988235E-1
5.947401100E-2,-1.746106863E0,9.961391687E-1,6.209262609E-1
6.178182300E-2,-1.786422849E0,1.027597785E0,6.728482842E-1
6.408968800E-2,-1.834068894E0,1.060125470E0,7.209524512E-1
6.639750000E-2,-1.881104112E0,1.061194420E0,7.656970620E-1
6.870536500E-2,-1.926306844E0,1.028819442E0,8.118160367E-1
7.101323000E-2,-1.980519533E0,1.011715770E0,8.577822447E-1
7.332104200E-2,-2.046032906E0,1.011410356E0,9.011524320E-1
7.562890700E-2,-2.109408379E0,1.032484531E0,9.370396733E-1
7.793677100E-2,-2.169271231E0,1.063179612E0,9.521581531E-1
8.024458400E-2,-2.214168549E0,1.093569279E0,9.466605186E-1
8.255244800E-2,-2.246237993E0,1.109298587E0,9.121476412E-1
8.486031300E-2,-2.261051178E0,1.124875188E0,8.484668136E-1
8.716812500E-2,-2.244863749E0,1.143047929E0,7.510367036E-1
8.947599000E-2,-2.193857908E0,1.157250166E0,6.085565686E-1
9.178380300E-2,-2.112615347E0,1.142589808E0,4.361449480E-1
9.409166700E-2,-2.013047218E0,1.083337665E0,2.470877171E-1
9.639953200E-2,-1.896680713E0,9.750649333E-1,5.726693198E-2
9.870734400E-2,-1.756033182E0,8.312104344E-1,-1.272089481E-1
1.010152090E-1,-1.600572586E0,6.733064055E-1,-3.054236174E-1
1.033230210E-1,-1.431520581E0,5.134171247E-1,-4.651601911E-1
1.056308860E-1,-1.258956194E0,3.529170156E-1,-5.967977643E-1
1.079387500E-1,-1.070662498E0,1.433963925E-1,-7.220214605E-1
1.102465630E-1,-8.577822447E-1,-1.889045089E-1,-8.730534315E-1
1.125544280E-1,-6.450546980E-1,-5.149442554E-1,-1.014311910E0
1.148622920E-1,-4.572191834E-1,-7.627955079E-1,-1.127013206E0
1.171701050E-1,-2.968717813E-1,-9.457442760E-1,-1.214669824E0
1.194779690E-1,-1.603474021E-1,-1.104564548E0,-1.283237338E0
1.217858340E-1,-3.985778242E-2,-1.269646049E0,-1.339740753E0
1.240936460E-1,6.230641901E-2,-1.437323570E0,-1.396396875E0
1.264015110E-1,1.470614821E-1,-1.606375575E0,-1.448318839E0
1.286964590E-1,2.108950168E-1,-1.768708229E0,-1.504058719E0
1.310171880E-1,2.506000996E-1,-1.901262045E0,-1.555369854E0
1.333250530E-1,2.701472044E-1,-2.007549524E0,-1.598434567E0
1.356200000E-1,2.696890533E-1,-2.099634647E0,-1.638139606E0
1.379407300E-1,2.515163720E-1,-2.173699856E0,-1.663489819E0
1.402485940E-1,2.194468826E-1,-2.227454424E0,-1.674332380E0
1.425435420E-1,1.759240031E-1,-2.271282911E0,-1.664711475E0
1.448642710E-1,1.293469071E-1,-2.296785593E0,-1.635696292E0
