"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.174567700E-2,-4.072787762E-1,1.016784236E-1,1.143920496E-1
7.422401000E-2,-4.390437305E-1,1.138957217E-1,1.522656530E-1
7.670312500E-2,-4.683652520E-1,1.309999377E-1,1.950261891E-1
7.918145800E-2,-4.952432811E-1,1.371085942E-1,2.341215312E-1
8.165895800E-2,-5.282299519E-1,1.358868629E-1,2.744386196E-1
8.413729100E-2,-5.624383688E-1,1.273347586E-1,3.086470664E-1
8.661640600E-2,-6.039772034E-1,1.212261021E-1,3.440771997E-1
8.909473900E-2,-6.467376947E-1,1.151174530E-1,3.795073628E-1
9.157229100E-2,-6.919417381E-1,1.126739904E-1,4.186027050E-1
9.405062500E-2,-7.371456623E-1,1.200043708E-1,4.552545846E-1
9.652973900E-2,-7.811279297E-1,1.297782212E-1,4.919064641E-1
9.900807300E-2,-8.251101971E-1,1.407737732E-1,5.285583138E-1
1.014855730E-1,-8.752011061E-1,1.529910713E-1,5.603232980E-1
1.039639060E-1,-9.277355671E-1,1.615431756E-1,5.933099985E-1
1.064430210E-1,-9.814915657E-1,1.725387424E-1,6.226314902E-1
1.089213540E-1,-1.036469460E0,1.859777719E-1,6.531747580E-1
1.113989060E-1,-1.098777652E0,2.018602490E-1,6.812745333E-1
1.138771870E-1,-1.162307620E0,2.201861888E-1,7.105960250E-1
1.163563540E-1,-1.234389663E0,2.446207851E-1,7.374740839E-1
1.188346870E-1,-1.307693362E0,2.727205753E-1,7.631303668E-1
1.213121870E-1,-1.384662390E0,3.020420671E-1,7.900084257E-1
1.237905210E-1,-1.465296507E0,3.350287676E-1,8.144429922E-1
1.262696350E-1,-1.544708967E0,3.704589307E-1,8.413210511E-1
1.287479690E-1,-1.621677876E0,4.083325565E-1,8.694208264E-1
1.312254690E-1,-1.693759918E0,4.547582567E-1,8.999640942E-1
1.337038020E-1,-1.763398528E0,5.048491359E-1,9.305073023E-1
1.361829690E-1,-1.825706720E0,5.573834777E-1,9.622722864E-1
1.386613020E-1,-1.885571480E0,6.099178791E-1,9.952590466E-1
1.411388020E-1,-1.940549254E0,6.587870717E-1,1.027024031E0
1.436171350E-1,-1.994305253E0,6.978824139E-1,1.056345463E0
1.460962500E-1,-2.041952610E0,7.235386968E-1,1.086888790E0
1.485745830E-1,-2.085934877E0,7.430863976E-1,1.114988565E0
1.510520830E-1,-2.128695488E0,7.528601885E-1,1.135757923E0
1.535304160E-1,-2.171456099E0,7.577471137E-1,1.155305624E0
1.560095830E-1,-2.214216471E0,7.528601885E-1,1.167522907E0
1.584878640E-1,-2.254533529E0,7.406429052E-1,1.185848832E0
1.609654160E-1,-2.293628931E0,7.247604132E-1,1.200509548E0
1.634437500E-1,-2.331502438E0,7.100996971E-1,1.213948607E0
1.659228640E-1,-2.365710974E0,6.954389215E-1,1.227387667E0
1.684011980E-1,-2.397475958E0,6.795564294E-1,1.240826607E0
1.708786980E-1,-2.424354076E0,6.624522209E-1,1.251822233E0
1.733570310E-1,-2.445123434E0,6.465697289E-1,1.265261292E0
1.758361460E-1,-2.457340717E0,6.270220876E-1,1.278700233E0
1.783144790E-1,-2.461005926E0,6.135830879E-1,1.292139292E0
1.807920310E-1,-2.456119061E0,6.123613119E-1,1.304356575E0
1.832703640E-1,-2.439014673E0,6.184699535E-1,1.316573858E0
1.857494790E-1,-2.417023659E0,6.270220876E-1,1.323904276E0
1.882278120E-1,-2.386480331E0,6.465697289E-1,1.327569485E0
1.907053120E-1,-2.349828482E0,6.710043550E-1,1.331234574E0
1.931836460E-1,-2.309511423E0,7.015475631E-1,1.326347709E0
1.956627600E-1,-2.263085604E0,7.406429052E-1,1.316573858E0
1.981410940E-1,-2.204442739E0,7.858468890E-1,1.299469709E0
2.006186460E-1,-2.149464846E0,8.322726488E-1,1.279922009E0
2.030969790E-1,-2.089600086E0,8.799200654E-1,1.261596084E0
2.055760940E-1,-2.030957222E0,9.239023328E-1,1.242048383E0
2.080544270E-1,-1.977201104E0,9.617759585E-1,1.216392040E0
2.105319270E-1,-1.923444986E0,9.886540174E-1,1.189514041E0
2.130102600E-1,-1.873354077E0,1.006979942E0,1.161414266E0
2.154893750E-1,-1.825706720E0,1.015532017E0,1.130871058E0
2.179677080E-1,-1.775615811E0,1.015532017E0,1.100327730E0
2.204452600E-1,-1.724303126E0,1.020419002E0,1.064897656E0
2.229235410E-1,-1.660773158E0,1.038744926E0,1.031910896E0
2.254027080E-1,-1.594799876E0,1.055849075E0,1.000145912E0
2.278810410E-1,-1.525161266E0,1.065622926E0,9.659374952E-1
2.303585410E-1,-1.448192239E0,1.074175000E0,9.329507947E-1
2.328368750E-1,-1.362671256E0,1.085170627E0,9.036292434E-1
2.353159890E-1,-1.282037139E0,1.074175000E0,8.694208264E-1
2.377943230E-1,-1.198959470E0,1.033857942E0,8.327689767E-1
2.402718750E-1,-1.119547009E0,9.727715254E-1,7.936736345E-1
2.427501560E-1,-1.040134668E0,8.970242739E-1,7.545782924E-1
2.452293230E-1,-9.595004320E-1,8.163901567E-1,7.167046666E-1
2.477076560E-1,-8.739794493E-1,7.443081141E-1,6.763876081E-1
2.501851560E-1,-7.884583473E-1,6.893302798E-1,6.385139823E-1
2.526634890E-1,-7.090458870E-1,6.416828632E-1,6.079707146E-1
2.551426040E-1,-6.345204115E-1,5.842615366E-1,5.945317149E-1
2.576209370E-1,-5.758774281E-1,5.170664191E-1,5.969751477E-1
2.600984370E-1,-5.318951607E-1,4.486496150E-1,6.067489982E-1
2.625767710E-1,-5.147910118E-1,3.765675724E-1,6.262966990E-1
2.650559370E-1,-5.245647430E-1,3.044855297E-1,6.568399072E-1
2.675342190E-1,-5.624383688E-1,2.360686809E-1,6.971569657E-1
2.700117710E-1,-6.198596954E-1,1.908646822E-1,7.448044419E-1
2.724901040E-1,-6.943851709E-1,1.688735634E-1,7.961170673E-1
2.749692190E-1,-7.725758553E-1,1.871995032E-1,8.425427675E-1
2.774475520E-1,-8.458796740E-1,2.470642477E-1,8.889685273E-1
2.799250520E-1,-9.191833735E-1,3.582416475E-1,9.317290187E-1
2.824033850E-1,-9.888219833E-1,5.048491359E-1,9.708243608E-1
2.848825520E-1,-1.045021534E0,6.661174297E-1,1.014806628E0
2.873608330E-1,-1.091447234E0,8.200553060E-1,1.058789015E0
2.898383850E-1,-1.120768785E0,9.507803917E-1,1.107658148E0
2.923167190E-1,-1.145203352E0,1.043631792E0,1.155305624E0
2.947958330E-1,-1.151311994E0,1.087614059E0,1.202952981E0
2.972741660E-1,-1.148868561E0,1.082727194E0,1.242048383E0
2.997516660E-1,-1.130542636E0,1.035079718E0,1.272591591E0
