"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,2.331207514E0,1.363729477E1,1.394417405E0
1.016010400E-2,3.810569942E-1,1.354636765E1,6.046662807E0
1.265958300E-2,2.901297510E-1,1.379103374E1,5.519643784E0
1.515906200E-2,1.848455518E-1,1.384367561E1,4.642673969E0
1.765848900E-2,1.124626622E-1,1.394895935E1,3.507279873E0
2.015796900E-2,8.374879509E-2,1.407817173E1,2.280958176E0
2.265739600E-2,7.896314561E-2,1.419302750E1,1.193420291E0
2.515687500E-2,8.853443712E-2,1.414995670E1,4.271188378E-1
2.765635400E-2,5.503492057E-2,1.405902958E1,-1.046859920E-1
3.015583300E-2,-7.178467698E-3,1.394895935E1,-6.556333899E-1
3.275083300E-2,-6.939185411E-2,1.373779297E1,-9.146564603E-1
3.525031200E-2,-1.076770201E-1,1.346979713E1,-1.029511929E0
3.774979100E-2,-9.332008660E-2,1.316291714E1,-1.043868899E0
4.024927100E-2,-2.632104978E-2,1.286620712E1,-9.816554785E-1
4.274869800E-2,6.460621208E-2,1.265504074E1,-7.328019142E-1
4.524817700E-2,1.848455518E-1,1.233440208E1,-5.359922647E-1
4.774760400E-2,3.714857101E-1,1.211845016E1,-3.062812984E-1
5.024713500E-2,5.676971674E-1,1.205145168E1,-4.187439568E-3
5.274656200E-2,7.645068169E-1,1.182652569E1,3.020938635E-1
5.524598900E-2,1.003789067E0,1.161535931E1,5.994020700E-1
5.774546900E-2,1.234098315E0,1.143350506E1,9.780662656E-1
6.024494800E-2,1.387238979E0,1.130907822E1,1.389631748E0
6.275140600E-2,1.540379524E0,1.111286640E1,1.820937991E0
6.525088500E-2,1.645663738E0,1.086820030E1,2.027318954E0
6.775036400E-2,1.722234130E0,1.068156052E1,2.084746838E0
7.024979100E-2,1.789831281E0,1.046082211E1,2.113460541E0
7.274927100E-2,1.823330879E0,1.029332447E1,2.089532375E0
7.524875000E-2,1.890329838E0,1.006839943E1,2.070389748E0
7.774817700E-2,1.808973908E0,9.833304405E0,2.022533417E0
8.024765600E-2,1.741974831E0,9.555737495E0,2.027318954E0
8.274713500E-2,1.559522152E0,9.301499367E0,2.002792597E0
8.524656200E-2,1.262812138E0,9.052646637E0,1.892722726E0
8.774604100E-2,9.128618240E-1,8.745766640E0,1.753939033E0
9.024552100E-2,6.538388133E-1,8.381459236E0,1.591227055E0
9.274494800E-2,4.193421602E-1,8.185248375E0,1.360917926E0
9.524442700E-2,1.124626622E-1,8.017750740E0,1.145563841E0
9.774390600E-2,-1.603191197E-1,7.864011765E0,8.530412912E-1
1.002433330E-1,-3.708875179E-1,7.686942577E0,5.228317380E-1
1.027428120E-1,-5.964110494E-1,7.596015453E0,2.925225794E-1
1.052422910E-1,-8.261220455E-1,7.490731239E0,1.585244983E-1
1.077417190E-1,-1.085145116E0,7.404589653E0,-7.597211748E-2
1.102411980E-1,-1.319641709E0,7.447660446E0,-2.344966233E-1
1.127406770E-1,-1.511665702E0,7.438089371E0,-3.780659735E-1
1.152401040E-1,-1.664806366E0,7.438089371E0,-4.929214716E-1
1.177395830E-1,-1.808375716E0,7.356134892E0,-6.801598072E-1
1.202390620E-1,-2.019542217E0,7.428517818E0,-7.806583643E-1
1.227384890E-1,-2.249253273E0,7.519444942E0,-8.285148144E-1
1.252379690E-1,-2.402393818E0,7.610372543E0,-9.672985673E-1
1.277374480E-1,-2.627917528E0,7.648657799E0,-1.211964726E0
1.302368750E-1,-2.800200701E0,7.672585964E0,-1.326820135E0
1.327363540E-1,-2.900699139E0,7.706085205E0,-1.331605792E0
1.352358330E-1,-3.044268608E0,7.768298626E0,-1.274178028E0
1.377352600E-1,-3.097508907E0,7.773084164E0,-1.202393413E0
1.402347390E-1,-3.150151014E0,7.820940971E0,-1.110867858E0
1.427342190E-1,-3.145365477E0,7.864011765E0,-9.337990284E-1
1.452336460E-1,-3.121437073E0,7.878368378E0,-7.375875711E-1
1.477331250E-1,-3.068196774E0,7.825726509E0,-5.312066078E-1
1.502326040E-1,-3.072982550E0,7.763513088E0,-3.637090325E-1
1.527320830E-1,-3.039483070E0,7.677371502E0,-1.483550072E-1
1.552315620E-1,-3.010769129E0,7.562515736E0,7.238288224E-2
1.577310410E-1,-2.958127022E0,7.500302792E0,2.159522474E-1
1.602304690E-1,-2.876770973E0,7.418946743E0,3.595215976E-1
1.627299480E-1,-2.766701221E0,7.351349354E0,5.467599630E-1
1.652294270E-1,-2.594418049E0,7.222136974E0,7.668996453E-1
1.677288540E-1,-2.368894339E0,7.112067223E0,8.817551732E-1
1.702283330E-1,-2.215753794E0,6.973283291E0,1.001994491E0
1.727278120E-1,-2.124826431E0,6.901498795E0,1.145563841E0
