"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.467679901E0,7.414082336E0,6.957531738E0
9.967999998E-3,-5.808221741E0,7.360493774E0,7.213798828E0
1.993600000E-2,-6.270460510E0,7.562723236E0,8.003556519E0
2.990500000E-2,-5.958209839E0,7.736511841E0,7.701185303E0
3.987300000E-2,-5.781577148E0,7.788902893E0,6.512956238E0
4.984100000E-2,-5.701643372E0,7.562423859E0,5.651946716E0
5.980900000E-2,-5.485941925E0,7.198530579E0,4.552483063E0
6.977800000E-2,-5.556894379E0,7.030729523E0,3.284769287E0
7.974600000E-2,-5.868546295E0,7.343578949E0,2.463277588E0
8.971400000E-2,-5.331014099E0,7.602989502E0,2.438878326E0
9.968200000E-2,-2.955753479E0,7.545209656E0,3.532953186E0
1.096510000E-1,-3.390898590E0,8.033643951E0,4.471501465E0
1.196190000E-1,-4.163891144E0,7.542664948E0,4.475692749E0
1.295870000E-1,-4.741839294E0,6.897057495E0,5.330415344E0
1.395550000E-1,-5.117857361E0,6.834936676E0,6.284830627E0
1.495240000E-1,-4.825215912E0,6.811585236E0,5.403313751E0
1.594920000E-1,-4.618645477E0,6.738686829E0,5.330115967E0
1.694600000E-1,-4.618795166E0,6.251150665E0,5.535039825E0
1.794280000E-1,-4.150568848E0,5.786067810E0,5.705834656E0
1.893960000E-1,-3.591331787E0,5.452711029E0,6.231391754E0
1.993650000E-1,-3.106639709E0,5.035229187E0,7.101831665E0
2.093330000E-1,-3.169059906E0,4.860243073E0,8.440048828E0
2.193010000E-1,-2.946173401E0,4.393962708E0,9.083560638E0
2.292690000E-1,-2.529290314E0,3.634741516E0,9.081614685E0
2.392380000E-1,-2.870730286E0,3.657643890E0,8.891809387E0
2.492060000E-1,-3.258124695E0,4.324507141E0,8.092920685E0
2.591733750E-1,-3.079845428E0,4.758903809E0,7.482340393E0
2.691413750E-1,-2.467019806E0,4.445904694E0,7.725584564E0
2.791103750E-1,-2.249522095E0,4.058659973E0,7.767796783E0
2.890783750E-1,-2.451901245E0,4.503085785E0,7.469616852E0
2.990463750E-1,-1.901046753E0,4.663103027E0,7.954907684E0
3.090143750E-1,-6.604266357E-1,4.497397614E0,8.272996216E0
3.189833750E-1,-2.299218750E-1,4.438869324E0,8.123008118E0
3.289513750E-1,-6.755451965E-1,4.301904144E0,8.093818817E0
3.389193750E-1,-1.814077606E0,3.750001831E0,7.855364685E0
3.488873750E-1,-2.599344635E0,3.204835510E0,8.054151306E0
3.588563750E-1,-2.122586060E0,3.793561249E0,8.292904816E0
3.688243750E-1,-2.067201233E0,4.701573029E0,8.071066132E0
3.787923750E-1,-2.318079529E0,5.133724365E0,7.408843231E0
3.887603750E-1,-2.230361938E0,5.390590210E0,6.674320679E0
3.987283750E-1,-2.039059753E0,5.750741272E0,6.086343384E0
4.086973750E-1,-1.882335663E0,6.055657196E0,5.636379089E0
4.186653750E-1,-1.682501221E0,5.932164001E0,5.755980377E0
4.286333750E-1,-1.508113861E0,5.360951843E0,6.048322449E0
4.386013750E-1,-1.558558960E0,4.627477112E0,6.066285095E0
4.485703750E-1,-1.481020203E0,3.926185455E0,6.028413849E0
