"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.547567700E-2,-2.216613591E-1,-2.589589171E-2,-1.878825128E-1
4.053328100E-2,-2.131392509E-1,9.257805534E-3,-1.175751239E-1
4.559083300E-2,-2.408361137E-1,-5.655883346E-3,-1.452719718E-1
5.064843800E-2,-2.674676478E-1,-9.916937910E-3,-1.484677643E-1
5.570604200E-2,-2.674676478E-1,-1.098220143E-2,-1.314235479E-1
6.076369800E-2,-2.450971752E-1,-1.843904518E-2,-1.186403930E-1
6.582703100E-2,-2.099434733E-1,-2.483062632E-2,-1.026614383E-1
7.088463600E-2,-1.652023941E-1,-3.867905214E-2,-8.774774522E-2
7.594224000E-2,-1.151350215E-1,-5.785379559E-2,-7.283405960E-2
8.099979200E-2,-7.358974218E-2,-7.702854276E-2,-6.537722051E-2
8.605744800E-2,-3.417498618E-2,-9.300749004E-2,-5.472458154E-2
9.111505200E-2,-3.282343270E-3,-1.025948673E-1,-4.833300412E-2
9.621625000E-2,2.015345544E-2,-1.025948673E-1,-4.513721168E-2
1.012738540E-1,3.400187939E-2,-1.025948673E-1,-3.981089219E-2
1.063314580E-1,3.932819515E-2,-1.079211831E-1,-3.768036515E-2
1.113890630E-1,3.613240644E-2,-1.175085530E-1,-3.128878772E-2
1.164466150E-1,2.334924601E-2,-1.292264462E-1,-2.702773362E-2
1.215042190E-1,9.500817396E-3,-1.441401541E-1,-2.063615061E-2
1.266007810E-1,-5.412870552E-3,-1.611843705E-1,-7.852989249E-3
1.316583860E-1,-2.458761260E-2,-1.867506802E-1,9.191226214E-3
1.367159900E-1,-4.482761770E-2,-2.176433206E-1,3.262702376E-2
1.417735940E-1,-6.400236487E-2,-2.464054376E-1,6.245440617E-2
1.468311980E-1,-8.317711204E-2,-2.687759697E-1,9.760810435E-2
1.518887500E-1,-9.809080511E-2,-2.836896777E-1,1.327617913E-1
1.569988540E-1,-1.098086983E-1,-2.868854403E-1,1.604586542E-1
1.620564580E-1,-1.119392291E-1,-2.804938555E-1,1.796333939E-1
1.671140630E-1,-1.076781750E-1,-2.634496391E-1,1.966776103E-1
1.721716670E-1,-9.915606678E-2,-2.389486134E-1,2.051997185E-1
1.772292190E-1,-8.637290448E-2,-2.133822739E-1,2.073302418E-1
1.822868750E-1,-7.465500385E-2,-1.995338500E-1,2.020039409E-1
1.874177080E-1,-6.613289565E-2,-2.005991191E-1,1.838944554E-1
1.924753130E-1,-6.293710321E-2,-2.133822739E-1,1.530018151E-1
1.975329170E-1,-6.932868809E-2,-2.346875519E-1,1.093259975E-1
2.025904690E-1,-8.317711204E-2,-2.655801773E-1,6.138913706E-2
2.076481250E-1,-9.382974356E-2,-3.039296567E-1,2.197438851E-2
2.127056770E-1,-9.915606678E-2,-3.486707211E-1,-6.787725724E-3
2.177733860E-1,-1.023518592E-1,-3.998033702E-1,-2.170141600E-2
2.228309900E-1,-1.140697524E-1,-4.477402270E-1,-2.383194305E-2
2.278885940E-1,-1.321792305E-1,-4.733065367E-1,-1.211404428E-2
