"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.646390600E-2,-2.910312414E-1,-5.683866739E-1,-9.479857236E-2
8.889572900E-2,-3.020268083E-1,-5.732736588E-1,-9.846376628E-2
9.132750000E-2,-3.142440915E-1,-5.781605244E-1,-1.082376018E-1
9.375916700E-2,-3.203527331E-1,-5.757170916E-1,-1.106810570E-1
9.616166700E-2,-3.386786878E-1,-5.940430164E-1,-1.143462434E-1
9.854453100E-2,-3.545611799E-1,-6.074820161E-1,-1.167897061E-1
1.009266670E-1,-3.692219257E-1,-6.258079410E-1,-1.192331612E-1
1.033080210E-1,-3.753305674E-1,-6.306948662E-1,-1.192331612E-1
1.056901560E-1,-3.924347758E-1,-6.575729251E-1,-1.241200790E-1
1.080730730E-1,-4.034303427E-1,-6.746771336E-1,-1.253418028E-1
1.104552090E-1,-4.168693721E-1,-6.905596256E-1,-1.265635341E-1
1.128365630E-1,-4.290866554E-1,-7.064421177E-1,-1.290069968E-1
1.152186980E-1,-4.388605058E-1,-7.149941921E-1,-1.265635341E-1
1.176015630E-1,-4.449691474E-1,-7.272115350E-1,-1.265635341E-1
1.199836980E-1,-4.510777891E-1,-7.382071018E-1,-1.228983477E-1
1.223650520E-1,-4.559647143E-1,-7.345418930E-1,-1.180114374E-1
1.247471880E-1,-4.657385349E-1,-7.504243851E-1,-1.155679747E-1
1.271301040E-1,-4.694037437E-1,-7.601982355E-1,-1.106810570E-1
1.295122400E-1,-4.645168185E-1,-7.663068771E-1,-1.057941392E-1
1.318935940E-1,-4.608516395E-1,-7.748589516E-1,-1.045724079E-1
1.342757290E-1,-4.547429681E-1,-7.858545184E-1,-1.033506766E-1
1.366585940E-1,-4.486343265E-1,-7.944066525E-1,-9.968549013E-2
1.390407290E-1,-4.425256848E-1,-8.029587269E-1,-1.009072214E-1
1.414220840E-1,-4.364170432E-1,-8.102891445E-1,-9.968549013E-2
1.438042190E-1,-4.266431928E-1,-7.992935777E-1,-9.724203497E-2
1.461871360E-1,-4.205345511E-1,-7.980718017E-1,-9.846376628E-2
1.485692710E-1,-4.095389843E-1,-7.931848764E-1,-9.724203497E-2
1.509506250E-1,-4.034303427E-1,-7.919631600E-1,-9.479857236E-2
1.533327610E-1,-3.912130594E-1,-7.797458768E-1,-8.868993074E-2
1.557156250E-1,-3.789957464E-1,-7.699720263E-1,-8.258128166E-2
1.580977610E-1,-3.716653883E-1,-7.699720263E-1,-7.891609520E-2
1.604791150E-1,-3.594480753E-1,-7.663068771E-1,-7.036398351E-2
1.628612500E-1,-3.472307920E-1,-7.577547431E-1,-6.181187928E-2
1.652442190E-1,-3.399004042E-1,-7.565330267E-1,-5.325977504E-2
1.676263020E-1,-3.289048374E-1,-7.601982355E-1,-4.837285727E-2
1.700076560E-1,-3.166875541E-1,-7.528678179E-1,-3.737728670E-2
1.723897920E-1,-3.118006289E-1,-7.601982355E-1,-3.493382782E-2
1.747727090E-1,-3.056919873E-1,-7.601982355E-1,-2.760345116E-2
1.771547920E-1,-2.971398830E-1,-7.553113103E-1,-1.905134507E-2
1.795361460E-1,-2.946964204E-1,-7.577547431E-1,-1.172096841E-2
1.819182810E-1,-2.934747040E-1,-7.626416683E-1,-8.055780083E-3
1.843012500E-1,-2.910312414E-1,-7.614199519E-1,4.963260144E-4
1.866833340E-1,-2.885877788E-1,-7.565330267E-1,5.383243784E-3
1.890646880E-1,-2.837008536E-1,-7.528678179E-1,1.271362044E-2
1.914468230E-1,-2.837008536E-1,-7.601982355E-1,1.637880690E-2
1.938297920E-1,-2.849225998E-1,-7.614199519E-1,2.370918728E-2
1.962118230E-1,-2.861443162E-1,-7.626416683E-1,2.615264244E-2
1.985931770E-1,-2.837008536E-1,-7.650851011E-1,3.103956021E-2
2.009753130E-1,-2.714835703E-1,-7.601982355E-1,4.081339389E-2
2.033582810E-1,-2.714835703E-1,-7.638633847E-1,4.936549813E-2
2.057403650E-1,-2.690401077E-1,-7.650851011E-1,5.913933367E-2
2.081217190E-1,-2.629314363E-1,-7.650851011E-1,6.769143790E-2
2.105038540E-1,-2.592662573E-1,-7.724155188E-1,7.135663182E-2
2.128867710E-1,-2.531576157E-1,-7.711937428E-1,7.624354959E-2
2.152688540E-1,-2.482706904E-1,-7.785241604E-1,7.746527344E-2
