"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.282999995E-3,-1.166042238E-1,-1.917659491E-1,-6.263382733E-2
1.633299999E-2,-2.721400261E-1,-3.087905943E-1,-5.810165778E-2
2.638299999E-2,-4.245468080E-1,-4.399533272E-1,-4.105076194E-2
3.643299999E-2,-5.420790315E-1,-5.995044112E-1,-1.190406084E-2
4.648300000E-2,-6.210373044E-1,-7.455990314E-1,1.676904783E-2
5.653300000E-2,-6.645461917E-1,-8.777179122E-1,2.783794515E-2
6.658299999E-2,-6.698386669E-1,-9.866126776E-1,2.367704734E-2
7.663299999E-2,-6.801403165E-1,-1.094184637E0,1.708013006E-2
8.668299999E-2,-7.161421776E-1,-1.229941726E0,1.419392694E-2
9.673399999E-2,-7.728496194E-1,-1.404717207E0,1.111318171E-2
1.067840000E-1,-8.570502996E-1,-1.626245618E0,4.901621025E-3
1.168340000E-1,-9.681560397E-1,-1.860660076E0,3.740482731E-3
1.268840000E-1,-1.089256287E0,-2.089947224E0,-1.979844086E-2
1.369340000E-1,-1.205809832E0,-2.354620934E0,-6.931752712E-2
1.469840000E-1,-1.312623978E0,-2.643490076E0,-1.333940476E-1
1.570340000E-1,-1.386990309E0,-2.941002607E0,-1.838899851E-1
1.670840000E-1,-1.442415714E0,-3.193130493E0,-2.145474553E-1
1.771340000E-1,-1.482005000E0,-3.352635622E0,-2.313754410E-1
1.871840000E-1,-1.511845350E0,-3.443217754E0,-2.481611669E-1
1.972350000E-1,-1.529035807E0,-3.441906452E0,-2.623822093E-1
2.072850000E-1,-1.417049050E0,-3.229373217E0,-2.058823258E-1
2.173350000E-1,-1.337641597E0,-3.296611786E0,-2.008766383E-1
2.273850000E-1,-1.348848462E0,-3.392608881E0,-2.434971929E-1
2.374350000E-1,-1.413923264E0,-3.366029024E0,-2.827519178E-1
2.474850000E-1,-1.476749897E0,-3.337701797E0,-3.322091699E-1
2.575350000E-1,-1.494931340E0,-3.335961103E0,-3.769476414E-1
2.675850000E-1,-1.459439397E0,-3.364793777E0,-4.110181034E-1
2.776350000E-1,-1.401166201E0,-3.454977989E0,-4.319518805E-1
2.876850000E-1,-1.337671995E0,-3.649151325E0,-4.142858684E-1
2.977360000E-1,-1.201421261E0,-3.732028008E0,-3.617323935E-1
3.077860000E-1,-1.066123128E0,-3.661055326E0,-2.718544304E-1
