"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.503215417E-1,-1.461160064E0,1.449780613E-1,-3.719049096E-1
1.603315417E-1,-1.457395315E0,-1.313764334E0,-7.162564993E-1
1.703415417E-1,-1.453640223E0,-1.371551156E0,-1.032970190E0
1.803205417E-1,-1.407067776E0,-1.216926932E0,-1.313511014E0
1.903305417E-1,-1.458033204E0,-9.829759598E-1,-1.522372842E0
2.003405417E-1,-1.463747978E0,-4.322318137E-1,-1.444963932E0
2.103195417E-1,-1.430627823E0,4.759551212E-2,-1.248475432E0
2.203295417E-1,-1.381294608E0,3.166229427E-1,-8.328701854E-1
2.303385417E-1,-1.304011106E0,1.367959082E-1,-3.840953112E-1
2.403185417E-1,-1.296515465E0,-5.240024924E-1,1.387273893E-3
2.503275417E-1,-1.389184713E0,-1.023850322E0,3.364952207E-1
2.603375417E-1,-1.438455105E0,-6.259200573E-1,4.722262025E-1
2.703165417E-1,-1.457624793E0,1.113220230E-1,4.572895765E-1
2.803265417E-1,-1.421306372E0,8.920837641E-1,4.725324214E-1
2.903365417E-1,-1.302610874E0,1.362019062E0,5.841513872E-1
3.003155417E-1,-1.084006429E0,1.368296385E0,7.614598274E-1
3.103255417E-1,-8.084640503E-1,1.176298738E0,9.479221106E-1
3.203355417E-1,-5.133526921E-1,7.841005325E-1,1.037122011E0
3.303145417E-1,-2.957588434E-1,3.996631205E-1,1.043148756E0
3.403245417E-1,-5.354983807E-1,1.578855515E0,1.030158043E0
3.503345417E-1,-9.279990792E-1,2.559254408E0,1.072061300E0
3.603135417E-1,-1.446004987E0,2.880097151E0,1.139818668E0
3.703235417E-1,-2.063680649E0,2.294772148E0,1.122033000E0
3.803325417E-1,-2.806640625E0,1.262876153E0,9.626716971E-1
3.903125417E-1,-3.662608147E0,2.130172551E-1,6.860302687E-1
4.003215417E-1,-4.179999352E0,-1.271063805E0,4.511993229E-1
4.103315417E-1,-3.383000135E0,-1.350365043E0,2.417161465E-1
4.203105417E-1,-2.544401169E0,-8.505353332E-2,-1.623424329E-2
4.303205417E-1,-1.906933546E0,-4.734518826E-1,-4.357148707E-1
4.403305417E-1,-1.762779474E0,-1.586774826E0,-6.381657720E-1
4.503095417E-1,-1.836883426E0,-2.420956373E0,-9.264060855E-1
4.603195417E-1,-2.089418650E0,-2.950945377E0,-1.226904869E0
4.703295417E-1,-2.500300884E0,-3.152968407E0,-1.315842986E0
4.803085417E-1,-2.706182957E0,-2.970476389E0,-9.879118800E-1
4.903185417E-1,-2.613977909E0,-3.052063465E0,-4.526029527E-1
5.003275417E-1,-2.346127987E0,-3.476630926E0,-1.564993113E-1
5.103075417E-1,-2.012605906E0,-3.905342102E0,2.428244986E-2
5.203165417E-1,-1.623610258E0,-3.992501497E0,1.512201875E-1
5.303265417E-1,-1.273464918E0,-3.112578154E0,1.546753794E-1
5.403055417E-1,-1.149785042E0,-2.024622440E0,1.471118629E-1
5.503155417E-1,-1.199109912E0,-1.107463360E0,1.996845156E-1
5.602945417E-1,-1.451288819E0,-5.568711162E-1,5.505361557E-1
5.703045417E-1,-1.931936741E0,-2.695413232E-1,1.140323520E0
5.803145417E-1,-2.613437891E0,-2.554290295E-1,1.617285848E0
5.902935417E-1,-3.183479786E0,7.240530849E-2,1.746503592E0
6.003035417E-1,-3.290425777E0,3.953306079E-1,1.604490519E0
6.103135417E-1,-2.953207016E0,7.715972066E-1,1.406143665E0
6.202925417E-1,-2.363773584E0,1.181885839E0,1.199066877E0
6.303025417E-1,-1.762905717E0,1.275065541E0,9.005475640E-1
6.403125417E-1,-1.465969086E0,1.008487344E0,1.078924388E-1
6.502915417E-1,-1.402065516E0,1.004807591E0,-5.967856050E-1
6.603015417E-1,-1.467439055E0,9.586489797E-1,-1.067509651E0
6.703105417E-1,-1.710012555E0,1.571797013E0,-1.441493869E0
6.802905417E-1,-1.954094172E0,2.649901867E0,-1.649331808E0
6.902995417E-1,-2.125964165E0,3.647781372E0,-1.349251032E0
7.003095417E-1,-2.143241644E0,4.178459167E0,-7.646310925E-1
7.102885417E-1,-2.197098494E0,3.648898602E0,-9.331172705E-1
7.202985417E-1,-1.908965945E0,3.594863892E0,-1.574638009E0
7.303085417E-1,-1.298255444E0,4.477500916E0,-2.577960253E0
7.402875417E-1,-4.857312441E-1,5.700516224E0,-3.340664387E0
7.502975417E-1,2.606864572E-1,6.989923477E0,-3.534656048E0
7.603075417E-1,8.307531476E-1,8.344829559E0,-3.110222101E0
7.702865417E-1,1.170105696E0,9.719203949E0,-2.320326805E0
7.802965417E-1,1.309798598E0,1.050421429E1,-1.802638888E0
7.903055417E-1,8.170405626E-1,1.073957062E1,-2.041871786E0
8.002855417E-1,-1.453924775E-1,1.070705032E1,-2.773338556E0
8.102945417E-1,-7.584095001E-1,1.086083603E1,-3.492847443E0
