"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-8.810521364E-1,9.753461838E0,1.506392002E0
2.418646000E-3,-8.834462166E-1,9.739097595E0,1.482451200E0
4.837500000E-3,-8.690817356E-1,9.751068115E0,1.508786201E0
7.256146000E-3,-8.690817356E-1,9.719944954E0,1.477663040E0
9.674792000E-3,-8.714756966E-1,9.719944954E0,1.475268841E0
1.209343800E-2,-8.786580563E-1,9.700792313E0,1.456116199E0
1.451208300E-2,-8.786580563E-1,9.710369110E0,1.422598839E0
1.693072900E-2,-8.738698959E-1,9.681638718E0,1.436963320E0
1.935083300E-2,-8.930226564E-1,9.681638718E0,1.429780960E0
2.177109400E-2,-8.858404160E-1,9.684034348E0,1.453722000E0
2.419057300E-2,-8.786580563E-1,9.672062874E0,1.451327801E0
2.661000000E-2,-8.834462166E-1,9.679244995E0,1.463298321E0
2.902864600E-2,-8.714756966E-1,9.688821793E0,1.460904360E0
3.144729200E-2,-8.738698959E-1,9.688821793E0,1.468086720E0
3.386677100E-2,-8.738698959E-1,9.703186035E0,1.453722000E0
3.628619800E-2,-8.762639761E-1,9.729520798E0,1.458510160E0
3.870489600E-2,-8.714756966E-1,9.717551231E0,1.465692520E0
4.112354200E-2,-8.595052958E-1,9.746279716E0,1.444145679E0
4.354302100E-2,-8.714756966E-1,9.746279716E0,1.451327801E0
4.596244800E-2,-8.475347757E-1,9.736703873E0,1.424992800E0
4.838109400E-2,-8.547170162E-1,9.741492271E0,1.422598839E0
5.079974000E-2,-8.475347757E-1,9.748674393E0,1.453722000E0
5.321921900E-2,-8.523229361E-1,9.739097595E0,1.436963320E0
5.563864600E-2,-8.666875362E-1,9.765433311E0,1.460904360E0
5.805734400E-2,-8.595052958E-1,9.743885994E0,1.436963320E0
6.047599000E-2,-8.451406956E-1,9.739097595E0,1.436963320E0
6.289546900E-2,-8.475347757E-1,9.739097595E0,1.434569120E0
6.531489600E-2,-8.475347757E-1,9.743885994E0,1.472874641E0
6.773359400E-2,-8.379583359E-1,9.751068115E0,1.460904360E0
7.015224000E-2,-8.331701756E-1,9.763038635E0,1.444145679E0
7.257166700E-2,-8.499288559E-1,9.751068115E0,1.472874641E0
