"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.676005000E-1,-2.576099895E-2,-5.632125214E-2,1.736986265E-2
8.776445000E-1,-2.783533558E-2,-3.371420875E-2,1.385076065E-2
8.876895000E-1,-3.192881495E-2,-2.367680892E-2,1.068111043E-2
8.977345000E-1,-2.933436260E-2,-1.858324558E-2,1.342443191E-2
9.077785000E-1,-3.044367768E-2,-1.084661856E-2,2.191114053E-2
9.178235000E-1,-3.496173024E-2,2.152270637E-3,2.873708867E-2
9.278675000E-1,-3.537869453E-2,3.181815892E-2,2.901544981E-2
9.379125000E-1,-3.343538567E-2,6.936527044E-2,2.819466405E-2
9.479575000E-1,-1.621910930E-2,9.441323578E-2,2.943134867E-2
9.580015000E-1,-2.626334317E-3,1.115797088E-1,3.237307817E-2
9.680465000E-1,1.199288387E-2,1.169012561E-1,3.400688246E-2
9.780905000E-1,1.885185391E-2,1.272220761E-1,3.085875884E-2
9.881355000E-1,2.625060081E-2,1.316315532E-1,2.824678645E-2
9.981795000E-1,3.624384850E-2,1.362809092E-1,2.533222362E-2
1.008224500E0,3.900698945E-2,1.468607038E-1,2.052334137E-2
1.018269500E0,4.080835357E-2,1.562683135E-1,1.630010083E-2
1.028313500E0,4.691340402E-2,1.563287377E-1,2.309082076E-2
1.038358500E0,5.420380831E-2,1.430193484E-1,2.419949509E-2
1.048402500E0,6.464976817E-2,1.185135916E-1,2.972463891E-2
1.058447500E0,6.859231740E-2,1.191293076E-1,3.326904029E-2
1.068492500E0,6.590385735E-2,1.302104592E-1,2.875471488E-2
1.078536500E0,6.803997606E-2,1.372286230E-1,2.769301087E-2
1.088581500E0,5.748719722E-2,1.520286202E-1,2.103697322E-2
1.098625500E0,5.709821731E-2,1.640937179E-1,2.022619918E-2
1.108670500E0,5.963221937E-2,1.749804616E-1,1.818462089E-2
1.118715500E0,6.027237698E-2,1.717666090E-1,1.897340640E-2
1.128759500E0,5.635965988E-2,1.622625887E-1,2.132364735E-2
1.138804500E0,5.331923440E-2,1.419941783E-1,2.065810934E-2
1.148848500E0,4.911516979E-2,1.364433616E-1,2.491969988E-2
1.158893500E0,3.675407171E-2,1.315717250E-1,3.367969021E-2
1.168937500E0,2.318792604E-2,1.278116107E-1,3.341017663E-2
1.178982500E0,1.908852346E-2,1.117117405E-1,3.164689988E-2
1.189027500E0,2.184942178E-2,9.950886667E-2,3.504589200E-2
1.199071500E0,2.695525438E-2,8.419726789E-2,3.103296459E-2
1.209116500E0,3.553782403E-2,6.205095351E-2,2.663422376E-2
1.219160500E0,4.598420858E-2,4.834143072E-2,1.930475608E-2
1.229205500E0,5.687680095E-2,3.929893300E-2,1.499576028E-2
1.239250500E0,6.218811870E-2,3.263331950E-2,7.366998121E-3
1.249294500E0,7.199068367E-2,2.350267023E-2,2.455329988E-3
1.259339500E0,7.395865023E-2,5.582991987E-3,-1.500614919E-3
1.269383500E0,7.512138784E-2,-7.767434698E-3,5.007502623E-4
1.279428500E0,7.085227221E-2,-2.029414847E-2,4.135487601E-3
1.289473500E0,6.613341719E-2,-2.073996142E-2,3.008437809E-3
1.299517500E0,6.627564877E-2,-2.350439876E-2,8.595768362E-3
1.309562500E0,6.175333261E-2,-3.683245182E-2,1.273858175E-2
1.319606500E0,6.011888757E-2,-4.075592384E-2,1.643508300E-2
1.329651500E0,5.662721768E-2,-3.919903934E-2,1.595411636E-2
1.339695500E0,4.532088339E-2,-4.193211719E-2,1.865375228E-2
1.349740500E0,3.412894905E-2,-3.795362264E-2,1.681137830E-2
1.359785500E0,2.437438443E-2,-3.522532433E-2,1.933858730E-2
1.369829500E0,1.753698662E-2,-2.464085445E-2,1.479523443E-2
1.379874500E0,1.396582182E-2,-1.951937750E-2,1.235097460E-2
1.389918500E0,1.357407216E-2,-2.082672343E-2,1.157626137E-2
1.399963500E0,1.439825725E-2,-2.911916934E-2,1.020326093E-2
1.410008500E0,2.219120041E-2,-3.353335708E-2,5.063094199E-3
1.420052500E0,2.702470124E-2,-2.807909623E-2,2.579613589E-3
1.430097500E0,3.324238211E-2,-2.171121351E-2,-1.472119242E-3
1.440141500E0,3.528305888E-2,-2.389566228E-2,6.408181507E-3
1.450186500E0,3.501354158E-2,-2.865925990E-2,1.495426521E-2
1.460231500E0,3.768037260E-2,-2.032479271E-2,1.476077642E-2
1.470275500E0,3.199319541E-2,1.732911915E-4,1.216259599E-2
1.480320500E0,2.467442490E-2,1.998492144E-2,9.708411992E-3
1.490364500E0,1.475494727E-2,3.571727872E-2,6.552832201E-3
1.500409500E0,1.172662061E-2,3.598256409E-2,5.693314597E-3
1.510454500E0,1.656212285E-2,3.911151737E-2,4.567063414E-3
1.520498500E0,1.761659794E-2,4.400384799E-2,5.109999329E-3
1.530543500E0,2.050852589E-2,4.557937384E-2,8.753736503E-3
1.540587500E0,2.147236280E-2,4.772898927E-2,1.272206195E-2
1.550632000E0,2.153175138E-2,4.709701985E-2,1.319903322E-2
1.560677000E0,1.747981831E-2,5.202221870E-2,9.731373750E-3
1.570721000E0,1.234710775E-2,5.152207613E-2,7.641857490E-3
1.580766000E0,8.696073666E-3,5.832818896E-2,5.880718119E-3
1.590810000E0,-1.870550215E-3,6.078548729E-2,5.977124907E-3
1.600855000E0,-3.213818185E-3,6.678349525E-2,6.704522297E-3
1.610900000E0,-6.312405691E-3,6.873852015E-2,1.169408206E-3
1.620944000E0,2.011699602E-3,7.285295427E-2,8.793091401E-4
1.630989000E0,1.279643551E-2,6.736230850E-2,3.325689118E-3
1.641033000E0,1.811609045E-2,6.297762692E-2,2.989697736E-3
1.651078000E0,1.848520711E-2,6.669566780E-2,1.316167414E-3
1.661123000E0,1.793199033E-2,7.024796307E-2,-5.458183587E-4
1.671167000E0,1.462141704E-2,6.867244095E-2,-2.029998228E-3
1.681212000E0,5.930886604E-3,6.382056326E-2,2.286725212E-3
1.691256000E0,1.632011496E-3,6.223225594E-2,3.379154019E-3
1.701301000E0,4.557453096E-3,4.720795155E-2,1.747184899E-3
1.711346000E0,6.304752082E-3,3.897851706E-2,9.738029912E-4
1.721390000E0,1.327520236E-3,2.496272326E-2,-4.143973812E-3
1.731435000E0,-8.739495650E-3,1.065355632E-2,-7.485709153E-3
1.741479000E0,-1.283387188E-2,-9.594108909E-3,-9.838301688E-3
1.751524000E0,-1.627733931E-2,-1.752020791E-2,-7.452908903E-3
1.761569000E0,-1.841460913E-2,-2.626016364E-2,-1.225319039E-2
1.771613000E0,-8.459179662E-3,-3.893307969E-2,-1.447666343E-2
1.781658000E0,3.840734251E-3,-5.908296257E-2,-1.645699516E-2
1.791702000E0,1.602442935E-2,-7.383341342E-2,-1.629454270E-2
1.801747000E0,2.415434085E-2,-8.840037882E-2,-1.669381559E-2
1.811792000E0,2.864709310E-2,-1.049950644E-1,-1.806108281E-2
1.821836000E0,2.421712317E-2,-1.188788712E-1,-2.263936028E-2
1.831881000E0,2.067378722E-2,-1.278563887E-1,-2.120977640E-2
1.841925000E0,1.955389231E-2,-1.305234581E-1,-2.152904682E-2
1.851970000E0,1.868783310E-2,-1.280704290E-1,-2.473495901E-2
1.862015000E0,2.337144315E-2,-1.229336411E-1,-2.342118695E-2
1.872059000E0,2.835901082E-2,-1.154664010E-1,-2.264460921E-2
1.882104000E0,3.318364173E-2,-1.117489338E-1,-2.353052795E-2
1.892148000E0,3.884525597E-2,-1.000667140E-1,-1.968838647E-2
1.902193000E0,4.072102159E-2,-8.780565858E-2,-2.112782747E-2
1.912238000E0,3.912365809E-2,-8.691030741E-2,-1.454156265E-2
1.922282000E0,3.378904611E-2,-8.510924131E-2,-1.280447003E-2
1.932327000E0,2.652394399E-2,-8.615772426E-2,-6.100228056E-3
1.942372000E0,1.972994208E-2,-8.434723318E-2,-4.544705153E-3
1.952416000E0,1.642602310E-2,-7.972718775E-2,-3.663465381E-3
1.962461000E0,1.348836720E-2,-7.010753453E-2,-4.006318748E-3
1.972505000E0,1.233042404E-2,-6.476336718E-2,-5.511803553E-3
1.982550000E0,1.460275333E-2,-5.734576285E-2,-6.298350170E-3
1.992595000E0,1.753089949E-2,-4.471172765E-2,-4.734275863E-3
2.002639000E0,1.635986194E-2,-3.846913949E-2,-6.693765521E-3
2.012684000E0,1.649195328E-2,-3.207861632E-2,-9.756933898E-3
2.022728000E0,1.883713529E-2,-3.113601729E-2,-7.435595617E-3
2.032773000E0,1.559873298E-2,-2.696524002E-2,-5.645951256E-3
2.042818000E0,8.571692742E-3,-2.958790213E-2,-5.889820866E-3
2.052862000E0,3.100761212E-3,-2.763447165E-2,-2.127040178E-3
2.062907000E0,-3.465795889E-3,-1.927933842E-2,-3.547837026E-3
2.072951000E0,-7.871995680E-3,-1.374449022E-2,-4.316726699E-4
2.082996000E0,-8.087547496E-3,-9.442551993E-3,-7.179621607E-4
2.093041000E0,-1.106016710E-2,-5.522112362E-3,-1.539546996E-3
2.103085000E0,-5.798559636E-3,-7.963964716E-3,-2.566995099E-3
2.113130000E0,-6.069136783E-3,-3.158024512E-3,-2.310265787E-3
2.123175000E0,-2.508294769E-3,-1.665267162E-3,-2.308973111E-3
2.133219000E0,-5.731252953E-3,2.924222499E-4,-2.812310122E-3
2.143264000E0,-5.699588917E-3,5.825484172E-3,-2.801885828E-3
2.153308000E0,-9.329743683E-3,9.970162064E-3,-3.818711266E-4
2.163353000E0,-1.356988214E-2,1.517860126E-2,-7.340926677E-4
2.173398000E0,-1.452276111E-2,1.950623840E-2,-2.106153406E-3
2.183442000E0,-6.492650136E-3,2.416952699E-2,-2.254378051E-3
2.193487000E0,-9.597097524E-3,2.642042935E-2,-4.061441869E-4
2.203532000E0,-1.022756100E-2,2.811347693E-2,-2.629312687E-3
2.213576000E0,-1.547185797E-2,2.759948745E-2,2.457058523E-3
2.223621000E0,-1.368360221E-2,2.694530040E-2,2.123439685E-3
2.233665000E0,-1.502077561E-2,2.578363195E-2,1.533283386E-3
2.243710000E0,-1.834553480E-2,3.071048111E-2,2.177769318E-3
2.253755000E0,-1.347248163E-2,3.550363705E-2,4.660900682E-3
2.263799000E0,-1.482217573E-2,3.358014673E-2,6.220366806E-3
2.273844000E0,-1.170760859E-2,3.000511788E-2,6.516776048E-3
2.283888000E0,-5.990957841E-3,3.067193925E-2,4.193553235E-3
2.293933000E0,-6.076977588E-3,3.845529258E-2,5.761089735E-3
2.303978000E0,-1.558206044E-3,3.828688711E-2,3.197148908E-3
2.314022000E0,-7.393990643E-3,3.573530912E-2,3.903951962E-3
2.324067000E0,-9.573653340E-3,2.983054705E-2,1.838403754E-3
2.334112000E0,-1.152095757E-2,2.427332662E-2,3.198692575E-4
2.344156000E0,-8.362459950E-3,2.541381121E-2,1.064148732E-3
2.354201000E0,-7.844475098E-3,2.475148439E-2,3.296942916E-3
2.364245000E0,-8.636932820E-3,2.311457135E-2,4.740909673E-3
2.374290000E0,-6.211325526E-3,2.121760324E-2,3.644752782E-3
2.384335000E0,-2.653635107E-3,1.804825105E-2,3.825883847E-3
2.394379000E0,-2.228595316E-3,9.284853935E-3,2.079383004E-3
2.404424000E0,-1.674961299E-3,7.298321463E-3,3.252200317E-3
2.414469000E0,-8.765449747E-4,3.099848516E-3,2.438870724E-3
2.424513000E0,1.438940875E-3,9.837168269E-3,2.983442973E-3
2.434558000E0,8.479859680E-4,9.579640813E-3,-1.195855439E-3
2.444602000E0,2.239052206E-3,7.034805603E-3,2.107042819E-3
2.454647000E0,-2.592597157E-4,5.694969557E-3,2.422893420E-3
2.464692000E0,1.691253856E-4,8.078487590E-3,1.686779782E-3
2.474736000E0,1.377400942E-3,4.688816145E-3,4.958142526E-4
2.484781000E0,-2.937915735E-3,8.710294031E-3,1.356163993E-4
2.494826000E0,-5.027214065E-4,6.403996609E-3,3.102643881E-3
2.504870000E0,-1.592487097E-3,4.157353193E-3,4.498939030E-3
2.514915000E0,-6.593637168E-3,4.330192693E-3,5.033968017E-3
2.524960000E0,-3.833972849E-3,1.613691449E-3,8.300295100E-3
2.535004000E0,-6.096328609E-3,1.716222614E-3,5.775618367E-3
2.545049500E0,-5.649183877E-3,1.718087122E-3,7.412663661E-3
2.555093500E0,-6.326692179E-3,8.446563035E-3,4.195299000E-3
2.565138500E0,-8.005089127E-3,1.135905460E-2,3.031992819E-3
2.575183500E0,-7.235169411E-3,1.239555702E-2,1.111587510E-3
2.585227500E0,-1.216522418E-3,1.096977852E-2,-2.773924731E-3
2.595272500E0,3.940423019E-3,1.067816280E-2,3.460535314E-3
2.605317500E0,6.978460588E-3,6.773777306E-3,7.468136027E-4
2.615361500E0,8.435209282E-3,1.942803152E-3,2.780137118E-3
2.625406500E0,6.927691400E-3,-2.757965587E-3,5.881305784E-3
2.635450500E0,6.769765168E-3,-8.522076532E-4,7.044574711E-3
2.645495500E0,6.320494227E-3,9.026039392E-3,7.866378874E-3
2.655540500E0,7.066712715E-3,1.125004515E-2,5.701228976E-3
2.665584500E0,9.546740912E-3,1.878772676E-2,1.956829801E-3
2.675629500E0,1.313774753E-2,2.217207104E-2,-6.823800504E-5
2.685674500E0,1.025998592E-2,2.119358629E-2,1.911934931E-3
2.695718500E0,3.182901070E-3,1.712001860E-2,3.024870064E-3
2.705763500E0,-1.789997332E-3,1.543251425E-2,4.472842440E-3
2.715808500E0,-7.209263742E-3,1.279971190E-2,3.651257139E-3
2.725852500E0,-7.492357399E-3,1.259097457E-2,7.277108729E-3
2.735897500E0,-4.485648125E-3,9.952314198E-3,4.010741599E-3
2.745941500E0,-2.844075672E-3,1.029453054E-2,5.037656985E-3
2.755986500E0,-1.204101369E-3,1.083222404E-2,5.198777653E-3
2.766031500E0,1.674145460E-3,1.172925252E-2,3.726356197E-3
2.776075500E0,1.981740817E-3,1.033455599E-2,1.956951804E-3
2.786120500E0,3.240016289E-3,6.144500338E-3,1.319795847E-3
2.796165500E0,3.514855169E-3,9.328575805E-3,1.139500178E-3
2.806209500E0,-2.458664589E-3,1.007163711E-2,2.206782345E-3
2.816254500E0,-2.355600707E-3,1.229191385E-2,-4.630368203E-4
2.826299500E0,-1.569948159E-3,1.432085317E-2,2.895873040E-4
2.836343500E0,-6.450321525E-4,1.598506421E-2,5.502725020E-3
2.846388500E0,-2.624243498E-3,9.272311814E-3,4.130466375E-3
2.856432500E0,-1.942474395E-3,6.785719655E-3,4.651114345E-3
2.866477500E0,-1.734821126E-4,4.596184939E-3,4.370078444E-3
2.876522500E0,4.930466413E-3,2.006793395E-3,1.705585979E-3
2.886566500E0,1.461335458E-3,-2.381214872E-4,4.205883015E-3
2.896611500E0,1.868267544E-3,4.368081689E-3,2.315571532E-3
2.906656500E0,3.056117333E-3,4.752098583E-3,-3.231531009E-4
2.916700500E0,4.030301236E-3,4.412279464E-3,5.881804973E-4
2.926745500E0,6.266032346E-3,-3.498862498E-3,1.655147877E-3
2.936790500E0,3.538154997E-3,-2.463691868E-3,-9.683324024E-4
2.946834500E0,4.710536450E-4,-4.269999452E-3,1.284306403E-3
2.956879500E0,-5.565799773E-3,-5.962704308E-3,3.354914486E-3
2.966923500E0,-3.785810433E-3,-9.523243643E-3,1.721778885E-3
2.976968500E0,-3.633211367E-3,-7.686727680E-3,2.404080704E-3
2.987013500E0,-3.430770710E-3,-3.742724657E-3,7.560583763E-4
2.997057500E0,3.491850570E-3,1.739244908E-5,-2.508824691E-4
3.007102500E0,4.210206680E-3,3.300776705E-3,1.451321878E-3
3.017147500E0,4.002478905E-3,2.713017166E-3,1.546396874E-3
3.027191500E0,5.282784812E-3,1.542990096E-3,4.733547568E-3
3.037236500E0,5.764017813E-3,2.033277415E-3,3.979873378E-3
3.047281500E0,9.792188182E-3,4.175308160E-3,5.164614879E-3
3.057325500E0,9.208688512E-3,5.848571658E-3,2.663907129E-3
3.067370500E0,8.496155031E-3,1.073222794E-2,5.173593760E-3
3.077414500E0,1.163202804E-2,1.287101209E-2,3.492074087E-3
3.087459500E0,1.475849841E-2,1.878643595E-2,-1.252721995E-4
3.097504500E0,1.846642047E-2,2.719509974E-2,2.755336463E-4
3.107548500E0,1.479959209E-2,3.682427853E-2,6.234174129E-3
3.117593500E0,6.841800176E-3,4.145178944E-2,4.988080822E-3
3.127638500E0,3.361678682E-3,4.895330220E-2,4.827334546E-3
3.137682500E0,8.226213977E-4,5.845918879E-2,5.468890071E-3
3.147727500E0,-1.867411658E-3,6.288401783E-2,1.863107551E-3
3.157772500E0,2.210153267E-3,6.859302521E-2,5.129741039E-3
3.167816500E0,1.117691211E-2,7.832318544E-2,8.224622346E-3
3.177861500E0,1.489628293E-2,7.982600480E-2,7.215283811E-3
3.187905500E0,1.500668097E-2,7.960879058E-2,1.359686814E-2
3.197950500E0,1.429375354E-2,7.174847275E-2,1.376811042E-2
3.207995500E0,9.338093922E-3,6.440697610E-2,1.245585829E-2
3.218039500E0,9.606273845E-3,5.342836678E-2,8.127954789E-3
3.228084500E0,1.169089135E-2,5.032788217E-2,4.196566530E-3
3.238129500E0,1.544035506E-2,4.288700968E-2,-1.387549564E-3
3.248173500E0,1.449753717E-2,4.547453299E-2,4.347930662E-4
3.258218500E0,1.129508764E-2,4.757523537E-2,-2.305599861E-3
3.268263500E0,8.244543336E-3,4.349337518E-2,-1.922466792E-3
3.278307500E0,9.569999762E-3,3.418456018E-2,1.389173791E-3
3.288352500E0,1.182416454E-2,2.190275490E-2,-8.808178827E-4
3.298397500E0,1.559893042E-2,8.578162640E-3,2.081487328E-4
3.308441500E0,1.440427732E-2,4.135657102E-3,-1.337386668E-3
3.318486500E0,1.686504111E-2,2.886101604E-3,-1.767220907E-3
3.328530500E0,1.388469618E-2,3.995308653E-3,-1.167477109E-3
3.338575500E0,1.174724195E-2,6.284828298E-3,-1.161085442E-3
3.348620500E0,1.537579950E-2,5.502657965E-3,-1.696115360E-3
3.358664500E0,1.909943298E-2,5.980694667E-3,4.035211168E-4
3.368709500E0,2.642731182E-2,-2.944297157E-3,4.974952899E-4
3.378754500E0,3.117652796E-2,-1.390347071E-2,-5.999933928E-4
3.388798500E0,3.496441618E-2,-2.326347679E-2,-1.219941303E-3
3.398843500E0,3.397291899E-2,-2.505951189E-2,-3.982438706E-3
3.408888500E0,3.233596683E-2,-3.565742448E-2,-6.468492560E-3
3.418932500E0,3.610887006E-2,-4.891517013E-2,-4.904151894E-3
3.428977500E0,3.867242858E-2,-5.859986693E-2,-7.367921993E-3
3.439022500E0,4.276384413E-2,-5.997139961E-2,-1.043748204E-2
3.449066500E0,4.919615388E-2,-6.393655390E-2,-9.175064974E-3
3.459111500E0,5.023798347E-2,-7.098887116E-2,-1.084433403E-2
3.469156500E0,4.596830532E-2,-7.615516335E-2,-7.466042414E-3
3.479200500E0,4.285933077E-2,-8.307725191E-2,-8.082032204E-3
3.489245500E0,4.025525972E-2,-7.714147121E-2,-1.018454693E-2
3.499289500E0,4.046644643E-2,-7.583891600E-2,-1.371962763E-2
3.509334500E0,4.205511138E-2,-6.881761551E-2,-8.847629651E-3
3.519379500E0,4.469750077E-2,-7.261528820E-2,-3.021431156E-3
3.529423500E0,4.383432865E-2,-8.828844130E-2,-3.149962984E-3
3.539468500E0,4.105079174E-2,-8.916568011E-2,-4.773692228E-3
3.549514375E0,4.624036327E-2,-8.101928979E-2,-9.515541606E-3
3.559558375E0,4.286933318E-2,-6.637322903E-2,-1.340002846E-2
3.569603375E0,3.500552103E-2,-6.109631807E-2,-1.636434719E-2
3.579648375E0,3.167870268E-2,-6.358078122E-2,-1.207133103E-2
3.589692375E0,2.651363052E-2,-6.445716321E-2,-1.383603178E-2
3.599737375E0,2.574157901E-2,-6.068027020E-2,-1.370820031E-2
3.609782375E0,2.531453408E-2,-5.875863507E-2,-1.058389992E-2
3.619826375E0,2.172432654E-2,-5.755035952E-2,-7.607817650E-3
3.629871375E0,1.568320952E-2,-5.461076275E-2,-4.583798349E-3
3.639916375E0,1.357531920E-2,-5.662145093E-2,-5.262904800E-3
3.649960375E0,1.800249517E-2,-5.916492641E-2,-5.590028130E-3
3.660005375E0,1.535371318E-2,-6.361719966E-2,-6.123991683E-3
3.670050375E0,1.752781682E-2,-5.797068775E-2,-9.763424285E-3
3.680094375E0,1.680050604E-2,-4.959291220E-2,-8.431044407E-3
3.690139375E0,1.347640809E-2,-4.927934334E-2,-7.369635627E-3
3.700183375E0,1.074666809E-2,-5.224477500E-2,-5.999972112E-3
3.710228375E0,6.377059966E-3,-5.497721210E-2,-7.404885255E-3
3.720273375E0,6.743511185E-3,-5.606777966E-2,-9.811850265E-3
3.730317375E0,1.053583995E-2,-5.234701186E-2,-9.866953827E-3
3.740362375E0,1.312709413E-2,-5.034031719E-2,-1.215061452E-2
3.750407375E0,1.833491959E-2,-4.701010138E-2,-1.023396105E-2
3.760451375E0,1.898126863E-2,-4.648093134E-2,-7.938049734E-3
3.770496375E0,1.424992178E-2,-4.674380645E-2,-4.356442019E-3
3.780541375E0,1.295003388E-2,-4.884903505E-2,-3.715950996E-3
3.790585375E0,8.491293527E-3,-5.143772811E-2,-1.736225560E-3
3.800630375E0,8.865733631E-3,-4.810185358E-2,-7.046569139E-3
3.810675375E0,5.272589624E-3,-4.160708562E-2,-4.951107316E-3
3.820719375E0,8.509438485E-4,-4.105367884E-2,-6.968452595E-3
3.830764375E0,-4.151785746E-3,-3.644845262E-2,-4.414853640E-3
3.840809375E0,-5.323044024E-3,-2.974128164E-2,-5.514739081E-3
3.850853375E0,-2.081925981E-3,-1.964581199E-2,-4.468538798E-3
