"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.767999937E-3,-3.579705060E-1,1.508060098E-1,6.929826736E-2
1.381499995E-2,-4.141125977E-1,3.268713057E-1,9.426487237E-2
2.386199997E-2,-4.569971263E-1,5.059491396E-1,8.116289973E-2
3.391000000E-2,-5.021387935E-1,6.648328304E-1,4.520623386E-2
4.395700002E-2,-5.250791311E-1,7.506506443E-1,-7.712817751E-3
5.400399992E-2,-4.786937833E-1,7.902007103E-1,-4.817662016E-2
6.405199994E-2,-3.460207582E-1,8.159273863E-1,-8.258108050E-2
7.409899996E-2,-1.580889374E-1,8.928176165E-1,-1.437799931E-1
8.414599998E-2,-5.334379897E-2,1.213502049E0,-1.585174054E-1
9.419400000E-2,-5.138104782E-2,1.512580633E0,-4.305578768E-2
1.042409999E-1,-1.143785045E-1,1.608030915E0,1.573500037E-1
1.142879999E-1,-1.406825483E-1,1.507105112E0,3.362036645E-1
1.243359999E-1,-5.064400658E-2,1.417624593E0,4.302145541E-1
1.343830000E-1,2.022998482E-1,1.424076319E0,4.581354260E-1
1.444300000E-1,5.663311481E-1,1.457103014E0,4.448584020E-1
1.544780000E-1,8.982052803E-1,1.521542192E0,4.422442615E-1
1.645249999E-1,1.029285073E0,1.563753605E0,4.825553596E-1
1.745729999E-1,8.191933036E-1,1.506450653E0,5.273784995E-1
1.846200000E-1,2.724051774E-1,1.354944348E0,4.931654930E-1
1.946670000E-1,-4.693086147E-1,1.294480443E0,3.972847760E-1
2.047150000E-1,-1.207861543E0,1.294971228E0,2.871248126E-1
2.147619999E-1,-1.767364740E0,1.241389155E0,1.816497743E-1
2.248089999E-1,-2.081808090E0,1.093649149E0,1.051109582E-1
2.348569999E-1,-2.164108992E0,9.152317047E-1,8.561342210E-2
2.449040000E-1,-2.118023396E0,6.558593512E-1,1.288067102E-1
2.549510000E-1,-1.939804912E0,3.830254376E-1,1.664686054E-1
2.649990000E-1,-1.236168623E0,7.640387416E-1,-1.084082499E-1
2.750459999E-1,-2.484384477E-1,7.280698419E-1,-3.785928488E-1
2.850939999E-1,3.749350607E-1,2.030256093E-1,-3.621917665E-1
2.951410000E-1,5.234968662E-1,-1.910186261E-1,-1.855243444E-1
3.051880000E-1,4.624450803E-1,-4.780247509E-1,-5.277678370E-3
3.152360000E-1,3.709377944E-1,-4.866744578E-1,1.886307821E-2
3.252830000E-1,3.363424540E-1,-2.288723141E-1,-1.041822582E-1
