"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.582359467E0,3.820954285E0,7.508086853E0
1.001800000E-2,-2.092798004E0,4.200564880E0,7.684719543E0
2.003700001E-2,-1.547332306E0,3.850143585E0,8.940158844E0
3.005500001E-2,-1.220711517E0,3.385809174E0,9.409133606E0
4.007400002E-2,-1.238524475E0,3.402424622E0,9.589059448E0
5.009200002E-2,-1.360969849E0,3.503763885E0,9.642648010E0
6.010999999E-2,-1.246308289E0,3.368744659E0,9.670490112E0
7.012900000E-2,-1.362766113E0,3.364403687E0,9.495354309E0
8.014700000E-2,-1.362167358E0,3.500171356E0,9.386530609E0
9.016500000E-2,-1.167572021E0,3.386258240E0,9.355994110E0
1.001840000E-1,-1.097068634E0,3.461401978E0,9.210945740E0
1.102020000E-1,-1.088985443E0,3.603007507E0,9.112151184E0
1.202200000E-1,-1.101259918E0,3.606450348E0,9.091344452E0
1.302390000E-1,-1.002764740E0,3.496728516E0,9.199270020E0
1.402570000E-1,-9.943821716E-1,3.463497620E0,9.297465820E0
1.502750000E-1,-1.063538361E0,3.471880188E0,9.443562012E0
1.602940000E-1,-1.160237274E0,3.445984039E0,9.654174042E0
1.703120000E-1,-1.115779724E0,3.368445282E0,9.755513306E0
1.803300000E-1,-9.487271118E-1,3.319048004E0,9.583970032E0
1.903490000E-1,-8.773255920E-1,3.282673645E0,9.273216248E0
2.003670000E-1,-9.886940002E-1,3.356470184E0,8.985813904E0
2.103847083E-1,-1.166224823E0,3.452869720E0,8.791218567E0
2.204037083E-1,-1.312919769E0,3.555256805E0,8.659043427E0
2.304217083E-1,-1.223405914E0,3.481909332E0,8.529712372E0
2.404397083E-1,-1.226549377E0,3.490291901E0,8.530311127E0
2.504587083E-1,-1.232985992E0,3.538791046E0,8.595874786E0
2.604767083E-1,-1.251697083E0,3.550017700E0,8.658145294E0
2.704947083E-1,-1.284778290E0,3.551065521E0,8.734037476E0
2.805137083E-1,-1.299896851E0,3.569477234E0,8.802145844E0
2.905317083E-1,-1.201850739E0,3.667523346E0,8.790919189E0
3.005507083E-1,-1.415007477E0,3.529660034E0,8.844657440E0
3.105687083E-1,-1.377585297E0,3.501668243E0,9.081914063E0
3.205867083E-1,-1.258283386E0,3.486250305E0,9.088650055E0
3.306057083E-1,-1.271605682E0,3.384312286E0,9.114546204E0
3.406237083E-1,-1.226998444E0,3.382366333E0,9.201066284E0
3.506417083E-1,-1.202150116E0,3.362757111E0,9.225166168E0
3.606607083E-1,-1.104702759E0,3.307971039E0,9.179660797E0
3.706787083E-1,-1.044527893E0,3.235970764E0,9.128317566E0
3.806967083E-1,-1.004710693E0,3.196003876E0,9.024283905E0
3.907157083E-1,-9.400451660E-1,3.154240723E0,8.832532654E0
4.007337083E-1,-9.002279663E-1,3.132386169E0,8.613238678E0
4.107517083E-1,-8.765771484E-1,3.123554535E0,8.392298126E0
4.207707083E-1,-9.000782776E-1,3.154989166E0,8.223598938E0
4.307887083E-1,-8.925938416E-1,3.160078583E0,8.047864380E0
4.408067083E-1,-7.966433716E-1,3.056194611E0,7.875123596E0
4.508257083E-1,-6.550378418E-1,2.938090210E0,7.707472229E0
4.608437083E-1,-5.523513794E-1,2.850522308E0,7.523504791E0
4.708617083E-1,-4.496649170E-1,2.791994019E0,7.295678558E0
4.808807083E-1,-4.288581848E-1,2.811603241E0,7.119195557E0
4.908987083E-1,-7.527845764E-1,3.013084259E0,7.031477966E0
5.009167083E-1,-1.080902252E0,3.220552826E0,6.882986755E0
5.109357083E-1,-1.249002686E0,3.367996216E0,6.500232697E0
5.209537083E-1,-1.187330933E0,3.281625824E0,6.041287079E0
5.309717083E-1,-1.063987427E0,3.083437958E0,5.711522827E0
5.409907083E-1,-1.085542603E0,2.861000519E0,5.610782318E0
