"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
-7.110596000E-3,-3.044738770E-1,-2.024993896E0,-2.722320557E-1
-2.105713000E-3,-3.002166748E-1,-2.017532349E0,-2.637023926E-1
2.929687000E-3,-3.215179443E-1,-2.013275146E0,-2.424011230E-1
7.965088000E-3,-3.460235596E-1,-1.977050781E0,-2.221679688E-1
1.300048800E-2,-3.673248291E-1,-1.911010742E0,-2.210998535E-1
1.806640600E-2,-3.854370117E-1,-1.853485107E0,-2.306823730E-1
2.313232400E-2,-4.035491943E-1,-1.784240723E0,-2.669067383E-1
2.816772400E-2,-4.131317139E-1,-1.705413818E0,-3.276214600E-1
3.320312500E-2,-4.195251465E-1,-1.615936279E0,-4.043273926E-1
3.826904300E-2,-4.248504639E-1,-1.520065308E0,-4.906005859E-1
4.333496100E-2,-4.216613770E-1,-1.427383423E0,-5.779571533E-1
4.840087900E-2,-4.216613770E-1,-1.337905884E0,-6.770324707E-1
5.343627900E-2,-4.312438965E-1,-1.239898682E0,-7.729034424E-1
5.850219700E-2,-4.418945312E-1,-1.105667114E0,-8.517303467E-1
6.353759700E-2,-4.525451660E-1,-9.746398926E-1,-9.220428467E-1
6.860351500E-2,-4.674682617E-1,-8.563995361E-1,-9.848937988E-1
7.363891600E-2,-4.887695312E-1,-7.317657471E-1,-1.033889771E0
7.870483400E-2,-5.143280029E-1,-6.231079102E-1,-1.059463501E0
8.374023400E-2,-5.462951660E-1,-5.314941406E-1,-1.048812866E0
8.880615200E-2,-5.921020508E-1,-4.441375732E-1,-1.009399414E0
9.384155300E-2,-6.443023682E-1,-3.621215820E-1,-9.476013184E-1
9.890747100E-2,-7.082061768E-1,-2.960662842E-1,-8.634490967E-1
1.039733880E-1,-7.785186768E-1,-2.555847168E-1,-7.579956055E-1
1.090393060E-1,-8.541564941E-1,-2.449340820E-1,-6.354827881E-1
1.141052240E-1,-9.265899658E-1,-2.630462646E-1,-4.980621338E-1
1.191406250E-1,-9.883728027E-1,-3.056640625E-1,-3.499908447E-1
1.241760250E-1,-1.037384033E0,-3.631744385E-1,-1.944580078E-1
1.292419430E-1,-1.069335938E0,-4.249725342E-1,-2.828979492E-2
1.342773440E-1,-1.085311890E0,-4.920806885E-1,1.410980225E-1
1.393432620E-1,-1.085311890E0,-5.804901123E-1,3.083343506E-1
1.443786620E-1,-1.068267822E0,-6.838226318E-1,4.670715332E-1
1.494445800E-1,-1.036315918E0,-8.041992188E-1,6.098175049E-1
1.544799800E-1,-9.777221680E-1,-9.405517578E-1,7.397766113E-1
1.595153810E-1,-8.957061768E-1,-1.075836182E0,8.505554199E-1
1.645812990E-1,-7.966308594E-1,-1.194091797E0,9.421691895E-1
1.696472170E-1,-6.794433594E-1,-1.303817749E0,1.011413574E0
1.746826170E-1,-5.473632812E-1,-1.410339355E0,1.051895142E0
1.797485350E-1,-4.046173096E-1,-1.501953125E0,1.073196411E0
1.847839350E-1,-2.586669922E-1,-1.569061279E0,1.080657959E0
1.898498530E-1,-1.233825684E-1,-1.603149414E0,1.075332642E0
1.949157710E-1,-1.937866211E-3,-1.601013184E0,1.064682007E0
1.999511720E-1,9.393310547E-2,-1.565872192E0,1.052963257E0
2.050170900E-1,1.525268555E-1,-1.507278442E0,1.045501709E0
2.100830080E-1,1.727600098E-1,-1.436965942E0,1.040176392E0
2.151184080E-1,1.567840576E-1,-1.356002808E0,1.044433594E0
2.201538080E-1,1.045837402E-1,-1.268661499E0,1.057220459E0
2.252197260E-1,2.682495117E-2,-1.160003662E0,1.075332642E0
2.302551270E-1,-6.799316406E-2,-1.028976440E0,1.105163574E0
2.353210450E-1,-1.745147705E-1,-8.734436035E-1,1.140304565E0
2.403869630E-1,-2.906341553E-1,-6.997985840E-1,1.172271729E0
2.454528810E-1,-4.056854248E-1,-5.251007080E-1,1.201034546E0
2.504882810E-1,-5.153961182E-1,-3.557281494E-1,1.223403931E0
2.555236810E-1,-6.187286377E-1,-1.916809082E-1,1.240447998E0
2.605590820E-1,-7.114105225E-1,-2.975463867E-2,1.255355835E0
2.656250000E-1,-7.870483398E-1,1.289672852E-1,1.273468018E0
2.706604000E-1,-8.541564941E-1,2.834320068E-1,1.290512085E0
2.757263180E-1,-9.116821289E-1,4.261779785E-1,1.307556152E0
2.807617190E-1,-9.585571289E-1,5.540161133E-1,1.325668335E0
2.858276370E-1,-9.969024658E-1,6.573486328E-1,1.338455200E0
2.908630370E-1,-1.026733398E0,7.382965088E-1,1.345901489E0
2.959289550E-1,-1.049102783E0,8.096771240E-1,1.342712402E0
3.009643550E-1,-1.065078735E0,8.554840088E-1,1.332061768E0
3.060302730E-1,-1.076797485E0,8.810424805E-1,1.315017700E0
3.110656740E-1,-1.086380005E0,8.927612305E-1,1.295837402E0
3.161315920E-1,-1.095962524E0,8.991546631E-1,1.273468018E0
3.211669920E-1,-1.106628418E0,9.012908936E-1,1.253234863E0
3.262329100E-1,-1.120468140E0,8.980865479E-1,1.232986450E0
3.312988280E-1,-1.143905640E0,8.853149414E-1,1.215942383E0
3.363647460E-1,-1.169479370E0,8.512268066E-1,1.191436768E0
3.414001460E-1,-1.196105957E0,8.117980957E-1,1.168014526E0
3.464660640E-1,-1.222732544E0,7.691955566E-1,1.146697998E0
3.515319820E-1,-1.244033813E0,7.244567871E-1,1.125396729E0
3.565673830E-1,-1.262145996E0,6.871643066E-1,1.106216431E0
3.616027830E-1,-1.282394409E0,6.509552002E-1,1.088119507E0
3.666687010E-1,-1.307952881E0,6.232604980E-1,1.067871094E0
3.717346190E-1,-1.332458496E0,5.912933350E-1,1.041244507E0
3.767700190E-1,-1.360153198E0,5.593414307E-1,1.015670776E0
3.818054200E-1,-1.392120361E0,5.316467285E-1,9.911804199E-1
3.868713380E-1,-1.430465698E0,4.911651611E-1,9.677429199E-1
3.919067380E-1,-1.475204468E0,4.400329590E-1,9.421691895E-1
3.969421380E-1,-1.522079468E0,3.654632568E-1,9.166107178E-1
4.020080560E-1,-1.568939209E0,2.717132568E-1,8.889160156E-1
4.070739740E-1,-1.614746094E0,1.630554199E-1,8.644104004E-1
4.121398920E-1,-1.653106689E0,4.162597656E-2,8.441619873E-1
4.171752930E-1,-1.687194824E0,-8.728027344E-2,8.345794678E-1
4.222106930E-1,-1.715957642E0,-2.225646973E-1,8.335113525E-1
4.272766110E-1,-1.739395142E0,-3.685150146E-1,8.431091309E-1
4.323425290E-1,-1.755371094E0,-5.314941406E-1,8.612060547E-1
4.373779300E-1,-1.760696411E0,-7.104644775E-1,8.857116699E-1
4.424133300E-1,-1.756439209E0,-8.936767578E-1,9.219360352E-1
4.474792480E-1,-1.742584229E0,-1.083297729E0,9.613494873E-1
4.525451660E-1,-1.715957642E0,-1.268661499E0,1.002899170E0
4.575805660E-1,-1.677597046E0,-1.444427490E0,1.040176392E0
4.626464840E-1,-1.631790161E0,-1.613800049E0,1.068939209E0
4.677124020E-1,-1.577468872E0,-1.766128540E0,1.092376709E0
4.727783200E-1,-1.515686035E0,-1.893966675E0,1.108352661E0
4.778137210E-1,-1.452835083E0,-1.998367310E0,1.117935181E0
4.828491210E-1,-1.391052246E0,-2.081451416E0,1.114746094E0
4.878845210E-1,-1.330322266E0,-2.135787964E0,1.099838257E0
4.929504390E-1,-1.274932861E0,-2.163482666E0,1.073196411E0
4.980163570E-1,-1.222732544E0,-2.164550781E0,1.028457642E0
5.030517580E-1,-1.169479370E0,-2.146438599E0,9.624176025E-1
5.081176760E-1,-1.114074707E0,-2.115539551E0,8.771972656E-1
5.131835940E-1,-1.061874390E0,-2.068664551E0,7.781219482E-1
5.182189940E-1,-1.016067505E0,-2.012207031E0,6.652069092E-1
5.232543940E-1,-9.756011963E-1,-1.945098877E0,5.490875244E-1
5.283203120E-1,-9.425659180E-1,-1.865203857E0,4.340362549E-1
5.333862300E-1,-9.170074463E-1,-1.777847290E0,3.296508789E-1
5.384216310E-1,-8.935699463E-1,-1.690505981E0,2.422943115E-1
5.434875490E-1,-8.712005615E-1,-1.607406616E0,1.741180420E-1
5.485229490E-1,-8.509521484E-1,-1.531784058E0,1.283111572E-1
5.535888670E-1,-8.317871094E-1,-1.469985962E0,1.027374268E-1
5.586547850E-1,-8.104858398E-1,-1.414596558E0,9.635925293E-2
5.636901850E-1,-7.870483398E-1,-1.367721558E0,1.144561768E-1
5.687255860E-1,-7.614746094E-1,-1.319793701E0,1.485443115E-1
5.737915040E-1,-7.273864746E-1,-1.271850586E0,1.975555420E-1
5.788269040E-1,-6.922302246E-1,-1.234573364E0,2.572021484E-1
5.838928220E-1,-6.528167725E-1,-1.204742432E0,3.275146484E-1
5.889587400E-1,-6.123352051E-1,-1.179168701E0,3.988800049E-1
5.940246580E-1,-5.708007812E-1,-1.157867432E0,4.734497070E-1
5.990600580E-1,-5.249938965E-1,-1.140823364E0,5.501556396E-1
6.040954590E-1,-4.770507812E-1,-1.122711182E0,6.161956787E-1
6.091613770E-1,-4.280548096E-1,-1.106735229E0,6.737213135E-1
6.141967770E-1,-3.747863770E-1,-1.096084595E0,7.163391113E-1
6.192626950E-1,-3.161926270E-1,-1.084365845E0,7.429656982E-1
6.242980960E-1,-2.544097900E-1,-1.065185547E0,7.578887939E-1
6.293640130E-1,-1.904907227E-1,-1.038558960E0,7.589416504E-1
6.344299310E-1,-1.287078857E-1,-1.014053345E0,7.546844482E-1
6.394653320E-1,-6.906127930E-2,-9.948883057E-1,7.365722656E-1
6.445312500E-1,-9.399414062E-3,-9.874267578E-1,7.152709961E-1
6.495666500E-1,4.705810547E-2,-9.874267578E-1,6.918334961E-1
6.546325680E-1,9.925842285E-2,-9.916839600E-1,6.652069092E-1
6.596679690E-1,1.472015381E-1,-1.001281738E0,6.460266113E-1
6.647338870E-1,1.898040771E-1,-1.019378662E0,6.289825439E-1
6.697998050E-1,2.207031250E-1,-1.039627075E0,6.151428223E-1
6.748352050E-1,2.462615967E-1,-1.056671143E0,6.076812744E-1
6.798706050E-1,2.601165771E-1,-1.068389893E0,6.055450439E-1
6.849365230E-1,2.654418945E-1,-1.075836182E0,6.023559570E-1
6.900024410E-1,2.590484619E-1,-1.077972412E0,5.917053223E-1
6.950378420E-1,2.430725098E-1,-1.070510864E0,5.746612549E-1
7.000732420E-1,2.207031250E-1,-1.056671143E0,5.448303223E-1
7.051391600E-1,1.919403076E-1,-1.037490845E0,5.032806396E-1
7.102050780E-1,1.610412598E-1,-1.013000488E0,4.457550049E-1
7.152404780E-1,1.322784424E-1,-9.821014404E-1,3.743896484E-1
7.203063960E-1,1.067199707E-1,-9.426879883E-1,2.966156006E-1
7.253417970E-1,8.221435547E-2,-9.022064209E-1,2.145996094E-1
7.304077150E-1,6.303405762E-2,-8.606567383E-1,1.325683594E-1
7.354736330E-1,5.238342285E-2,-8.201751709E-1,5.799865723E-2
7.405090330E-1,4.705810547E-2,-7.892913818E-1,-8.041381836E-3
7.455749510E-1,4.280090332E-2,-7.765045166E-1,-6.663513184E-2
7.506408690E-1,4.598999023E-2,-7.743682861E-1,-1.103057861E-1
7.556762690E-1,5.770874023E-2,-7.839660645E-1,-1.401367188E-1
7.607116700E-1,7.156372070E-2,-7.978057861E-1,-1.582489014E-1
