,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
12224,62.00788499,0.5267243981,5.025429249,8.425195694
12225,62.01276799,0.5075707436,5.092466831,8.437167168
12226,62.01789499,0.5363011956,5.128379822,8.415618896
12227,62.02289999,0.5961562395000001,5.157110691000001,8.377311707
12228,62.02790499,0.691924274,5.145139217,8.259995461
12229,62.03290899,0.7565677166,5.061342239,8.178592682
12230,62.03791399,0.7996633648999999,5.046977043,8.116343497999999
12231,62.04291899,0.8236053586,5.068524837,7.970297337000001
12232,62.04792399,0.8044517636,5.085284233,7.8529815670000005
12233,62.05292899,0.7422025204000001,5.147533417,7.819462776
12234,62.05891299,0.7158663273,5.221754074,7.829039573999999
12235,62.06391799,0.7134721279,5.240907668999999,7.876923561
12236,62.06873999,0.7206547259999999,5.245696068,7.927201748
12237,62.07392799,0.7182605267000001,5.185841084,7.95832634
12238,62.07893199,0.6296750307,5.181052685,7.984662533
12239,62.08393699,0.5482721925,5.15950489,7.99663353
12240,62.08888099,0.4716577232,5.130774021000001,7.9822683329999995
12241,62.09388599,0.4070142806,5.114014626,7.9104423520000005
12242,62.09889099,0.390254885,5.123591423,7.891288757000001
12243,62.10389599,0.3806780577,5.1547164919999995,7.936778545
12244,62.10890099,0.4548983276,5.212177276999999,7.9822683329999995
12245,62.11390499,0.6177040339000001,5.262455463,7.991845131
12246,62.11890999,0.8451532125,5.319916248,8.051700592000001
12247,62.12391499,0.9624691009999999,5.408501625,8.116343497999999
12248,62.12891999,0.9624691009999999,5.418078423,8.085219383
12249,62.13392499,1.031900883,5.439626217000001,7.9535379410000004
12250,62.13886899,1.036689281,5.4515972139999995,7.788338184
12251,62.14393499,0.9720458984,5.396530628,7.785943985
12252,62.14893999,0.873883605,5.35343504,7.860164165
12253,62.15394399,0.7541735172,5.31512785,7.9607205389999995
12254,62.15888799,0.6799532771,5.262455463,8.0229702
12255,62.16389299,0.6129156351,5.233725071,8.094796181
12256,62.16889799,0.4932055473,5.181052685,8.200140953
12257,62.17390299,0.39504328369999997,5.147533417,8.271966934
12258,62.17890799,0.3136404157,5.121197223999999,8.36294651
12259,62.18488899,0.2849099934,5.090072632,8.451532364
12260,62.18989399,0.3064578176,5.121197223999999,8.449137687999999
12261,62.19489899,0.349553436,5.111620426,8.398859977999999
12262,62.19990399,0.4046200812,5.133168221,8.305485725
12263,62.20490899,0.48123455049999997,5.164293289,8.149862289
12264,62.20991399,0.6871358752,5.221754074,7.9535379410000004
12265,62.21491799,0.8283938169,5.334281445,7.860164165
12266,62.21992299,0.873883605,5.434837817999999,7.824251175
12267,62.22492799,0.8762778044,5.523423195,7.769184589
12268,62.22974999,0.8355764151,5.547365189,7.639897822999999
12269,62.23493799,0.8140285611,5.528211594,7.575253963
12270,62.23994299,0.7493851184999999,5.482721806,7.553706169
12271,62.24476499,0.653617084,5.370194435,7.580042362
12272,62.24989099,0.5698199868,5.281609058,7.659051418
12273,62.25477399,0.4070142806,5.188235283,7.711723804
12274,62.25990099,0.2896983922,5.116408825,7.718906402999999
12275,62.26490599,0.15562310810000002,5.106832027,7.771578788999999
12276,62.26991099,0.1364694983,5.080495834,7.872135162
12277,62.27491599,0.181959331,5.085284233,8.046912192999999
12278,62.27992099,0.2896983922,5.116408825,8.274360657
12279,62.28492599,0.35673606399999996,5.152322292,8.367734909
12280,62.28992999,0.43335050340000003,5.130774021000001,8.429984093
12281,62.29493499,0.4525041282,5.106832027,8.413225173999999
12282,62.29993999,0.47405192259999995,5.13556242,8.377311707
12283,62.30494499,0.47405192259999995,5.147533417,8.303091048999999
12284,62.31092599,0.4788403511,5.19781208,8.190564156
12285,62.31593099,0.5003881454,5.255272865,8.06127739
12286,62.32093599,0.4836287498,5.3223104480000005,7.948749542000001
12287,62.32594099,0.47405192259999995,5.355829239,7.900865555
12288,62.33088499,0.4716577232,5.406107426,7.869740963
12289,62.33588999,0.490811348,5.46596241,7.802703381000001
12290,62.34089499,0.5195417404,5.492298602999999,7.723694801000001
12291,62.34589999,0.5913678407999999,5.5042696,7.6566572189999995
12292,62.35090399,0.5722141862,5.5042696,7.582436562000001
12293,62.35590899,0.4548983276,5.497087002000001,7.611167431
12294,62.36091399,0.3423708379,5.477933407,7.680599213
12295,62.36591899,0.2992752194,5.425261021,7.80509758
12296,62.37092399,0.2681505978,5.398924827999999,7.9822683329999995
12297,62.37592899,0.2896983922,5.370194435,8.190564156
12298,62.38093399,0.3136404157,5.327098846,8.449137687999999
12299,62.38691499,0.3998316824,5.288791656,8.686163902
12300,62.39191999,0.42137950659999995,5.257667065,8.781931877
12301,62.39692499,0.4620809257,5.248090267,8.70771122
12302,62.40192999,0.5267243981,5.248090267,8.544905663
12303,62.40693499,0.5626373887,5.267243862,8.398859977999999
12304,62.41187799,0.6344634295,5.334281445,8.291120529
12305,62.41694399,0.6847416759,5.38934803,8.240841866
12306,62.42188799,0.6655880809,5.4300494189999995,8.212111473
12307,62.42689299,0.5937620401,5.437232018,8.197746277
12308,62.43189799,0.5530605912,5.408501625,8.166622162000001
12309,62.43690299,0.5363011956,5.3869538310000005,8.204929352
12310,62.44190799,0.5147533417,5.35104084,8.288725852999999
12311,62.44691199,0.4884171486,5.31512785,8.386888504
12312,62.45191699,0.5315127969,5.305551052,8.382100105
12313,62.45692199,0.5817909836999999,5.348646641,8.355764388999999
12314,62.46192699,0.6320692300999999,5.382165432000001,8.243236542
12315,62.46693199,0.6105214357,5.410895824,8.075642586
12316,62.47193699,0.5961562395000001,5.422866821,7.862558365
12317,62.47694199,0.586579442,5.432443619,7.671022415
12318,62.48188599,0.5913678407999999,5.437232018,7.546523571
12319,62.48688999,0.6296750307,5.425261021,7.5584945679999995
12320,62.49189499,0.6440402865,5.38934803,7.6997528079999995
12321,62.49689999,0.5770025849,5.348646641,7.84340477
12322,62.50190499,0.5315127969,5.363011837,7.965508937999999
12323,62.50788599,0.5075707436,5.382165432000001,8.080430984
12324,62.51289099,0.5219359994,5.403713226,8.240841866
12325,62.51789599,0.4860229492,5.394136429,8.391676902999999
12326,62.52271799,0.3926490843,5.355829239,8.547300339
12327,62.52790599,0.2968810201,5.262455463,8.583212852
12328,62.53291099,0.1987187415,5.164293289,8.604761124
12329,62.53791599,0.1604115069,5.099649428999999,8.597578049
12330,62.54292099,0.1675941199,5.092466831,8.556877136
12331,62.54890199,0.27054479719999996,5.149928093,8.441955566
12332,62.55390699,0.2801215947,5.207388878,8.310274124
12333,62.55891199,0.2657563984,5.262455463,8.192957878
12334,62.56391699,0.2561795712,5.31273365,8.058882713
12335,62.56892099,0.2442085743,5.324704647,7.939172745
12336,62.57386499,0.2561795712,5.3725886339999995,7.790732384
12337,62.57893099,0.2609679997,5.401319027,7.649474621
12338,62.58393599,0.3208230138,5.3869538310000005,7.532158375
12339,62.58894099,0.37110126020000006,5.413290024,7.469909191
12340,62.59388499,0.42377370600000003,5.449203014,7.546523571
12341,62.59888999,0.4094084799,5.5090579989999995,7.754819392999999
12342,62.60493199,0.34715923670000004,5.547365189,8.101978302000001
12343,62.60993699,0.3926490843,5.532999992000001,8.461109161
12344,62.61494199,0.4884171486,5.521028996,8.726864815
12345,62.61988599,0.5291185975,5.449203014,8.892065048
12346,62.62592799,0.383072257,5.3294930460000005,8.939949036
12347,62.63093299,0.27054479719999996,5.257667065,8.839392662
12348,62.63593799,0.1699883193,5.193023682,8.671798706
12349,62.64094299,0.1053448766,5.15950489,8.47786808
12350,62.64588699,0.1029506698,5.190629482,8.293514252000001
12351,62.65089099,0.1340752989,5.209783077,8.066065788
12352,62.65589599,0.1771709323,5.240907668999999,7.884106159
12353,62.66090099,0.1723825186,5.207388878,7.706935406
12354,62.66590599,0.1340752989,5.183446883999999,7.5153989789999995
12355,62.67091099,0.1053448766,5.128379822,7.323863029
12356,62.67591599,0.117315881,5.142745018,7.230489254
12357,62.68092099,0.1388636976,5.202600479,7.295132637000001
12358,62.68592599,0.2418143749,5.35343504,7.575253963
12359,62.69092999,0.34476503729999997,5.439626217000001,7.860164165
12360,62.69593499,0.3663128614,5.513846397000001,8.078036308
12361,62.70093999,0.3423708379,5.54257679,8.212111473
12362,62.70692199,0.3040636182,5.5042696,8.212111473
12363,62.71192599,0.282515794,5.453991413,8.133103371
12364,62.71693099,0.2801215947,5.38934803,8.020575523
12365,62.72193599,0.2561795712,5.341464043,7.9535379410000004
12366,62.72694099,0.19393034280000002,5.291185856,7.936778545
12367,62.73188499,0.14604631070000001,5.293580055,7.951143742
12368,62.73688999,0.09097966552000002,5.317522049,7.987056732
12369,62.74293199,0.07661445438999999,5.3294930460000005,7.967903137
12370,62.74793699,0.1244984865,5.303156853,7.869740963
