"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.464996338E0,-6.902786255E0,-1.154052734E0
4.821777000E-3,-1.464996338E0,-6.902786255E0,-1.154052734E0
9.674072000E-3,-1.464996338E0,-6.902786255E0,-1.154052734E0
1.446533200E-2,-1.464996338E0,-6.902786255E0,-1.154052734E0
1.925659100E-2,-1.464996338E0,-6.902786255E0,-1.154052734E0
2.401733400E-2,-1.464996338E0,-6.902786255E0,-1.154052734E0
2.880859300E-2,-1.464996338E0,-6.902786255E0,-1.154052734E0
3.359985300E-2,-1.220932007E0,-5.211059570E0,1.710159302E0
3.839111300E-2,-1.512847900E0,-5.029205322E0,1.774765015E0
4.318237300E-2,-1.689926147E0,-4.833007812E0,1.825012207E0
4.794311500E-2,-2.156524658E0,-4.529113770E0,2.078643799E0
5.273437500E-2,-2.438873291E0,-4.239578247E0,2.370574951E0
5.752563400E-2,-2.520233154E0,-3.749053955E0,2.530899048E0
6.231689400E-2,-2.716445923E0,-3.382949829E0,2.621826172E0
6.707763600E-2,-3.051437378E0,-3.064697266E0,2.770172119E0
7.186889600E-2,-3.367294312E0,-2.689025879E0,2.930496216E0
7.666015600E-2,-3.379257202E0,-2.191329956E0,2.997497559E0
8.145141600E-2,-3.326614380E0,-2.007080078E0,3.133880615E0
8.624267500E-2,-3.546752930E0,-1.626617432E0,3.282241821E0
9.100341800E-2,-3.719039917E0,-1.179153442E0,3.334884644E0
9.579467700E-2,-3.951141357E0,-8.034820557E-1,3.495208740E0
1.005859370E-1,-4.281341553E0,-5.498504639E-1,3.600479126E0
1.053771970E-1,-4.546951294E0,-4.565277100E-1,3.732086182E0
1.101379390E-1,-4.788619995E0,-4.373779297E-1,3.820617676E0
1.149291990E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.235351560E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.282653810E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.331787110E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.379699700E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.427612300E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.475219720E-1,-5.068588257E0,-4.828491211E-1,3.880447388E0
1.523132320E-1,-4.652236938E0,-6.285446167E0,-4.815078735E0
1.571044920E-1,-4.221527100E0,-7.843170166E0,-8.193740845E0
1.618957520E-1,-3.446258545E0,-9.774185181E0,-1.236682129E1
1.666870110E-1,-1.510452271E0,-1.245652771E1,-1.813591003E1
1.714477540E-1,1.279571533E0,-1.608404541E1,-2.352934265E1
1.762390130E-1,4.660629272E0,-2.052273560E1,-2.639355469E1
1.810302730E-1,8.144577026E0,-2.480589294E1,-2.495545959E1
