,Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
5497,55.00941587,1.596579895,-10.36354889,-1.2570858759999999
5498,55.01942288,2.056423645,-10.67969147,-1.741777954
5499,55.02942987,2.756517792,-11.2007579,-1.9381695559999998
5500,55.03943688,3.604803772,-11.95788345,-1.5284715269999998
5501,55.04944387,4.448748779,-12.32656677,-0.6755451965000001
5502,55.05945187,5.101241913,-11.73709259,0.4451742554
5503,55.06945887,5.586383057000001,-11.23039627,1.583706665
5504,55.07946587,5.8576190189999995,-11.43591888,2.495610352
5505,55.08947287,5.447771301,-11.85265228,2.58467514
5506,55.09947987,4.468956757,-12.42491226,2.463876343
5507,55.10948688,2.935994568,-13.12126419,2.074985046
5508,55.11949487,0.6577322388,-13.34968918,1.27190506
5509,55.12950188,-1.484463043,-13.7794455,0.6599775696
5510,55.13950887,-3.3298255919999997,-14.48897003,0.7515870667
5511,55.14951588,-5.367837524,-15.29025375,0.8587641906999999
5512,55.15952287,-7.234156494,-15.72420135,0.9562115479000001
5513,55.16952987,-8.368347931,-15.10074783,1.13149704
5514,55.17953787,-8.734785919,-13.62197296,1.5057188419999998
5515,55.18954487,-8.461903381,-12.00443665,1.8196160890000002
5516,55.19955188,-7.701634369,-10.57356216,1.886526947
5517,55.20955887,-6.568041687000001,-9.429640961,1.612446899
5518,55.21956588,-4.767885132,-8.749455414,1.122366028
5519,55.22957287,-2.421664124,-9.053473206,0.8948391724
5520,55.23957988,-0.2847079468,-9.817634125,0.40356079100000003
5521,55.24958787,0.6749464417000001,-10.10234207,-0.9222322083
5522,55.25959487,1.948049011,-10.10024643,-0.5334906006
5523,55.26960187,3.79460907,-10.08527756,1.27310257
5524,55.27960887,5.808521118,-10.93101883,1.561852112
5525,55.28961587,7.420518951,-11.60850998,0.3477268982
5526,55.29962287,6.184090117999999,-10.59811111,-0.12184661869999999
5527,55.30963088,3.454366608,-9.400751038,0.8208929443
5528,55.31963787,1.601369934,-8.833580475,1.491199036
5529,55.32964488,0.5581892395,-8.561296692,0.9874964905
5530,55.33965187,-0.1149609375,-8.513695679,0.6529421997
5531,55.34965888,-0.7300318909000001,-8.473279724,0.6113287354
5532,55.35966587,-1.344504089,-8.37897583,0.3254232788
5533,55.36967387,-1.7338444519999998,-8.330326996,0.3287164307
5534,55.37968087,-2.17632431,-8.01747757,0.4695735168
5535,55.38968787,-2.698737946,-7.394772491,0.2080673218
5536,55.39969487,-2.7138565060000004,-7.0709957889999995,0.12064910890000001
5537,55.40970187,-2.560275879,-6.959477692,-0.33620086670000005
5538,55.41970888,-2.236648865,-6.9069369510000005,-0.9539662170000001
5539,55.42971687,-1.6455281069999999,-6.859635315,-1.3350737
5540,55.43972388,-0.9548643494,-6.680457916,-1.709894257
5541,55.44973087,-0.3109034729,-6.362369385,-1.924398193
5542,55.45973787,0.1544787598,-6.050268402,-1.9869680790000002
5543,55.46974487,0.5168751525999999,-5.849685516,-2.0227436830000003
5544,55.47975129,0.833915863,-5.806126099,-2.072290649
5545,55.48975929,1.025068359,-5.831124115,-2.092348938
5546,55.49976629,1.113534393,-5.893544312,-2.130818939
5547,55.50977329,1.257235565,-6.023923187,-2.058369598
5548,55.51978029,1.487756195,-6.245761871,-1.9023939509999999
5549,55.52978729,1.908531189,-6.514153747999999,-1.8028509519999998
5550,55.53979429,2.400558014,-6.792275391,-2.0151095580000002
5551,55.54980129,2.866539001,-7.094496918,-2.408341827
5552,55.55980929,3.29734314,-7.401358795,-2.85501297
5553,55.56981629,3.651506653,-7.824828186,-3.381468201
5554,55.57982329,3.8711000060000003,-8.386460266,-3.949387207
5555,55.58983029,4.094585266,-9.116342468,-4.624034271
5556,55.59983729,4.408332825,-9.964029694,-5.208269348
5557,55.60984429,4.766837311000001,-10.76531342,-5.705086212
5558,55.61985229,5.062771912,-11.34401001,-5.890101471
5559,55.62985929,5.044360199,-11.57587784,-5.752387848
5560,55.63986629,4.7030699160000005,-11.53980286,-5.488336945
5561,55.64987329,4.132157135,-11.4184053,-5.31799118
5562,55.65988029,3.407663727,-11.2339888,-5.3697834779999996
5563,55.66988729,2.883453827,-10.97203354,-5.59536438
5564,55.67989529,2.595003662,-10.55739578,-5.735023956
5565,55.68990229,2.5224046330000003,-10.01327728,-5.5513558960000005
5566,55.69990929,2.406395874,-9.386081543,-5.162314911
5567,55.70991629,2.191891937,-8.75454483,-4.820126495
5568,55.71992329,1.8408718869999998,-8.323441315,-4.466861115
5569,55.72993029,1.3549823,-8.158035278,-4.249812469
5570,55.73993829,0.7286846924,-8.585695953,-4.169729004
5571,55.74994529,-0.37227584840000005,-9.999954987,-3.79221405
5572,55.75995229,-1.6594491580000001,-12.24154358,-3.367696838
5573,55.76995929,-2.281854858,-15.28366745,-3.788172455
5574,55.77996629,-1.420545959,-18.60061981,-4.549489288
5575,55.78997329,0.2788700867,-19.58901443,-3.0376332089999996
5576,55.79998129,0.49681686399999997,-15.17574188,0.1546284485
5577,55.80998829,-1.521286469,-8.490643616,3.420536957
5578,55.81999529,-3.960464172,-3.8471498110000004,2.980302429
5579,55.83000229,-5.826334076,-1.490450592,-0.35895355219999997
5580,55.84000929,-6.923851776,0.044307861330000003,-2.7238856510000002
5581,55.85001629,-6.677613831,0.0802331543,-1.10335556
5582,55.86002429,-5.20108429,-1.6512162780000001,2.675835571
5583,55.87003129,-3.7176690669999997,-3.959865417,5.689069518999999
5584,55.88003829,-2.468666382,-6.941664734,7.303162994
5585,55.89004529,-1.286574554,-10.89344696,8.246501312000001
5586,55.90005229,0.1953437805,-15.18187912,9.17112854
5587,55.91005929,1.72591095,-17.46553024,8.275840302
5588,55.92006729,3.061134338,-17.83077072,3.90807312
5589,55.93007429,5.182223511,-16.81647995,-5.472769317999999
5590,55.94008129,5.703439636000001,-13.72840164,-7.468868408
5591,55.95008829,4.786745911000001,-10.7522905,-1.73758667
5592,55.96009529,4.7271698,-8.744964752000001,1.495240631
5593,55.97010229,3.9056781010000003,-7.858508147999999,1.584904175
5594,55.98011029,2.010768585,-8.903634796,0.20657043460000002
5595,55.99011729,0.7204518126999999,-9.550439758,0.1371148682
5596,56.00012429,0.09909393311,-9.639354857999999,0.8376580811
5597,56.01013129,-0.1996847534,-9.403445435,1.171164551
5598,56.02013829,-0.2601589966,-9.134754181,1.0931767270000001
5599,56.03014529,-0.03382965088,-9.37006485,1.274599457
5600,56.04015329,-0.06765930176,-9.687255249,1.205892334
5601,56.05016029,0.03981719971,-9.748178558,1.35617981
5602,56.06016729,0.2257305908,-9.580976257,1.540895691
5603,56.07017429,0.2245330811,-9.266929321000001,1.3635145569999998
5604,56.08018129,0.3299139404,-9.254056091,1.1009605409999998
5605,56.09018829,0.4198768616,-9.452094269,0.845741272
5606,56.10019629,0.5004093933,-9.41332489,0.6994953918000001
5607,56.11020329,0.610430603,-9.242230682,0.8035290527
5608,56.12021029,0.5942642212,-9.34431839,0.7810757446
5609,56.13021729,0.6466552734000001,-9.324110413,1.050665131
5610,56.14022429,0.7158114623999999,-9.29746582,1.358125763
5611,56.15023129,0.6505471802,-9.134305115,1.558409271
5612,56.16023929,0.4001179504,-8.945397949,1.518592072
5613,56.17024629,0.1706451416,-8.860823822,1.307530975
5614,56.18025329,-0.07783813477000001,-8.867110748,1.137185211
5615,56.19026029,-0.14983840939999998,-9.03655838,1.132395172
5616,56.20026729,-0.07289840698,-9.207652588,1.125808868
5617,56.21027429,-0.059276733399999997,-9.395062866,1.070873108
5618,56.22028229,-0.05074447632,-9.542506256,0.9557624817
5619,56.23028929,0.02993774414,-9.673483887,0.8059240723000001
5620,56.24029629,-0.003742218018,-9.706265717,0.5441184997999999
5621,56.25030329,-0.1065783691,-9.618398438,0.1948947144
5622,56.26031029,-0.1598675537,-9.491013336,-0.07828720093
5623,56.27031729,-0.1191522217,-9.485175476,-0.2661465454
5624,56.28032529,0.03742218018,-9.630822601,-0.38425094600000004
5625,56.29033229,0.3541635132,-9.967771912,-0.2351609802
5626,56.30033929,0.7126679993,-10.34064651,0.2468367004
5627,56.31034629,1.077160034,-10.41309586,0.8809181212999999
5628,56.32035329,1.3612692259999999,-10.19724472,1.3671070859999999
5629,56.33036029,1.5046710209999998,-10.05129822,1.463506622
5630,56.34036829,1.575324097,-10.00085312,1.245559845
5631,56.35037529,1.6049624630000001,-10.07524841,0.9900411987000001
5632,56.36038229,1.642234955,-10.17598892,0.7533833312999999
5633,56.37038929,1.7010626219999998,-10.36220169,0.6245013428
5634,56.38039629,1.7269587709999998,-10.53688843,0.5093907166
5635,56.39040329,1.737287292,-10.69750443,0.40056701659999994
5636,56.40041129,1.820364532,-10.80632812,0.2969824219
