"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-7.306209564E0,-1.246846581E1,-3.451884508E0
2.000000000E-3,-7.588876247E0,-1.254272556E1,-3.073399067E0
4.000000000E-3,-7.835610390E0,-1.261698532E1,-2.675749540E0
6.000833000E-3,-8.032039642E0,-1.268645477E1,-2.261331797E0
8.001667000E-3,-8.202118874E0,-1.276071453E1,-1.837332010E0
1.000406300E-2,-8.369802475E0,-1.284216022E1,-1.420518756E0
1.200645800E-2,-8.525507927E0,-1.292600250E1,-1.022869349E0
1.401000000E-2,-8.654864311E0,-1.300505257E1,-6.515701413E-1
1.601354200E-2,-8.745892525E0,-1.307212639E1,-2.994348109E-1
1.801708300E-2,-8.808174133E0,-1.311764050E1,4.072313383E-2
2.002062500E-2,-8.844106674E0,-1.314638615E1,3.593217731E-1
2.202416700E-2,-8.858479500E0,-1.317513180E1,6.563611031E-1
2.404317700E-2,-8.666841507E0,-1.307931328E1,1.513942480E0
2.607765600E-2,-8.518321991E0,-1.296432972E1,1.700789809E0
2.811213600E-2,-8.312310219E0,-1.282299709E1,1.868473291E0
3.014661500E-2,-8.053598404E0,-1.266010380E1,1.995433569E0
3.218109400E-2,-7.727813721E0,-1.246127892E1,2.098439217E0
3.421557300E-2,-7.327768803E0,-1.224089527E1,2.203840256E0
3.621557300E-2,-6.855859756E0,-1.202530193E1,2.314032316E0
3.821557300E-2,-6.326458931E0,-1.181929111E1,2.402664900E0
4.021557300E-2,-5.768312454E0,-1.164921188E1,2.433806181E0
4.221557300E-2,-5.171838284E0,-1.153422928E1,2.376314640E0
4.421557300E-2,-4.553804874E0,-1.148631954E1,2.244563341E0
4.621557300E-2,-3.952539682E0,-1.149590111E1,2.076879978E0
4.821557300E-2,-3.380020142E0,-1.151985645E1,1.878055215E0
5.021557300E-2,-2.838642120E0,-1.151266956E1,1.648089290E0
5.221557300E-2,-2.330800533E0,-1.146715546E1,1.396564007E0
5.421557300E-2,-1.813377261E0,-1.141924667E1,1.152225137E0
5.621557300E-2,-1.255230784E0,-1.139768696E1,9.318411350E-1
5.821557300E-2,-6.755249500E-1,-1.140008259E1,6.731294990E-1
6.021557300E-2,-1.197739244E-1,-1.141205978E1,3.281805515E-1
6.221557300E-2,3.904629946E-1,-1.143361950E1,-7.905079424E-2
6.421557300E-2,8.911179900E-1,-1.147913361E1,-4.886776209E-1
6.621557300E-2,1.403750420E0,-1.155099773E1,-8.288355470E-1
6.821557300E-2,1.834936619E0,-1.160130215E1,-1.097129226E0
7.021557300E-2,2.026574850E0,-1.156057930E1,-1.341467977E0
7.221557300E-2,1.976269841E0,-1.142403698E1,-1.597784162E0
7.421557300E-2,1.851704955E0,-1.124677181E1,-1.818168163E0
7.621557300E-2,1.818168163E0,-1.107669258E1,-1.940337658E0
7.821557300E-2,1.933151126E0,-1.094015026E1,-1.973874331E0
8.021557300E-2,2.175094604E0,-1.086589050E1,-1.973874331E0
8.221557300E-2,2.438597202E0,-1.083714485E1,-1.983456254E0
8.421557300E-2,2.611071587E0,-1.081319046E1,-2.002619982E0
8.621557300E-2,2.682935953E0,-1.077486229E1,-1.990642667E0
8.821557300E-2,2.711681604E0,-1.073413944E1,-1.890032530E0
9.021557300E-2,2.785941601E0,-1.069820690E1,-1.710371733E0
9.221557300E-2,2.924879313E0,-1.067664814E1,-1.478010297E0
9.421557300E-2,3.085376263E0,-1.068143845E1,-1.226485014E0
9.621557300E-2,3.260246277E0,-1.071497536E1,-1.022869349E0
9.821557300E-2,3.420743465E0,-1.073413944E1,-9.078863859E-1
1.002155730E-1,3.518958092E0,-1.072934818E1,-8.575813174E-1
1.022155730E-1,3.528539896E0,-1.071018410E1,-8.503949046E-1
1.042155730E-1,3.475839376E0,-1.069581127E1,-8.983044624E-1
1.062155730E-1,3.384811163E0,-1.067185688E1,-9.869371653E-1
1.082155730E-1,3.238687038E0,-1.063592434E1,-1.094733715E0
1.102155730E-1,3.032675743E0,-1.061915684E1,-1.197739244E0
1.122155730E-1,2.750009298E0,-1.060717869E1,-1.264812708E0
1.142155730E-1,2.402664900E0,-1.056645584E1,-1.315117717E0
1.162155730E-1,2.007411003E0,-1.048980045E1,-1.396564007E0
1.182155730E-1,1.561851978E0,-1.038439941E1,-1.542688131E0
1.202155730E-1,1.085151792E0,-1.026941681E1,-1.727140069E0
1.222155730E-1,6.036605835E-1,-1.014245605E1,-1.885241628E0
1.242155730E-1,1.389377564E-1,-1.000591373E1,-1.993038177E0
1.262155730E-1,-2.730845511E-1,-9.876558304E0,-2.038552284E0
1.282155730E-1,-6.491746902E-1,-9.737620354E0,-2.031365871E0
1.302155730E-1,-1.020473838E0,-9.584309578E0,-1.993038177E0
1.322155730E-1,-1.365422726E0,-9.426208496E0,-1.925964713E0
1.342155730E-1,-1.662462115E0,-9.289666176E0,-1.834936619E0
1.362155730E-1,-1.911591887E0,-9.179473877E0,-1.719953537E0
1.382155730E-1,-2.108021021E0,-9.071677208E0,-1.592993259E0
1.402155730E-1,-2.261331797E0,-8.944716454E0,-1.475614786E0
1.422155730E-1,-2.390687704E0,-8.810569763E0,-1.379795671E0
1.442155730E-1,-2.508065939E0,-8.652468681E0,-1.310326815E0
1.462155730E-1,-2.623049021E0,-8.468016624E0,-1.264812708E0
1.482155730E-1,-2.754800320E0,-8.281168938E0,-1.236066937E0
1.502155730E-1,-2.888947010E0,-8.101508141E0,-1.185761929E0
1.522155730E-1,-3.001534700E0,-7.924242973E0,-1.082756281E0
1.542155730E-1,-3.090167284E0,-7.742186546E0,-9.438185692E-1
1.562155730E-1,-3.162031651E0,-7.552943707E0,-7.881124616E-1
1.582155730E-1,-3.224314213E0,-7.351723671E0,-6.371973157E-1
1.602155730E-1,-3.272223711E0,-7.157690048E0,-5.174233913E-1
1.622155730E-1,-3.293782949E0,-6.978028774E0,-4.359771013E-1
1.642155730E-1,-3.291387558E0,-6.812740803E0,-4.024403989E-1
1.662155730E-1,-3.274619102E0,-6.666616917E0,-4.168132544E-1
1.682155730E-1,-3.243478060E0,-6.527678967E0,-4.695138037E-1
1.702155730E-1,-3.193172932E0,-6.395927906E0,-5.485646129E-1
1.722155730E-1,-3.123703957E0,-6.278549194E0,-6.419882774E-1
1.742155730E-1,-3.059026003E0,-6.173148155E0,-7.521802783E-1
1.762155730E-1,-3.015907526E0,-6.070142746E0,-8.671632409E-1
1.782155730E-1,-3.013511896E0,-5.962346077E0,-9.725642800E-1
1.802155730E-1,-3.049444199E0,-5.871317863E0,-1.058801532E0
1.822155730E-1,-3.085376263E0,-5.823408127E0,-1.128270388E0
1.842155730E-1,-3.085376263E0,-5.806640148E0,-1.185761929E0
1.862155730E-1,-3.037466764E0,-5.809035301E0,-1.224089503E0
1.882155730E-1,-2.958415985E0,-5.797058105E0,-1.238462448E0
1.902155730E-1,-2.886551619E0,-5.775498867E0,-1.260021687E0
1.922155730E-1,-2.821873665E0,-5.756334782E0,-1.295953870E0
1.942155730E-1,-2.754800320E0,-5.739566803E0,-1.327095151E0
1.962155730E-1,-2.682935953E0,-5.727589130E0,-1.358236313E0
1.982155730E-1,-2.608676195E0,-5.727589130E0,-1.396564007E0
2.002155730E-1,-2.539207220E0,-5.741961956E0,-1.434891701E0
